,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Gasser Larissa,Female,23-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Giant Slalom,DNF,
1,Gasser Larissa,Female,22-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Parallel Slalom,7,104.40
2,Gasser Larissa,Female,16-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,26,
3,Gasser Larissa,Female,16-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,26,50.00
4,Gasser Larissa,Female,15-02-2025,Val St. Come,CAN,Switzerland,Qualification,Parallel Giant Slalom,21,
5,Gasser Larissa,Female,15-02-2025,Val St. Come,CAN,Switzerland,World Cup,Parallel Giant Slalom,21,100.00
6,Gasser Larissa,Female,26-01-2025,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,18,46.80
7,Gasser Larissa,Female,25-01-2025,Rogla,SLO,Switzerland,Qualification,Parallel Giant Slalom,38,
8,Gasser Larissa,Female,25-01-2025,Rogla,SLO,Switzerland,World Cup,Parallel Giant Slalom,38,
9,Gasser Larissa,Female,22-01-2025,Bansko,BUL,Switzerland,European Cup,Parallel Giant Slalom,2,288.00
10,Gasser Larissa,Female,21-01-2025,Bansko,BUL,Switzerland,European Cup,Parallel Giant Slalom,5,162.00
11,Gasser Larissa,Female,19-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,16,
12,Gasser Larissa,Female,19-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,16,150.00
13,Gasser Larissa,Female,18-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,27,
14,Gasser Larissa,Female,18-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,27,45.00
15,Gasser Larissa,Female,14-01-2025,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,14,
16,Gasser Larissa,Female,14-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,14,180.00
17,Gasser Larissa,Female,11-01-2025,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,DNF,
18,Gasser Larissa,Female,11-01-2025,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,DNF,
19,Gasser Larissa,Female,21-12-2024,Davos,SUI,Switzerland,Qualification,Parallel Slalom,12,
20,Gasser Larissa,Female,21-12-2024,Davos,SUI,Switzerland,World Cup,Parallel Slalom,14,180.00
21,Gasser Larissa,Female,20-12-2024,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,10,62.40
22,Gasser Larissa,Female,19-12-2024,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,13,48.00
23,Gasser Larissa,Female,15-12-2024,Götschen,GER,Switzerland,European Cup,Parallel Slalom,6,96.00
24,Gasser Larissa,Female,14-12-2024,Götschen,GER,Switzerland,European Cup,Parallel Slalom,3,132.00
25,Gasser Larissa,Female,17-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Slalom,16,54.00
26,Gasser Larissa,Female,16-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Giant Slalom,14,64.80
27,Gasser Larissa,Female,13-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,4,120.00
28,Gasser Larissa,Female,12-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,13,72.00
29,Gasser Larissa,Female,09-03-2024,Winterberg,GER,Switzerland,Qualification,Parallel Slalom,19,
30,Gasser Larissa,Female,09-03-2024,Winterberg,GER,Switzerland,World Cup,Parallel Slalom,19,120.00
31,Gasser Larissa,Female,25-02-2024,Krynica,POL,Switzerland,Qualification,Parallel Giant Slalom,16,
32,Gasser Larissa,Female,25-02-2024,Krynica,POL,Switzerland,World Cup,Parallel Giant Slalom,16,150.00
33,Gasser Larissa,Female,24-02-2024,Krynica,POL,Switzerland,Qualification,Parallel Giant Slalom,28,
34,Gasser Larissa,Female,24-02-2024,Krynica,POL,Switzerland,World Cup,Parallel Giant Slalom,28,40.00
