,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ghostkeeper Mya,Female,26-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,5,0.20
1,Ghostkeeper Mya,Female,25-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,4,10.60
2,Ghostkeeper Mya,Female,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,7,11.60
3,Ghostkeeper Mya,Female,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,9,5.20
4,Ghostkeeper Mya,Female,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,11,0.10
5,Ghostkeeper Mya,Female,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,8,6.30
6,Ghostkeeper Mya,Female,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,4,22.10
7,Ghostkeeper Mya,Female,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,4,16.40
8,Ghostkeeper Mya,Female,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,7,7.80
9,Ghostkeeper Mya,Female,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,7,4.70
10,Ghostkeeper Mya,Female,05-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,5,0.20
11,Ghostkeeper Mya,Female,04-03-2023,Silver Star Mountain Resort,CAN,Canada,FIS,Slopestyle,6,0.10
12,Ghostkeeper Mya,Female,08-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,8,6.30
13,Ghostkeeper Mya,Female,07-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,8,6.30
14,Ghostkeeper Mya,Female,23-01-2022,Big White Ski Resort,CAN,Canada,FIS,Slopestyle,3,3.10
15,Ghostkeeper Mya,Female,22-01-2022,Big White Ski Resort,CAN,Canada,FIS,Slopestyle,4,10.60
16,Ghostkeeper Mya,Female,09-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,7,0.10
17,Ghostkeeper Mya,Female,08-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,5,12.50
