,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Gong Naiying,Female,07-02-2025,Jinshanling Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,1,
1,Gong Naiying,Female,25-01-2025,Rogla,SLO,P.r. China,Qualification,Parallel Giant Slalom,20,
2,Gong Naiying,Female,25-01-2025,Rogla,SLO,P.r. China,World Cup,Parallel Giant Slalom,20,110.00
3,Gong Naiying,Female,19-01-2025,Bansko,BUL,P.r. China,Qualification,Parallel Giant Slalom,24,
4,Gong Naiying,Female,19-01-2025,Bansko,BUL,P.r. China,World Cup,Parallel Giant Slalom,24,70.00
5,Gong Naiying,Female,18-01-2025,Bansko,BUL,P.r. China,Qualification,Parallel Giant Slalom,18,
6,Gong Naiying,Female,18-01-2025,Bansko,BUL,P.r. China,World Cup,Parallel Giant Slalom,18,130.00
7,Gong Naiying,Female,15-01-2025,Bad Gastein,AUT,P.r. China,World Cup,Parallel Slalom Team,16,
8,Gong Naiying,Female,14-01-2025,Bad Gastein,AUT,P.r. China,Qualification,Parallel Slalom,23,
9,Gong Naiying,Female,14-01-2025,Bad Gastein,AUT,P.r. China,World Cup,Parallel Slalom,23,80.00
10,Gong Naiying,Female,11-01-2025,Scuol,SUI,P.r. China,Qualification,Parallel Giant Slalom,17,
11,Gong Naiying,Female,11-01-2025,Scuol,SUI,P.r. China,World Cup,Parallel Giant Slalom,17,140.00
12,Gong Naiying,Female,31-12-2024,Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,1,160.00
13,Gong Naiying,Female,30-12-2024,Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,3,96.00
14,Gong Naiying,Female,21-12-2024,Davos,SUI,P.r. China,Qualification,Parallel Slalom,33,
15,Gong Naiying,Female,21-12-2024,Davos,SUI,P.r. China,World Cup,Parallel Slalom,33,24.00
16,Gong Naiying,Female,14-12-2024,Cortina d'Ampezzo,ITA,P.r. China,Qualification,Parallel Giant Slalom,15,
17,Gong Naiying,Female,14-12-2024,Cortina d'Ampezzo,ITA,P.r. China,World Cup,Parallel Giant Slalom,15,160.00
18,Gong Naiying,Female,12-12-2024,Carezza,ITA,P.r. China,Qualification,Parallel Giant Slalom,14,
19,Gong Naiying,Female,12-12-2024,Carezza,ITA,P.r. China,World Cup,Parallel Giant Slalom,14,180.00
20,Gong Naiying,Female,08-12-2024,Yanqing (NASC),CHN,P.r. China,World Cup,Parallel Slalom,14,180.00
21,Gong Naiying,Female,08-12-2024,Yanqing (NASC),CHN,P.r. China,Qualification,Parallel Slalom,13,
22,Gong Naiying,Female,07-12-2024,Yanqing (NASC),CHN,P.r. China,World Cup,Parallel Giant Slalom,12,220.00
