,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Groblechner Sofia,Female,13-03-2025,Lenk,SUI,Italy,European Cup,Snowboard Cross,9,
1,Groblechner Sofia,Female,28-02-2025,Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,5,117.00
2,Groblechner Sofia,Female,27-02-2025,Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,1,260.00
3,Groblechner Sofia,Female,23-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,25,13.20
4,Groblechner Sofia,Female,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,2,176.00
5,Groblechner Sofia,Female,15-02-2025,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,21,
6,Groblechner Sofia,Female,15-02-2025,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,21,100.00
7,Groblechner Sofia,Female,09-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,9,75.40
8,Groblechner Sofia,Female,08-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,24,18.20
9,Groblechner Sofia,Female,31-01-2025,St. Lary,FRA,Italy,European Cup,Snowboard Cross,2,208.00
10,Groblechner Sofia,Female,24-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,13,52.00
11,Groblechner Sofia,Female,23-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,14,64.80
12,Groblechner Sofia,Female,14-01-2025,Bardonecchia,ITA,Italy,Universiade,Snowboard Cross,5,108.00
13,Groblechner Sofia,Female,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,DNS2,
14,Groblechner Sofia,Female,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,DNS2,
15,Groblechner Sofia,Female,27-11-2024,Pitztal,AUT,Italy,European Cup,Snowboard Cross,DNS,
16,Groblechner Sofia,Female,27-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,DNS,
17,Groblechner Sofia,Female,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,5,130.50
18,Groblechner Sofia,Female,17-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,21,100.00
19,Groblechner Sofia,Female,16-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,16,150.00
20,Groblechner Sofia,Female,15-03-2024,Montafon,AUT,Italy,Qualification,Snowboard Cross,16,
21,Groblechner Sofia,Female,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,18,130.00
22,Groblechner Sofia,Female,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,18,
23,Groblechner Sofia,Female,03-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,23,80.00
24,Groblechner Sofia,Female,02-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,23,80.00
25,Groblechner Sofia,Female,01-03-2024,Sierra Nevada,ESP,Italy,Qualification,Snowboard Cross,23,
26,Groblechner Sofia,Female,17-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,24,25.20
27,Groblechner Sofia,Female,16-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,30,
28,Groblechner Sofia,Female,05-02-2024,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,DNS,
29,Groblechner Sofia,Female,26-01-2024,St. Moritz,SUI,Italy,World Cup,Snowboard Cross,16,150.00
30,Groblechner Sofia,Female,25-01-2024,St. Moritz,SUI,Italy,Qualification,Snowboard Cross,13,
31,Groblechner Sofia,Female,17-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross Team,12,
32,Groblechner Sofia,Female,16-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross,14,180.00
33,Groblechner Sofia,Female,03-12-2023,Les Deux Alpes,FRA,Italy,Qualification,Snowboard Cross,20,
34,Groblechner Sofia,Female,03-12-2023,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross,20,110.00
35,Groblechner Sofia,Female,03-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,1,130.00
36,Groblechner Sofia,Female,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,2,192.00
37,Groblechner Sofia,Female,31-03-2023,Passo San Pellegrino,ITA,Italy,FIS Junior World Championships,Snowboard Cross Team,17,
38,Groblechner Sofia,Female,30-03-2023,Passo San Pellegrino,ITA,Italy,FIS Junior World Championships,Snowboard Cross,9,104.40
39,Groblechner Sofia,Female,23-03-2023,Gargellen,AUT,Italy,European Cup,Snowboard Cross,2,144.00
40,Groblechner Sofia,Female,22-03-2023,Gargellen,AUT,Italy,European Cup,Snowboard Cross,6,72.00
41,Groblechner Sofia,Female,19-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,2,120.00
42,Groblechner Sofia,Female,18-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,2,128.00
43,Groblechner Sofia,Female,16-03-2023,Veysonnaz,SUI,Italy,World Cup,Snowboard Cross,25,60.00
44,Groblechner Sofia,Female,15-03-2023,Veysonnaz,SUI,Italy,Qualification,Snowboard Cross,25,
45,Groblechner Sofia,Female,16-02-2023,Moena - Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,17,44.80
46,Groblechner Sofia,Female,15-02-2023,Moena - Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,8,102.40
47,Groblechner Sofia,Female,08-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,1,150.00
48,Groblechner Sofia,Female,07-02-2023,Cervinia,ITA,Italy,Junior,Snowboard Cross,4,75.00
49,Groblechner Sofia,Female,22-01-2023,Puy St.Vincent,FRA,Italy,European Cup,Snowboard Cross,3,216.00
50,Groblechner Sofia,Female,21-01-2023,Puy St.Vincent,FRA,Italy,European Cup,Snowboard Cross,4,180.00
51,Groblechner Sofia,Female,15-01-2023,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,27,
52,Groblechner Sofia,Female,14-01-2023,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,17,50.40
53,Groblechner Sofia,Female,07-01-2023,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,4,130.00
54,Groblechner Sofia,Female,06-01-2023,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,13,52.00
55,Groblechner Sofia,Female,24-11-2022,Pitztal,AUT,Italy,European Cup,Snowboard Cross,DNS,
56,Groblechner Sofia,Female,24-11-2022,Pitztal,AUT,Italy,Qualification,Snowboard Cross,DNS,
57,Groblechner Sofia,Female,03-04-2022,Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,2,72.00
58,Groblechner Sofia,Female,02-04-2022,Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,7,104.40
59,Groblechner Sofia,Female,31-03-2022,Veysonnaz,SUI,Italy,FIS Junior World Championships,Snowboard Cross,DNS,
60,Groblechner Sofia,Female,26-03-2022,Lenk,SUI,Italy,European Cup,Snowboard Cross,16,43.50
61,Groblechner Sofia,Female,25-03-2022,Lenk,SUI,Italy,European Cup,Snowboard Cross,21,29.00
62,Groblechner Sofia,Female,20-03-2022,Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,6,52.00
63,Groblechner Sofia,Female,19-03-2022,Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,6,60.00
64,Groblechner Sofia,Female,03-03-2022,Pitztal,AUT,Italy,European Cup,Snowboard Cross,9,84.10
65,Groblechner Sofia,Female,02-03-2022,Pitztal,AUT,Italy,European Cup,Snowboard Cross,8,102.40
66,Groblechner Sofia,Female,27-02-2022,Grasgehren,GER,Italy,European Cup,Snowboard Cross,13,52.00
67,Groblechner Sofia,Female,26-02-2022,Grasgehren,GER,Italy,European Cup,Snowboard Cross,16,39.00
68,Groblechner Sofia,Female,20-02-2022,Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,2,72.00
69,Groblechner Sofia,Female,19-02-2022,Passo San Pellegrino,ITA,Italy,Junior,Snowboard Cross,13,22.00
70,Groblechner Sofia,Female,13-02-2022,Grasgehren,GER,Italy,Junior,Snowboard Cross,DNS,
71,Groblechner Sofia,Female,12-02-2022,Grasgehren,GER,Italy,Junior,Snowboard Cross,27,
72,Groblechner Sofia,Female,03-02-2022,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,19,26.40
73,Groblechner Sofia,Female,02-02-2022,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,9,63.80
74,Groblechner Sofia,Female,18-12-2021,Cervinia,ITA,Italy,World Cup,Snowboard Cross,35,20.00
75,Groblechner Sofia,Female,17-12-2021,Cervinia,ITA,Italy,Qualification,Snowboard Cross,35,
76,Groblechner Sofia,Female,14-12-2021,Reiteralm,AUT,Italy,FIS,Snowboard Cross,17,19.60
77,Groblechner Sofia,Female,13-12-2021,Reiteralm,AUT,Italy,FIS,Snowboard Cross,20,17.60
78,Groblechner Sofia,Female,10-04-2021,Colere,ITA,Italy,National Championships,Snowboard Cross,6,116.00
79,Groblechner Sofia,Female,09-04-2021,Colere,ITA,Italy,Junior,Snowboard Cross,1,70.00
80,Groblechner Sofia,Female,07-03-2021,Corno alle Scale,ITA,Italy,Junior,Snowboard Cross,4,35.00
81,Groblechner Sofia,Female,17-01-2021,Colere,ITA,Italy,FIS,Snowboard Cross,14,39.60
82,Groblechner Sofia,Female,16-01-2021,Colere,ITA,Italy,FIS,Snowboard Cross,15,35.20
83,Groblechner Sofia,Female,23-02-2020,Folgaria,ITA,Italy,Junior,Snowboard Cross,5,40.50
84,Groblechner Sofia,Female,22-02-2020,Folgaria,ITA,Italy,Junior,Snowboard Cross,5,40.50
85,Groblechner Sofia,Female,08-02-2020,Colere,ITA,Italy,FIS,Snowboard Cross,26,9.00
86,Groblechner Sofia,Female,07-02-2020,Colere,ITA,Italy,FIS,Snowboard Cross,21,20.00
87,Groblechner Sofia,Female,26-01-2020,Grasgehren,GER,Italy,Junior,Snowboard Cross,12,28.60
88,Groblechner Sofia,Female,25-01-2020,Grasgehren,GER,Italy,Junior,Snowboard Cross,7,46.80
89,Groblechner Sofia,Female,19-01-2020,Alleghe,ITA,Italy,FIS,Parallel Slalom,21,16.00
90,Groblechner Sofia,Female,18-01-2020,Alleghe,ITA,Italy,FIS,Parallel Slalom,DNF1,
91,Groblechner Sofia,Female,12-01-2020,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,DNS1,
92,Groblechner Sofia,Female,11-01-2020,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,DNS1,
93,Groblechner Sofia,Female,20-12-2019,Isola 2000,FRA,Italy,Junior,Snowboard Cross,10,28.60
94,Groblechner Sofia,Female,19-12-2019,Isola 2000,FRA,Italy,Junior,Snowboard Cross,11,31.20
95,Groblechner Sofia,Female,01-12-2019,Pitztal,AUT,Italy,Junior,Snowboard Cross,46,2.34
96,Groblechner Sofia,Female,30-11-2019,Pitztal,AUT,Italy,Junior,Snowboard Cross,31,4.48
97,Groblechner Sofia,Female,29-03-2019,Piancavallo,ITA,Italy,National Championships,Snowboard Cross,9,84.10
98,Groblechner Sofia,Female,27-03-2019,Piancavallo,ITA,Italy,National Championships,Parallel Giant Slalom,27,13.05
99,Groblechner Sofia,Female,26-03-2019,Piancavallo,ITA,Italy,National Championships,Parallel Slalom,26,14.50
100,Groblechner Sofia,Female,13-03-2019,Colere,ITA,Italy,FIS,Snowboard Cross,1,70.00
101,Groblechner Sofia,Female,12-03-2019,Colere,ITA,Italy,FIS,Snowboard Cross,1,70.00
