,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hammerlein Freya,Female,04-03-2025,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,4,
1,Hammerlein Freya,Female,25-02-2025,Northstar California Resorts,USA,Australia,FIS,Slopestyle,3,31.70
2,Hammerlein Freya,Female,04-04-2024,"Copper Mountain, CO",USA,Australia,National Championships,Slopestyle,9,7.30
3,Hammerlein Freya,Female,30-03-2024,"Copper Mountain, CO",USA,Australia,National Championships,Rail Event,5,
4,Hammerlein Freya,Female,04-03-2024,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,3,33.50
5,Hammerlein Freya,Female,27-02-2024,Northstar California Resorts,USA,Australia,FIS,Slopestyle,7,13.80
6,Hammerlein Freya,Female,04-09-2023,Cardrona,NZL,Australia,FIS Junior World Championships,Big Air,23,11.80
7,Hammerlein Freya,Female,02-09-2023,Cardrona,NZL,Australia,Qualification,Big Air,11,
8,Hammerlein Freya,Female,30-08-2023,Cardrona,NZL,Australia,FIS Junior World Championships,Slopestyle,27,17.00
9,Hammerlein Freya,Female,28-08-2023,Cardrona,NZL,Australia,Qualification,Slopestyle,11,
10,Hammerlein Freya,Female,01-03-2023,Northstar California Resorts,USA,Australia,FIS,Slopestyle,6,19.90
11,Hammerlein Freya,Female,15-02-2023,Mammoth Mountain,USA,Australia,FIS,Slopestyle,8,12.80
12,Hammerlein Freya,Female,02-08-2022,Perisher,AUS,Australia,Australian New Zealand Cup,Big Air,2,94.90
13,Hammerlein Freya,Female,01-08-2022,Perisher,AUS,Australia,Australian New Zealand Cup,Slopestyle,6,34.00
14,Hammerlein Freya,Female,09-03-2022,Northstar California Resorts,USA,Australia,FIS,Slopestyle,5,22.80
15,Hammerlein Freya,Female,02-02-2022,"Park City, UT",USA,Australia,FIS,Slopestyle,7,11.60
16,Hammerlein Freya,Female,26-01-2022,Mammoth Mountain Ski Resort,USA,Australia,Nor-Am Cup,Slopestyle,13,25.50
17,Hammerlein Freya,Female,25-01-2022,Mammoth Mountain Ski Resort,USA,Australia,Nor-Am Cup,Slopestyle,14,20.50
18,Hammerlein Freya,Female,19-01-2022,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,3,33.90
19,Hammerlein Freya,Female,24-03-2021,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,14,9.56
