,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hauke Logan,Male,12-03-2025,Horseshoe Resort,CAN,United States Of America,National Junior Championships,Parallel Slalom,3,30.00
1,Hauke Logan,Male,11-03-2025,Horseshoe Resort,CAN,United States Of America,National Junior Championships,Parallel Giant Slalom,1,50.00
2,Hauke Logan,Male,10-03-2025,Horseshoe Resort,CAN,United States Of America,National Junior Championships,Snowboard Cross,4,25.00
3,Hauke Logan,Male,07-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
4,Hauke Logan,Male,06-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,12,35.20
5,Hauke Logan,Male,02-03-2025,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,11,16.80
6,Hauke Logan,Male,01-03-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,28,6.40
7,Hauke Logan,Male,28-02-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,20,17.60
8,Hauke Logan,Male,09-02-2025,Reiteralm,AUT,United States Of America,European Cup,Snowboard Cross,DNS,
9,Hauke Logan,Male,08-02-2025,Reiteralm,AUT,United States Of America,European Cup,Snowboard Cross,DNS,
10,Hauke Logan,Male,05-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,18,11.70
11,Hauke Logan,Male,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,29,5.76
12,Hauke Logan,Male,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,26,8.00
13,Hauke Logan,Male,25-01-2025,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,2,40.00
14,Hauke Logan,Male,24-01-2025,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,1,50.00
15,Hauke Logan,Male,05-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,28,6.40
16,Hauke Logan,Male,04-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,32,4.16
17,Hauke Logan,Male,19-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,4,25.00
18,Hauke Logan,Male,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,15,25.60
19,Hauke Logan,Male,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,26,8.00
20,Hauke Logan,Male,01-03-2024,Sunday River Resort,USA,United States Of America,FIS,Snowboard Cross,5,22.50
21,Hauke Logan,Male,28-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,18,20.80
22,Hauke Logan,Male,27-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,15,25.60
23,Hauke Logan,Male,23-02-2024,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,15,8.00
24,Hauke Logan,Male,22-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,12,44.00
25,Hauke Logan,Male,21-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,26,10.00
