,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hauser Ricarda,Female,16-03-2025,Davos,SUI,Switzerland,European Cup,Parallel Slalom,22,26.10
1,Hauser Ricarda,Female,16-03-2025,Davos,SUI,Switzerland,Qualification,Parallel Slalom,22,
2,Hauser Ricarda,Female,15-03-2025,Davos,SUI,Switzerland,European Cup,Parallel Slalom,12,63.80
3,Hauser Ricarda,Female,15-03-2025,Davos,SUI,Switzerland,Qualification,Parallel Slalom,12,
4,Hauser Ricarda,Female,09-03-2025,Montafon/Gargellen,AUT,Switzerland,European Cup,Parallel Slalom,24,25.20
5,Hauser Ricarda,Female,08-03-2025,Montafon/Gargellen,AUT,Switzerland,European Cup,Parallel Giant Slalom,6,144.00
6,Hauser Ricarda,Female,23-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Giant Slalom,3,174.00
7,Hauser Ricarda,Female,22-02-2025,Lenzerheide,SUI,Switzerland,National Championships,Parallel Slalom,9,84.10
8,Hauser Ricarda,Female,02-02-2025,Ratschings,ITA,Switzerland,European Cup,Parallel Slalom,9,92.80
9,Hauser Ricarda,Female,02-02-2025,Ratschings,ITA,Switzerland,Qualification,Parallel Slalom,3,
10,Hauser Ricarda,Female,01-02-2025,Ratschings,ITA,Switzerland,European Cup,Parallel Slalom,15,57.60
11,Hauser Ricarda,Female,01-02-2025,Ratschings,ITA,Switzerland,Qualification,Parallel Slalom,15,
12,Hauser Ricarda,Female,26-01-2025,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,15,57.60
13,Hauser Ricarda,Female,25-01-2025,Simonhöhe,AUT,Switzerland,European Cup,Parallel Giant Slalom,DNS,
14,Hauser Ricarda,Female,22-01-2025,Bansko,BUL,Switzerland,European Cup,Parallel Giant Slalom,14,64.80
15,Hauser Ricarda,Female,21-01-2025,Bansko,BUL,Switzerland,European Cup,Parallel Giant Slalom,17,50.40
16,Hauser Ricarda,Female,19-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,23,
17,Hauser Ricarda,Female,19-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,23,80.00
18,Hauser Ricarda,Female,18-01-2025,Bansko,BUL,Switzerland,Qualification,Parallel Giant Slalom,28,
19,Hauser Ricarda,Female,18-01-2025,Bansko,BUL,Switzerland,World Cup,Parallel Giant Slalom,28,40.00
20,Hauser Ricarda,Female,14-01-2025,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,27,
21,Hauser Ricarda,Female,14-01-2025,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,27,45.00
22,Hauser Ricarda,Female,11-01-2025,Folgaria,ITA,Switzerland,European Cup,Parallel Giant Slalom,26,
23,Hauser Ricarda,Female,11-01-2025,Folgaria,ITA,Switzerland,Qualification,Parallel Giant Slalom,26,
24,Hauser Ricarda,Female,10-01-2025,Folgaria,ITA,Switzerland,European Cup,Parallel Giant Slalom,3,144.00
25,Hauser Ricarda,Female,10-01-2025,Folgaria,ITA,Switzerland,Qualification,Parallel Giant Slalom,6,
26,Hauser Ricarda,Female,22-12-2024,Moninec,CZE,Switzerland,FIS,Parallel Slalom,4,90.00
27,Hauser Ricarda,Female,21-12-2024,Moninec,CZE,Switzerland,FIS,Parallel Slalom,1,160.00
28,Hauser Ricarda,Female,20-12-2024,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,7,86.40
29,Hauser Ricarda,Female,19-12-2024,Moninec,CZE,Switzerland,European Cup,Parallel Slalom,18,31.20
30,Hauser Ricarda,Female,15-12-2024,Götschen,GER,Switzerland,European Cup,Parallel Slalom,11,57.60
31,Hauser Ricarda,Female,14-12-2024,Götschen,GER,Switzerland,European Cup,Parallel Slalom,11,52.80
32,Hauser Ricarda,Female,07-04-2024,Samnaun,SUI,Switzerland,National Championships,Giant Slalom,3,174.00
33,Hauser Ricarda,Female,06-04-2024,Samnaun,SUI,Switzerland,National Championships,Parallel Slalom,6,116.00
34,Hauser Ricarda,Female,17-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Slalom,21,36.00
35,Hauser Ricarda,Female,16-03-2024,St. Moritz,SUI,Switzerland,European Cup,Parallel Giant Slalom,28,14.40
36,Hauser Ricarda,Female,13-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,DSQ,
37,Hauser Ricarda,Female,12-03-2024,Davos/Rinerhorn ,SUI,Switzerland,European Cup,Parallel Giant Slalom,11,86.40
38,Hauser Ricarda,Female,10-03-2024,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,14,43.20
39,Hauser Ricarda,Female,09-03-2024,Lenzerheide,SUI,Switzerland,European Cup,Parallel Slalom,8,76.80
40,Hauser Ricarda,Female,10-02-2024,Hochficht/Zwiesel,AUT,Switzerland,National Championships,Parallel Slalom,11,69.60
41,Hauser Ricarda,Female,09-02-2024,Hochficht/Zwiesel,AUT,Switzerland,National Championships,Parallel Giant Slalom,18,37.70
42,Hauser Ricarda,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Switzerland,FIS,Parallel Giant Slalom,2,144.00
43,Hauser Ricarda,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Switzerland,FIS,Parallel Giant Slalom,2,144.00
44,Hauser Ricarda,Female,24-01-2024,Pamporovo,BUL,Switzerland,European Cup,Parallel Slalom,20,31.90
45,Hauser Ricarda,Female,23-01-2024,Pamporovo,BUL,Switzerland,European Cup,Parallel Slalom,24,20.30
46,Hauser Ricarda,Female,21-01-2024,Pamporovo,BUL,Switzerland,Qualification,Parallel Slalom,DSQ,
47,Hauser Ricarda,Female,21-01-2024,Pamporovo,BUL,Switzerland,World Cup,Parallel Slalom,DSQ,
48,Hauser Ricarda,Female,20-01-2024,Pamporovo,BUL,Switzerland,Qualification,Parallel Slalom,33,
49,Hauser Ricarda,Female,20-01-2024,Pamporovo,BUL,Switzerland,World Cup,Parallel Slalom,33,24.00
50,Hauser Ricarda,Female,16-01-2024,Bad Gastein,AUT,Switzerland,Qualification,Parallel Slalom,27,
51,Hauser Ricarda,Female,16-01-2024,Bad Gastein,AUT,Switzerland,World Cup,Parallel Slalom,27,45.00
52,Hauser Ricarda,Female,13-01-2024,Scuol,SUI,Switzerland,Qualification,Parallel Giant Slalom,21,
53,Hauser Ricarda,Female,13-01-2024,Scuol,SUI,Switzerland,World Cup,Parallel Giant Slalom,21,100.00
54,Hauser Ricarda,Female,12-01-2024,Folgaria,ITA,Switzerland,Qualification,Parallel Slalom,5,
55,Hauser Ricarda,Female,12-01-2024,Folgaria,ITA,Switzerland,European Cup,Parallel Slalom,12,52.80
56,Hauser Ricarda,Female,11-01-2024,Folgaria,ITA,Switzerland,Qualification,Parallel Slalom,13,
57,Hauser Ricarda,Female,11-01-2024,Folgaria,ITA,Switzerland,European Cup,Parallel Slalom,8,92.80
58,Hauser Ricarda,Female,23-12-2023,Davos ,SUI,Switzerland,Qualification,Parallel Slalom,DSQ,
59,Hauser Ricarda,Female,23-12-2023,Davos,SUI,Switzerland,World Cup,Parallel Slalom,DSQ,
