,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Heldman Ben,Male,20-03-2025,Engadin,SUI,Canada,Qualification,Parallel Giant Slalom,19,
1,Heldman Ben,Male,20-03-2025,Engadin,SUI,Canada,World Championships,Parallel Giant Slalom,19,120.00
2,Heldman Ben,Male,16-03-2025,Winterberg,GER,Canada,World Cup,Parallel Slalom Team,8,
3,Heldman Ben,Male,16-03-2025,Winterberg,GER,Canada,Qualification,Parallel Slalom Team,8,
4,Heldman Ben,Male,15-03-2025,Winterberg,GER,Canada,Qualification,Parallel Slalom,28,
5,Heldman Ben,Male,15-03-2025,Winterberg,GER,Canada,World Cup,Parallel Slalom,28,40.00
6,Heldman Ben,Male,02-03-2025,Krynica,POL,Canada,Qualification,Parallel Giant Slalom,16,
7,Heldman Ben,Male,02-03-2025,Krynica,POL,Canada,World Cup,Parallel Giant Slalom,16,150.00
8,Heldman Ben,Male,01-03-2025,Krynica,POL,Canada,Qualification,Parallel Giant Slalom,5,
9,Heldman Ben,Male,01-03-2025,Krynica,POL,Canada,World Cup,Parallel Giant Slalom,9,290.00
10,Heldman Ben,Male,16-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,4,
11,Heldman Ben,Male,16-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,10,260.00
12,Heldman Ben,Male,15-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,11,
13,Heldman Ben,Male,15-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,7,360.00
14,Heldman Ben,Male,06-02-2025,Toronto Ski Club,CAN,Canada,Nor-Am Cup,Parallel Slalom,5,108.00
15,Heldman Ben,Male,01-02-2025,Ratschings,ITA,Canada,European Cup,Parallel Slalom,3,174.00
16,Heldman Ben,Male,01-02-2025,Ratschings,ITA,Canada,Qualification,Parallel Slalom,6,
17,Heldman Ben,Male,26-01-2025,Simonhöhe,AUT,Canada,European Cup,Parallel Giant Slalom,7,115.20
18,Heldman Ben,Male,25-01-2025,Rogla,SLO,Canada,Qualification,Parallel Giant Slalom,29,
19,Heldman Ben,Male,25-01-2025,Rogla,SLO,Canada,World Cup,Parallel Giant Slalom,29,36.00
20,Heldman Ben,Male,22-01-2025,Bansko,BUL,Canada,European Cup,Parallel Giant Slalom,9,84.10
21,Heldman Ben,Male,21-01-2025,Bansko,BUL,Canada,European Cup,Parallel Giant Slalom,4,145.00
22,Heldman Ben,Male,19-01-2025,Bansko,BUL,Canada,Qualification,Parallel Giant Slalom,22,
23,Heldman Ben,Male,19-01-2025,Bansko,BUL,Canada,World Cup,Parallel Giant Slalom,22,90.00
24,Heldman Ben,Male,18-01-2025,Bansko,BUL,Canada,Qualification,Parallel Giant Slalom,17,
25,Heldman Ben,Male,18-01-2025,Bansko,BUL,Canada,World Cup,Parallel Giant Slalom,17,140.00
26,Heldman Ben,Male,15-01-2025,Bad Gastein,AUT,Canada,World Cup,Parallel Slalom Team,10,
27,Heldman Ben,Male,14-01-2025,Bad Gastein,AUT,Canada,Qualification,Parallel Slalom,16,
28,Heldman Ben,Male,14-01-2025,Bad Gastein,AUT,Canada,World Cup,Parallel Slalom,8,320.00
29,Heldman Ben,Male,11-01-2025,Scuol,SUI,Canada,Qualification,Parallel Giant Slalom,DNF,
30,Heldman Ben,Male,11-01-2025,Scuol,SUI,Canada,World Cup,Parallel Giant Slalom,DNF,
31,Heldman Ben,Male,04-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,1,240.00
32,Heldman Ben,Male,03-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,5,108.00
33,Heldman Ben,Male,21-12-2024,Davos,SUI,Canada,Qualification,Parallel Slalom,20,
34,Heldman Ben,Male,21-12-2024,Davos,SUI,Canada,World Cup,Parallel Slalom,20,110.00
35,Heldman Ben,Male,14-12-2024,Cortina d'Ampezzo,ITA,Canada,Qualification,Parallel Giant Slalom,29,
36,Heldman Ben,Male,14-12-2024,Cortina d'Ampezzo,ITA,Canada,World Cup,Parallel Giant Slalom,29,36.00
37,Heldman Ben,Male,12-12-2024,Carezza,ITA,Canada,Qualification,Parallel Giant Slalom,23,
38,Heldman Ben,Male,12-12-2024,Carezza,ITA,Canada,World Cup,Parallel Giant Slalom,23,80.00
39,Heldman Ben,Male,08-12-2024,Yanqing (NASC),CHN,Canada,World Cup,Parallel Slalom,12,220.00
40,Heldman Ben,Male,08-12-2024,Yanqing (NASC),CHN,Canada,Qualification,Parallel Slalom,10,
41,Heldman Ben,Male,07-12-2024,Yanqing (NASC),CHN,Canada,World Cup,Parallel Giant Slalom,22,90.00
42,Heldman Ben,Male,07-12-2024,Yanqing (NASC),CHN,Canada,Qualification,Parallel Giant Slalom,22,
43,Heldman Ben,Male,01-12-2024,Mylin,CHN,Canada,World Cup,Parallel Slalom,DNF,
44,Heldman Ben,Male,01-12-2024,Mylin,CHN,Canada,Qualification,Parallel Slalom,DNF,
45,Heldman Ben,Male,30-11-2024,Mylin,CHN,Canada,World Cup,Parallel Giant Slalom,28,40.00
46,Heldman Ben,Male,30-11-2024,Mylin,CHN,Canada,Qualification,Parallel Giant Slalom,28,
47,Heldman Ben,Male,17-03-2024,St. Moritz,SUI,Canada,European Cup,Parallel Slalom,28,14.40
48,Heldman Ben,Male,16-03-2024,St. Moritz,SUI,Canada,European Cup,Parallel Giant Slalom,32,9.36
49,Heldman Ben,Male,13-03-2024,Davos/Rinerhorn ,SUI,Canada,European Cup,Parallel Giant Slalom,DSQ,
50,Heldman Ben,Male,12-03-2024,Davos/Rinerhorn ,SUI,Canada,European Cup,Parallel Giant Slalom,2,288.00
51,Heldman Ben,Male,10-03-2024,Winterberg,GER,Canada,World Cup,Parallel Slalom Team,15,
52,Heldman Ben,Male,09-03-2024,Winterberg,GER,Canada,Qualification,Parallel Slalom,24,
53,Heldman Ben,Male,09-03-2024,Winterberg,GER,Canada,World Cup,Parallel Slalom,24,70.00
54,Heldman Ben,Male,25-02-2024,Krynica,POL,Canada,Qualification,Parallel Giant Slalom,30,
