,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Herpin Guillaume,Male,01-03-2025,Erzurum,TUR,France,World Cup,Snowboard Cross,33,
1,Herpin Guillaume,Male,28-02-2025,Erzurum,TUR,France,Qualification,Snowboard Cross,33,
2,Herpin Guillaume,Male,15-02-2025,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,33,
3,Herpin Guillaume,Male,15-02-2025,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,33,24.00
4,Herpin Guillaume,Male,02-02-2025,Beidahu,CHN,France,World Cup,Snowboard Cross,24,70.00
5,Herpin Guillaume,Male,02-02-2025,Beidahu,CHN,France,Qualification,Snowboard Cross,29,
6,Herpin Guillaume,Male,01-02-2025,Beidahu,CHN,France,World Cup,Snowboard Cross,11,240.00
7,Herpin Guillaume,Male,31-01-2025,Beidahu,CHN,France,Qualification,Snowboard Cross,10,
8,Herpin Guillaume,Male,24-01-2025,Puy St. Vincent,FRA,France,European Cup,Snowboard Cross,DNS,
9,Herpin Guillaume,Male,23-01-2025,Puy St. Vincent,FRA,France,European Cup,Snowboard Cross,4,100.00
10,Herpin Guillaume,Male,14-01-2025,Bardonecchia,ITA,France,Universiade,Snowboard Cross,4,110.00
11,Herpin Guillaume,Male,14-12-2024,Cervinia,ITA,France,World Cup,Snowboard Cross,9,290.00
12,Herpin Guillaume,Male,13-12-2024,Cervinia,ITA,France,Qualification,Snowboard Cross,6,
13,Herpin Guillaume,Male,27-11-2024,Pitztal,AUT,France,European Cup,Snowboard Cross,18,46.80
14,Herpin Guillaume,Male,27-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,14,
15,Herpin Guillaume,Male,30-03-2024,Orcieres Merlette,FRA,France,National Championships,Snowboard Cross,6,116.00
16,Herpin Guillaume,Male,22-03-2024,Lenk,SUI,France,European Cup,Snowboard Cross,17,33.60
17,Herpin Guillaume,Male,21-03-2024,Lenk,SUI,France,European Cup,Snowboard Cross,11,57.60
18,Herpin Guillaume,Male,14-03-2024,Isola 2000,FRA,France,European Cup,Snowboard Cross,6,80.00
19,Herpin Guillaume,Male,13-03-2024,Isola 2000,FRA,France,European Cup,Snowboard Cross,8,64.00
20,Herpin Guillaume,Male,09-03-2024,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,65,11.00
21,Herpin Guillaume,Male,08-03-2024,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,65,
22,Herpin Guillaume,Male,02-03-2024,St. Moritz,SUI,France,FIS,Snowboard Cross,5,63.00
23,Herpin Guillaume,Male,25-02-2024,Grasgehren,GER,France,European Cup,Snowboard Cross,3,174.00
24,Herpin Guillaume,Male,24-02-2024,Grasgehren,GER,France,European Cup,Snowboard Cross,28,12.80
25,Herpin Guillaume,Male,17-02-2024,Colere,ITA,France,European Cup,Snowboard Cross,11,57.60
26,Herpin Guillaume,Male,16-02-2024,Colere,ITA,France,European Cup,Snowboard Cross,1,240.00
27,Herpin Guillaume,Male,04-02-2024,Gudauri,GEO,France,World Cup,Snowboard Cross,41,18.20
28,Herpin Guillaume,Male,03-02-2024,Gudauri,GEO,France,World Cup,Snowboard Cross,42,17.90
29,Herpin Guillaume,Male,02-02-2024,Gudauri,GEO,France,Qualification,Snowboard Cross,42,
30,Herpin Guillaume,Male,26-01-2024,St. Moritz,SUI,France,World Cup,Snowboard Cross,48,16.10
31,Herpin Guillaume,Male,25-01-2024,St. Moritz,SUI,France,Qualification,Snowboard Cross,48,
32,Herpin Guillaume,Male,20-01-2024,Montafon,AUT,France,National Championships,Snowboard Cross,13,58.00
33,Herpin Guillaume,Male,16-12-2023,Cervinia,ITA,France,World Cup,Snowboard Cross,52,14.90
34,Herpin Guillaume,Male,03-12-2023,Les Deux Alpes,FRA,France,Qualification,Snowboard Cross,14,
35,Herpin Guillaume,Male,03-12-2023,Les Deux Alpes,FRA,France,World Cup,Snowboard Cross,19,120.00
36,Herpin Guillaume,Male,08-04-2023,Chamonix,FRA,France,National Championships,Snowboard Cross,12,63.80
37,Herpin Guillaume,Male,23-03-2023,Gargellen,AUT,France,European Cup,Snowboard Cross,3,144.00
38,Herpin Guillaume,Male,22-03-2023,Gargellen,AUT,France,European Cup,Snowboard Cross,1,260.00
39,Herpin Guillaume,Male,16-03-2023,Veysonnaz,SUI,France,World Cup,Snowboard Cross,20,110.00
40,Herpin Guillaume,Male,15-03-2023,Veysonnaz,SUI,France,Qualification,Snowboard Cross,12,
41,Herpin Guillaume,Male,12-03-2023,Sierra Nevada,ESP,France,World Cup,Snowboard Cross,33,24.00
42,Herpin Guillaume,Male,11-03-2023,Sierra Nevada,ESP,France,World Cup,Snowboard Cross,17,140.00
43,Herpin Guillaume,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,33,6.96
44,Herpin Guillaume,Male,15-02-2023,Moena - Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,27,13.05
45,Herpin Guillaume,Male,04-02-2023,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,35,20.00
46,Herpin Guillaume,Male,03-02-2023,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,35,
47,Herpin Guillaume,Male,13-01-2023,Gore Mountain,USA,France,Universiade,Snowboard Cross,5,117.00
48,Herpin Guillaume,Male,12-01-2023,Gore Mountain,USA,France,Qualification,Snowboard Cross,3,
49,Herpin Guillaume,Male,04-12-2022,Les Deux Alpes,FRA,France,World Cup,Snowboard Cross,35,20.00
50,Herpin Guillaume,Male,02-12-2022,Les Deux Alpes,FRA,France,Qualification,Snowboard Cross,35,
51,Herpin Guillaume,Male,24-11-2022,Pitztal,AUT,France,European Cup,Snowboard Cross,11,57.60
52,Herpin Guillaume,Male,23-11-2022,Pitztal,AUT,France,Qualification,Snowboard Cross,11,
53,Herpin Guillaume,Male,08-04-2022,Isola 2000,FRA,France,National Championships,Snowboard Cross,7,104.40
54,Herpin Guillaume,Male,26-03-2022,Lenk,SUI,France,European Cup,Snowboard Cross,14,64.80
55,Herpin Guillaume,Male,25-03-2022,Lenk,SUI,France,European Cup,Snowboard Cross,5,162.00
56,Herpin Guillaume,Male,20-03-2022,Veysonnaz,SUI,France,World Cup,Snowboard Cross,17,140.00
57,Herpin Guillaume,Male,12-03-2022,Reiteralm,AUT,France,World Cup,Snowboard Cross,30,32.00
58,Herpin Guillaume,Male,10-03-2022,Reiteralm,AUT,France,Qualification,Snowboard Cross,25,
59,Herpin Guillaume,Male,03-03-2022,Pitztal,AUT,France,European Cup,Snowboard Cross,12,79.20
60,Herpin Guillaume,Male,02-03-2022,Pitztal,AUT,France,European Cup,Snowboard Cross,15,57.60
61,Herpin Guillaume,Male,27-02-2022,Grasgehren,GER,France,European Cup,Snowboard Cross,5,162.00
62,Herpin Guillaume,Male,26-02-2022,Grasgehren,GER,France,European Cup,Snowboard Cross,9,104.40
63,Herpin Guillaume,Male,05-02-2022,Dolni Morava,CZE,France,FIS,Snowboard Cross,12,30.80
64,Herpin Guillaume,Male,03-02-2022,Dolni Morava,CZE,France,European Cup,Snowboard Cross,1,260.00
65,Herpin Guillaume,Male,02-02-2022,Dolni Morava,CZE,France,European Cup,Snowboard Cross,9,69.60
66,Herpin Guillaume,Male,29-01-2022,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,43,
67,Herpin Guillaume,Male,29-01-2022,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,43,17.60
68,Herpin Guillaume,Male,23-01-2022,Reiteralm,AUT,France,European Cup,Snowboard Cross,9,75.40
69,Herpin Guillaume,Male,09-01-2022,Krasnoyarsk,RUS,France,World Cup,Snowboard Cross,33,24.00
70,Herpin Guillaume,Male,08-01-2022,Krasnoyarsk,RUS,France,World Cup,Snowboard Cross,10,260.00
71,Herpin Guillaume,Male,07-01-2022,Krasnoyarsk,RUS,France,Qualification,Snowboard Cross,14,
72,Herpin Guillaume,Male,18-12-2021,Cervinia,ITA,France,World Cup,Snowboard Cross,44,17.30
73,Herpin Guillaume,Male,17-12-2021,Cervinia,ITA,France,Qualification,Snowboard Cross,44,
74,Herpin Guillaume,Male,10-12-2021,Montafon,AUT,France,World Cup,Snowboard Cross,39,18.80
75,Herpin Guillaume,Male,09-12-2021,Montafon,AUT,France,Qualification,Snowboard Cross,39,
76,Herpin Guillaume,Male,28-11-2021,Secret Garden,CHN,France,World Cup,Snowboard Cross,51,15.20
77,Herpin Guillaume,Male,26-11-2021,Secret Garden,CHN,France,Qualification,Snowboard Cross,51,
78,Herpin Guillaume,Male,30-10-2021,Les 2 Alpes,FRA,France,FIS,Snowboard Cross,6,88.00
79,Herpin Guillaume,Male,24-03-2021,Krasnoyarsk ,RUS,France,FIS Junior World Championships,Snowboard Cross Team,2,
80,Herpin Guillaume,Male,23-03-2021,Krasnoyarsk ,RUS,France,FIS Junior World Championships,Snowboard Cross,6,104.00
81,Herpin Guillaume,Male,12-03-2021,Lenk,SUI,France,European Cup,Snowboard Cross,24,16.80
82,Herpin Guillaume,Male,07-03-2021,Montafon/Gargellen,AUT,France,European Cup,Snowboard Cross,2,144.00
83,Herpin Guillaume,Male,06-03-2021,Montafon/Gargellen,AUT,France,European Cup,Snowboard Cross,1,180.00
84,Herpin Guillaume,Male,28-02-2021,Reiteralm,AUT,France,European Cup,Snowboard Cross,1,180.00
85,Herpin Guillaume,Male,27-02-2021,Reiteralm,AUT,France,European Cup,Snowboard Cross,4,90.00
86,Herpin Guillaume,Male,18-02-2021,Reiteralm,AUT,France,World Cup,Snowboard Cross,46,16.70
87,Herpin Guillaume,Male,16-02-2021,Reiteralm,AUT,France,Qualification,Snowboard Cross,46,
88,Herpin Guillaume,Male,13-02-2021,Chiesa in Valmalenco,ITA,France,European Cup,Snowboard Cross,13,52.00
89,Herpin Guillaume,Male,12-02-2021,Chiesa in Valmalenco,ITA,France,European Cup,Snowboard Cross,9,75.40
90,Herpin Guillaume,Male,03-02-2021,Isola 2000,FRA,France,European Cup,Snowboard Cross,17,22.40
91,Herpin Guillaume,Male,31-01-2021,Isola 2000,FRA,France,European Cup,Snowboard Cross,15,41.60
92,Herpin Guillaume,Male,30-01-2021,Isola 2000,FRA,France,European Cup,Snowboard Cross,20,39.60
93,Herpin Guillaume,Male,24-01-2021,Chiesa in Valmalenco,ITA,France,World Cup,Snowboard Cross,33,24.00
94,Herpin Guillaume,Male,23-01-2021,Chiesa in Valmalenco,ITA,France,World Cup,Snowboard Cross,34,22.00
95,Herpin Guillaume,Male,22-01-2021,Chiesa in Valmalenco,ITA,France,Qualification,Snowboard Cross,34,
96,Herpin Guillaume,Male,16-01-2021,Crans-Montana,SUI,France,FIS,Snowboard Cross,3,132.00
97,Herpin Guillaume,Male,07-03-2020,Sierra Nevada,ESP,France,Qualification,Snowboard Cross,49,
98,Herpin Guillaume,Male,07-03-2020,Sierra Nevada,ESP,France,World Cup,Snowboard Cross,49,15.80
99,Herpin Guillaume,Male,22-02-2020,Grasgehren,GER,France,European Cup,Snowboard Cross,38,6.88
100,Herpin Guillaume,Male,16-02-2020,Flumserberg,SUI,France,FIS,Snowboard Cross,10,52.00
101,Herpin Guillaume,Male,15-02-2020,Flumserberg,SUI,France,FIS,Snowboard Cross,17,21.00
102,Herpin Guillaume,Male,07-02-2020,Colere,ITA,France,FIS,Snowboard Cross,3,84.00
103,Herpin Guillaume,Male,26-01-2020,Grasgehren,GER,France,Junior,Snowboard Cross,11,28.80
104,Herpin Guillaume,Male,25-01-2020,Grasgehren,GER,France,Junior,Snowboard Cross,3,72.00
