,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hlavacek Stepan,Male,28-02-2025,Passo San Pellegrino,ITA,Czechia,European Cup,Snowboard Cross,34,3.96
1,Hlavacek Stepan,Male,27-02-2025,Passo San Pellegrino,ITA,Czechia,European Cup,Snowboard Cross,23,14.40
2,Hlavacek Stepan,Male,23-02-2025,Klinovec,CZE,Czechia,FIS,Snowboard Cross,1,140.00
3,Hlavacek Stepan,Male,22-02-2025,Klinovec,CZE,Czechia,FIS,Snowboard Cross,1,50.00
4,Hlavacek Stepan,Male,09-02-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,16,33.00
5,Hlavacek Stepan,Male,08-02-2025,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,13,52.00
6,Hlavacek Stepan,Male,02-02-2025,St. Lary,FRA,Czechia,National Championships,Snowboard Cross,26,7.50
7,Hlavacek Stepan,Male,31-01-2025,St. Lary,FRA,Czechia,European Cup,Snowboard Cross,14,32.40
8,Hlavacek Stepan,Male,24-01-2025,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,19,21.60
9,Hlavacek Stepan,Male,23-01-2025,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,29,7.20
10,Hlavacek Stepan,Male,12-01-2025,Lenk,SUI,Czechia,Junior Regional Cup,Snowboard Cross,5,54.00
11,Hlavacek Stepan,Male,01-12-2024,Pitztal,AUT,Czechia,Junior,Snowboard Cross,3,72.00
12,Hlavacek Stepan,Male,30-11-2024,Pitztal,AUT,Czechia,Junior,Snowboard Cross,10,31.20
13,Hlavacek Stepan,Male,30-11-2024,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,8,
14,Hlavacek Stepan,Male,27-11-2024,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,DNF,
15,Hlavacek Stepan,Male,27-11-2024,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,DNF,
16,Hlavacek Stepan,Male,06-04-2024,Gudauri,GEO,Czechia,FIS Junior World Championships,Snowboard Cross,23,28.80
17,Hlavacek Stepan,Male,05-04-2024,Gudauri,GEO,Czechia,Qualification,Snowboard Cross,27,
18,Hlavacek Stepan,Male,22-03-2024,Lenk,SUI,Czechia,European Cup,Snowboard Cross,41,4.37
19,Hlavacek Stepan,Male,21-03-2024,Lenk,SUI,Czechia,European Cup,Snowboard Cross,56,3.29
20,Hlavacek Stepan,Male,01-03-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,6,36.00
21,Hlavacek Stepan,Male,29-02-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,4,45.00
22,Hlavacek Stepan,Male,25-02-2024,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,41,5.28
23,Hlavacek Stepan,Male,24-02-2024,Grasgehren,GER,Czechia,European Cup,Snowboard Cross,45,5.44
24,Hlavacek Stepan,Male,17-02-2024,Colere,ITA,Czechia,European Cup,Snowboard Cross,55,3.36
25,Hlavacek Stepan,Male,16-02-2024,Colere,ITA,Czechia,European Cup,Snowboard Cross,36,4.73
26,Hlavacek Stepan,Male,06-02-2024,Reiteralm,AUT,Czechia,European Cup,Snowboard Cross,DNF,
27,Hlavacek Stepan,Male,05-02-2024,Reiteralm,AUT,Czechia,European Cup,Snowboard Cross,29,7.20
28,Hlavacek Stepan,Male,02-02-2024,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,7,32.40
29,Hlavacek Stepan,Male,01-02-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,37,4.27
30,Hlavacek Stepan,Male,31-01-2024,Dolni Morava,CZE,Czechia,European Cup,Snowboard Cross,43,3.87
31,Hlavacek Stepan,Male,28-01-2024,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,27,9.00
32,Hlavacek Stepan,Male,27-01-2024,Puy St. Vincent,FRA,Czechia,European Cup,Snowboard Cross,32,5.20
33,Hlavacek Stepan,Male,21-01-2024,Gangwon/Welli Hilli,KOR,Czechia,Youth Olympic Winter Games,Snowboard Cross Team,6,
34,Hlavacek Stepan,Male,20-01-2024,Gangwon/Welli Hilli,KOR,Czechia,Youth Olympic Winter Games,Snowboard Cross,19,13.20
35,Hlavacek Stepan,Male,09-12-2023,Pitztal,AUT,Czechia,Junior,Snowboard Cross,27,4.50
36,Hlavacek Stepan,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Czechia,National Junior Championships,Snowboard Cross,18,16.90
37,Hlavacek Stepan,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Czechia,National Championships,Snowboard Cross,12,63.80
38,Hlavacek Stepan,Male,30-03-2023,Passo San Pellegrino,ITA,Czechia,FIS Junior World Championships,Snowboard Cross,49,5.06
39,Hlavacek Stepan,Male,19-03-2023,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,2,120.00
40,Hlavacek Stepan,Male,18-03-2023,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,9,43.50
41,Hlavacek Stepan,Male,17-03-2023,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,8,48.00
42,Hlavacek Stepan,Male,12-03-2023,Lenk,SUI,Czechia,National Junior Championships,Snowboard Cross,25,5.40
43,Hlavacek Stepan,Male,19-02-2023,Flumserberg,SUI,Czechia,Junior,Snowboard Cross,17,15.40
44,Hlavacek Stepan,Male,18-02-2023,Flumserberg,SUI,Czechia,Junior,Snowboard Cross,9,31.90
45,Hlavacek Stepan,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Czechia,European Cup,Snowboard Cross,33,6.96
