,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Houser Radek,Male,07-03-2025,Gudauri,GEO,Czechia,Qualification,Snowboard Cross,17,
1,Houser Radek,Male,02-03-2025,Erzurum,TUR,Czechia,World Cup,Snowboard Cross Team,12,
2,Houser Radek,Male,01-03-2025,Erzurum,TUR,Czechia,World Cup,Snowboard Cross,13,200.00
3,Houser Radek,Male,28-02-2025,Erzurum,TUR,Czechia,Qualification,Snowboard Cross,6,
4,Houser Radek,Male,23-02-2025,Klinovec,CZE,Czechia,FIS,Snowboard Cross,24,9.80
5,Houser Radek,Male,15-02-2025,Cortina d'Ampezzo,ITA,Czechia,Qualification,Snowboard Cross,31,
6,Houser Radek,Male,15-02-2025,Cortina d'Ampezzo,ITA,Czechia,World Cup,Snowboard Cross,4,500.00
7,Houser Radek,Male,09-02-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,1,220.00
8,Houser Radek,Male,08-02-2025,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,1,260.00
9,Houser Radek,Male,02-02-2025,Beidahu,CHN,Czechia,World Cup,Snowboard Cross,17,140.00
10,Houser Radek,Male,02-02-2025,Beidahu,CHN,Czechia,Qualification,Snowboard Cross,9,
11,Houser Radek,Male,01-02-2025,Beidahu,CHN,Czechia,World Cup,Snowboard Cross,19,120.00
12,Houser Radek,Male,31-01-2025,Beidahu,CHN,Czechia,Qualification,Snowboard Cross,16,
13,Houser Radek,Male,14-12-2024,Cervinia,ITA,Czechia,World Cup,Snowboard Cross,40,18.50
14,Houser Radek,Male,13-12-2024,Cervinia,ITA,Czechia,Qualification,Snowboard Cross,40,
15,Houser Radek,Male,27-11-2024,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,28,14.40
16,Houser Radek,Male,27-11-2024,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,27,
17,Houser Radek,Male,03-10-2024,Corralco,CHI,Czechia,South American Cup,Snowboard Cross,9,104.40
18,Houser Radek,Male,03-10-2024,Corralco,CHI,Czechia,South American Cup,Snowboard Cross,8,115.20
19,Houser Radek,Male,24-03-2024,Mt. St. Anne,CAN,Czechia,World Cup,Snowboard Cross,27,45.00
