,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hydle Keller,Male,01-02-2025,Aspen,USA,United States Of America,World Cup,Halfpipe,41,
1,Hydle Keller,Male,30-01-2025,Aspen,USA,United States Of America,Qualification,Halfpipe,21,
2,Hydle Keller,Male,12-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,13,17.50
3,Hydle Keller,Male,09-01-2025,"Copper Mountain, CO",USA,United States Of America,FIS,Halfpipe,12,10.50
4,Hydle Keller,Male,20-12-2024,Copper,USA,United States Of America,World Cup,Halfpipe,34,49.20
5,Hydle Keller,Male,18-12-2024,Copper,USA,United States Of America,Qualification,Halfpipe,17,
6,Hydle Keller,Male,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup Premium,Halfpipe,14,25.00
7,Hydle Keller,Male,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,15,22.90
8,Hydle Keller,Male,13-02-2024,"Park City, UT",USA,United States Of America,FIS,Halfpipe,4,27.10
9,Hydle Keller,Male,10-01-2024,"Copper Mountain, CO",USA,United States Of America,FIS,Halfpipe,15,8.60
