,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ineichen Leander,Male,16-03-2025,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,14,11.40
1,Ineichen Leander,Male,08-04-2024,Corvatsch,SUI,Switzerland,European Cup,Halfpipe,32,4.10
2,Ineichen Leander,Male,17-03-2024,Laax,SUI,Switzerland,Junior,Halfpipe,2,56.50
3,Ineichen Leander,Male,15-03-2024,Laax,SUI,Switzerland,Junior,Slopestyle,5,24.60
4,Ineichen Leander,Male,12-03-2024,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,67,14.60
5,Ineichen Leander,Male,09-03-2024,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,12,53.00
6,Ineichen Leander,Male,03-02-2024,Grindelwald,SUI,Switzerland,Junior,Slopestyle,13,9.10
7,Ineichen Leander,Male,03-02-2024,Grindelwald,SUI,Switzerland,FIS,Halfpipe,3,5.70
8,Ineichen Leander,Male,19-04-2023,Kitzsteinhorn,AUT,Switzerland,European Cup,Halfpipe,6,39.60
9,Ineichen Leander,Male,18-04-2023,Kitzsteinhorn,AUT,Switzerland,European Cup,Halfpipe,8,42.70
10,Ineichen Leander,Male,16-04-2023,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,5,22.50
11,Ineichen Leander,Male,19-03-2023,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,4,23.70
12,Ineichen Leander,Male,18-03-2023,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,12,12.30
13,Ineichen Leander,Male,19-02-2023,Davos,SUI,Switzerland,Junior,Slopestyle,12,7.10
14,Ineichen Leander,Male,05-02-2023,Grindelwald,SUI,Switzerland,Junior,Slopestyle,12,1.80
15,Ineichen Leander,Male,05-02-2023,Grindelwald,SUI,Switzerland,FIS,Halfpipe,11,4.90
16,Ineichen Leander,Male,09-04-2022,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,5,17.60
17,Ineichen Leander,Male,20-03-2022,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,20,31.40
