,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ivanovaite Patricija,Female,16-12-2023,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Rail Event,4,
1,Ivanovaite Patricija,Female,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,FIS,Slopestyle,1,50.00
2,Ivanovaite Patricija,Female,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,FIS,Big Air,4,10.60
3,Ivanovaite Patricija,Female,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,National Championships,Slopestyle,2,35.20
4,Ivanovaite Patricija,Female,03-04-2022,"Druskininkai,Snow arena",LTU,Lithuania,National Championships,Big Air,2,35.20
5,Ivanovaite Patricija,Female,25-03-2022,Vuokatti,FIN,Lithuania,European Youth Olympic Festival,Slopestyle,11,3.80
6,Ivanovaite Patricija,Female,23-03-2022,Vuokatti,FIN,Lithuania,European Youth Olympic Festival,Big Air,10,6.10
7,Ivanovaite Patricija,Female,06-03-2022,Munakas,EST,Lithuania,National Junior Championships,Slopestyle,1,10.00
8,Ivanovaite Patricija,Female,05-03-2022,Munakas,EST,Lithuania,National Junior Championships,Big Air,1,10.00
9,Ivanovaite Patricija,Female,19-11-2021,Landgraaf,NED,Lithuania,European Cup,Slopestyle,16,5.00
10,Ivanovaite Patricija,Female,18-11-2021,Landgraaf,NED,Lithuania,FIS,Slopestyle,15,13.50
11,Ivanovaite Patricija,Female,08-02-2021,Kopaonik,SRB,Lithuania,European Cup,Big Air,9,0.18
12,Ivanovaite Patricija,Female,05-02-2021,Mavrovo,MKD,Lithuania,FIS,Slopestyle,2,39.88
13,Ivanovaite Patricija,Female,04-02-2021,Mavrovo,MKD,Lithuania,National Championships,Slopestyle,2,40.15
14,Ivanovaite Patricija,Female,20-02-2020,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Big Air,3,30.00
15,Ivanovaite Patricija,Female,19-02-2020,"Snow Arena, Druskininkai",LTU,Lithuania,FIS,Slopestyle,2,40.00
