,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ivchatov Ivan,Male,06-04-2024,Gudauri,GEO,Ukraine,FIS Junior World Championships,Snowboard Cross,47,
1,Ivchatov Ivan,Male,05-04-2024,Gudauri,GEO,Ukraine,Qualification,Snowboard Cross,47,
2,Ivchatov Ivan,Male,30-03-2024,Colere,ITA,Ukraine,National Championships,Snowboard Cross,35,5.80
3,Ivchatov Ivan,Male,24-03-2024,Lenk,SUI,Ukraine,National Championships,Snowboard Cross,27,5.40
4,Ivchatov Ivan,Male,22-03-2024,Lenk,SUI,Ukraine,European Cup,Snowboard Cross,66,
5,Ivchatov Ivan,Male,21-03-2024,Lenk,SUI,Ukraine,European Cup,Snowboard Cross,72,
6,Ivchatov Ivan,Male,01-03-2024,Dolni Morava,CZE,Ukraine,FIS,Snowboard Cross,16,13.50
7,Ivchatov Ivan,Male,29-02-2024,Dolni Morava,CZE,Ukraine,FIS,Snowboard Cross,9,26.10
8,Ivchatov Ivan,Male,19-02-2024,Bukovel,UKR,Ukraine,National Championships,Snowboard Cross,8,16.00
9,Ivchatov Ivan,Male,18-02-2024,Bukovel,UKR,Ukraine,FIS,Snowboard Cross,4,25.00
10,Ivchatov Ivan,Male,03-02-2024,Dolni Morava,CZE,Ukraine,Junior,Snowboard Cross,17,7.00
11,Ivchatov Ivan,Male,02-02-2024,Dolni Morava,CZE,Ukraine,Junior,Snowboard Cross,12,19.80
12,Ivchatov Ivan,Male,28-01-2024,Lenk,SUI,Ukraine,FIS,Snowboard Cross,11,16.80
13,Ivchatov Ivan,Male,27-01-2024,Lenk,SUI,Ukraine,FIS,Snowboard Cross,13,14.00
14,Ivchatov Ivan,Male,20-01-2024,Gangwon/Welli Hilli,KOR,Ukraine,Youth Olympic Winter Games,Snowboard Cross,25,6.60
15,Ivchatov Ivan,Male,09-12-2023,Pitztal,AUT,Ukraine,Junior,Snowboard Cross,59,1.28
