,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jansing Zoe,Female,08-02-2025,Simonhoehe,AUT,Germany,National Championships,Parallel Giant Slalom,36,
1,Jansing Zoe,Female,02-02-2025,Ratschings,ITA,Germany,Qualification,Parallel Slalom,5,
2,Jansing Zoe,Female,02-02-2025,Ratschings,ITA,Germany,European Cup,Parallel Slalom,5,144.00
3,Jansing Zoe,Female,01-02-2025,Ratschings,ITA,Germany,Qualification,Parallel Slalom,19,
4,Jansing Zoe,Female,01-02-2025,Ratschings,ITA,Germany,European Cup,Parallel Slalom,19,43.20
5,Jansing Zoe,Female,26-01-2025,Simonhöhe,AUT,Germany,European Cup,Parallel Giant Slalom,31,10.08
6,Jansing Zoe,Female,25-01-2025,Simonhöhe,AUT,Germany,European Cup,Parallel Giant Slalom,3,144.00
7,Jansing Zoe,Female,22-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,10,93.60
8,Jansing Zoe,Female,21-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,15,57.60
9,Jansing Zoe,Female,19-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,DNF,
10,Jansing Zoe,Female,19-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,DNF,
11,Jansing Zoe,Female,18-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,44,
12,Jansing Zoe,Female,18-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,44,17.30
13,Jansing Zoe,Female,14-01-2025,Bad Gastein,AUT,Germany,Qualification,Parallel Slalom,48,
14,Jansing Zoe,Female,14-01-2025,Bad Gastein,AUT,Germany,World Cup,Parallel Slalom,48,
15,Jansing Zoe,Female,11-01-2025,Folgaria,ITA,Germany,European Cup,Parallel Giant Slalom,2,192.00
16,Jansing Zoe,Female,11-01-2025,Folgaria,ITA,Germany,Qualification,Parallel Giant Slalom,1,
17,Jansing Zoe,Female,10-01-2025,Folgaria,ITA,Germany,European Cup,Parallel Giant Slalom,9,69.60
18,Jansing Zoe,Female,10-01-2025,Folgaria,ITA,Germany,Qualification,Parallel Giant Slalom,2,
19,Jansing Zoe,Female,06-01-2025,Simonhoehe,AUT,Germany,Junior Regional Cup,Parallel Giant Slalom,3,84.00
20,Jansing Zoe,Female,05-01-2025,Simonhoehe,AUT,Germany,Junior Regional Cup,Parallel Giant Slalom,5,63.00
21,Jansing Zoe,Female,20-12-2024,Moninec,CZE,Germany,European Cup,Parallel Slalom,2,192.00
22,Jansing Zoe,Female,19-12-2024,Moninec,CZE,Germany,European Cup,Parallel Slalom,8,76.80
23,Jansing Zoe,Female,15-12-2024,Götschen,GER,Germany,European Cup,Parallel Slalom,32,6.24
24,Jansing Zoe,Female,14-12-2024,Götschen,GER,Germany,European Cup,Parallel Slalom,9,63.80
25,Jansing Zoe,Female,23-03-2024,Lachtal,AUT,Germany,Qualification,Parallel Slalom,14,
26,Jansing Zoe,Female,23-03-2024,Lachtal,AUT,Germany,FIS Junior World Championships,Parallel Slalom,14,43.20
27,Jansing Zoe,Female,22-03-2024,Lachtal,AUT,Germany,Qualification,Parallel Giant Slalom,22,
28,Jansing Zoe,Female,22-03-2024,Lachtal,AUT,Germany,FIS Junior World Championships,Parallel Giant Slalom,22,21.60
29,Jansing Zoe,Female,10-03-2024,Lenzerheide,SUI,Germany,European Cup,Parallel Slalom,22,21.60
30,Jansing Zoe,Female,09-03-2024,Lenzerheide,SUI,Germany,European Cup,Parallel Slalom,21,24.00
31,Jansing Zoe,Female,09-02-2024,Funes - Vilnoess,ITA,Germany,National Championships,Parallel Slalom,9,84.10
32,Jansing Zoe,Female,08-02-2024,Funes - Vilnoess,ITA,Germany,National Championships,Parallel Giant Slalom,30,9.28
33,Jansing Zoe,Female,04-02-2024,Haus im Ennstal,AUT,Germany,Junior,Parallel Giant Slalom,2,112.00
34,Jansing Zoe,Female,03-02-2024,Haus im Ennstal,AUT,Germany,Junior,Parallel Giant Slalom,3,84.00
35,Jansing Zoe,Female,28-01-2024,Nova Levante - Welschnofen,ITA,Germany,FIS,Parallel Giant Slalom,9,52.20
36,Jansing Zoe,Female,27-01-2024,Nova Levante - Welschnofen,ITA,Germany,FIS,Parallel Giant Slalom,15,28.80
37,Jansing Zoe,Female,12-01-2024,Folgaria,ITA,Germany,Qualification,Parallel Slalom,20,
38,Jansing Zoe,Female,12-01-2024,Folgaria,ITA,Germany,European Cup,Parallel Slalom,20,26.40
39,Jansing Zoe,Female,11-01-2024,Folgaria,ITA,Germany,Qualification,Parallel Slalom,28,
40,Jansing Zoe,Female,11-01-2024,Folgaria,ITA,Germany,European Cup,Parallel Slalom,28,
41,Jansing Zoe,Female,05-01-2024,Simonhöhe,AUT,Germany,Junior,Parallel Giant Slalom,5,63.00
42,Jansing Zoe,Female,22-12-2023,Moninec,CZE,Germany,FIS,Parallel Slalom,22,18.00
43,Jansing Zoe,Female,21-12-2023,Moninec,CZE,Germany,FIS,Parallel Slalom,DSQ,
44,Jansing Zoe,Female,20-12-2023,Moninec,CZE,Germany,European Cup,Parallel Slalom,24,18.20
45,Jansing Zoe,Female,19-12-2023,Moninec,CZE,Germany,European Cup,Parallel Slalom,33,6.24
46,Jansing Zoe,Female,10-12-2023,Götschen,GER,Germany,Junior,Parallel Slalom,13,32.00
47,Jansing Zoe,Female,09-12-2023,Götschen,GER,Germany,European Cup,Parallel Slalom,32,9.36
48,Jansing Zoe,Female,09-12-2023,Götschen,GER,Germany,Qualification,Parallel Slalom,32,
49,Jansing Zoe,Female,08-12-2023,Götschen,GER,Germany,Qualification,Parallel Slalom,8,
50,Jansing Zoe,Female,08-12-2023,Götschen,GER,Germany,European Cup,Parallel Slalom,8,115.20
