,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jaromin Jan,Male,23-02-2025,Kotelnica,POL,Poland,European Cup,Big Air,16,4.60
1,Jaromin Jan,Male,17-01-2025,Bardonecchia,ITA,Poland,Universiade,Slopestyle,DNS,
2,Jaromin Jan,Male,01-03-2024,Skalite Szczyrk,POL,Poland,FIS,Rail Event,4,
3,Jaromin Jan,Male,17-02-2024,Kotelnica Balczanskaia,POL,Poland,National Championships,Big Air,1,50.00
4,Jaromin Jan,Male,10-02-2024,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,2,97.60
5,Jaromin Jan,Male,02-02-2024,Gubalowka,POL,Poland,FIS,Big Air,3,33.20
6,Jaromin Jan,Male,01-02-2024,Gubalowka,POL,Poland,FIS,Slopestyle,8,11.60
7,Jaromin Jan,Male,11-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Big Air,1,50.00
8,Jaromin Jan,Male,10-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Slopestyle,3,31.70
9,Jaromin Jan,Male,19-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Big Air,4,26.20
10,Jaromin Jan,Male,18-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Slopestyle,DNS,
11,Jaromin Jan,Male,11-02-2023,Kotelnica Bialczanska,POL,Poland,FIS,Big Air,3,32.20
12,Jaromin Jan,Male,20-01-2023,Gore Mountain,USA,Poland,Universiade,Big Air,14,7.20
13,Jaromin Jan,Male,19-01-2023,Gore Mountain,USA,Poland,Qualification,Big Air,14,
14,Jaromin Jan,Male,18-01-2023,Gore Mountain,USA,Poland,Universiade,Slopestyle,15,7.10
15,Jaromin Jan,Male,17-01-2023,Gore Mountain,USA,Poland,Qualification,Slopestyle,15,
16,Jaromin Jan,Male,28-02-2021,Czarny  Gron,POL,Poland,National Championships,Slopestyle,1,50.00
17,Jaromin Jan,Male,27-02-2021,Czarny  Gron,POL,Poland,National Championships,Big Air,2,39.51
18,Jaromin Jan,Male,21-02-2021,Krynica-Zdroj,POL,Poland,FIS,Slopestyle,6,9.71
19,Jaromin Jan,Male,20-02-2021,Krynica-Zdroj,POL,Poland,FIS,Slopestyle,1,50.00
20,Jaromin Jan,Male,19-02-2021,Krynica-Zdroj,POL,Poland,FIS,Big Air,3,29.83
21,Jaromin Jan,Male,15-02-2020,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,17,22.40
22,Jaromin Jan,Male,13-04-2019,Klaeppen,SWE,Poland,FIS Junior World Championships,Big Air,56,3.29
23,Jaromin Jan,Male,12-04-2019,Klaeppen,SWE,Poland,Qualification,Big Air,15,
24,Jaromin Jan,Male,09-04-2019,Klaeppen,SWE,Poland,FIS Junior World Championships,Slopestyle,51,3.65
25,Jaromin Jan,Male,08-04-2019,Klaeppen,SWE,Poland,Qualification,Slopestyle,13,
26,Jaromin Jan,Male,19-03-2019,Jasna,SVK,Poland,European Cup,Slopestyle,14,28.80
27,Jaromin Jan,Male,18-03-2019,Jasna,SVK,Poland,European Cup,Slopestyle,10,41.60
28,Jaromin Jan,Male,16-03-2019,Pec pod Snezkou,CZE,Poland,European Cup,Slopestyle,9,46.40
29,Jaromin Jan,Male,16-02-2019,Kotelnica Bialczanska,POL,Poland,European Cup,Big Air,7,57.60
30,Jaromin Jan,Male,03-02-2019,Sarajevo,BIH,Poland,European Cup,Big Air,DNS1,
31,Jaromin Jan,Male,03-02-2019,Sarajevo,BIH,Poland,European Cup,Big Air,20,
32,Jaromin Jan,Male,26-01-2019,Vars,FRA,Poland,European Cup,Big Air,DNS1,
33,Jaromin Jan,Male,25-01-2019,Vars,FRA,Poland,European Cup,Slopestyle,DNS1,
34,Jaromin Jan,Male,22-01-2019,Font Romeu,FRA,Poland,European Cup,Big Air,22,14.40
35,Jaromin Jan,Male,17-01-2019,Kreischberg,AUT,Poland,European Cup,Big Air,34,3.96
36,Jaromin Jan,Male,16-01-2019,Kreischberg,AUT,Poland,European Cup,Slopestyle,45,2.72
37,Jaromin Jan,Male,21-04-2018,Corvatsch,SUI,Poland,European Cup,Big Air,39,6.77
38,Jaromin Jan,Male,10-03-2018,Pec pod Snezkou,CZE,Poland,European Cup,Slopestyle,16,24.00
39,Jaromin Jan,Male,25-02-2018,Kopaonik,SRB,Poland,European Cup,Big Air,18,20.80
40,Jaromin Jan,Male,23-02-2018,Kopaonik,SRB,Poland,FIS,Big Air,12,24.20
41,Jaromin Jan,Male,22-02-2018,Kopaonik,SRB,Poland,FIS,Slopestyle,11,21.60
42,Jaromin Jan,Male,18-02-2018,Sarajevo,BIH,Poland,European Cup,Big Air,10,41.60
43,Jaromin Jan,Male,17-02-2018,Bjelasnica,BIH,Poland,FIS,Slopestyle,10,13.00
44,Jaromin Jan,Male,28-01-2018,Crans Montana,SUI,Poland,European Cup,Big Air,23,12.80
45,Jaromin Jan,Male,24-01-2018,Vars,FRA,Poland,European Cup,Big Air,38,3.06
46,Jaromin Jan,Male,23-01-2018,Vars,FRA,Poland,European Cup,Slopestyle,37,3.10
47,Jaromin Jan,Male,14-01-2018,Jasna,SVK,Poland,European Cup,Slopestyle,30,5.12
48,Jaromin Jan,Male,13-01-2018,Jasna,SVK,Poland,European Cup,Slopestyle,31,4.48
49,Jaromin Jan,Male,05-03-2017,Kopaonik,SRB,Poland,European Cup,Big Air,8,51.20
50,Jaromin Jan,Male,04-03-2017,Kopaonik,SRB,Poland,European Cup,Big Air,6,64.00
51,Jaromin Jan,Male,12-02-2017,Sarajevo,BIH,Poland,European Cup,Big Air,14,28.80
52,Jaromin Jan,Male,11-02-2017,Sarajevo,BIH,Poland,FIS,Slopestyle,8,22.40
53,Jaromin Jan,Male,03-04-2016,Jasna,SVK,Poland,European Cup,Slopestyle,27,
54,Jaromin Jan,Male,02-04-2016,Jasna,SVK,Poland,European Cup,Slopestyle,20,22.00
