,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jarvilehto Kalle,Male,06-04-2025,Ruka,FIN,Finland,National Championships,Halfpipe,8,0.10
1,Jarvilehto Kalle,Male,04-04-2025,Ruka,FIN,Finland,National Championships,Slopestyle,5,31.60
2,Jarvilehto Kalle,Male,03-04-2025,Ruka,FIN,Finland,National Championships,Big Air,6,19.70
3,Jarvilehto Kalle,Male,28-03-2025,Engadin,SUI,Finland,World Championships,Big Air,49,39.70
4,Jarvilehto Kalle,Male,25-03-2025,Engadin,SUI,Finland,Qualification,Big Air,26,
5,Jarvilehto Kalle,Male,21-03-2025,Engadin,SUI,Finland,World Championships,Slopestyle,61,0.20
6,Jarvilehto Kalle,Male,20-03-2025,Engadin,SUI,Finland,Qualification,Slopestyle,31,
7,Jarvilehto Kalle,Male,22-02-2025,Calgary,CAN,Finland,World Cup,Slopestyle,55,13.40
8,Jarvilehto Kalle,Male,20-02-2025,Calgary,CAN,Finland,Qualification,Slopestyle,28,
9,Jarvilehto Kalle,Male,06-02-2025,Aspen,USA,Finland,World Cup,Big Air,21,153.10
10,Jarvilehto Kalle,Male,05-02-2025,Aspen,USA,Finland,Qualification,Big Air,12,
11,Jarvilehto Kalle,Male,02-02-2025,Aspen,USA,Finland,World Cup,Slopestyle,51,22.90
12,Jarvilehto Kalle,Male,31-01-2025,Aspen,USA,Finland,Qualification,Slopestyle,28,
13,Jarvilehto Kalle,Male,18-01-2025,Laax,SUI,Finland,World Cup,Slopestyle,56,17.20
14,Jarvilehto Kalle,Male,16-01-2025,Laax,SUI,Finland,Qualification,Slopestyle,29,
15,Jarvilehto Kalle,Male,11-01-2025,Kreischberg,AUT,Finland,Qualification,Big Air,4,
16,Jarvilehto Kalle,Male,11-01-2025,Kreischberg,AUT,Finland,World Cup,Big Air,4,590.40
17,Jarvilehto Kalle,Male,05-01-2025,Klagenfurt,AUT,Finland,Qualification,Big Air,17,
18,Jarvilehto Kalle,Male,05-01-2025,Klagenfurt,AUT,Finland,World Cup,Big Air,29,98.70
