,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jones Robert,Male,22-02-2025,Colere,ITA,Australia,FIS,Snowboard Cross,21,
1,Jones Robert,Male,16-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,21,11.00
2,Jones Robert,Male,15-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,5,49.50
3,Jones Robert,Male,09-02-2025,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,10,57.20
4,Jones Robert,Male,08-02-2025,Dolni Morava,CZE,Australia,National Championships,Snowboard Cross,3,156.00
5,Jones Robert,Male,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,45,
6,Jones Robert,Male,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,13,10.00
7,Jones Robert,Male,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,17,7.00
8,Jones Robert,Male,24-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,38,3.44
9,Jones Robert,Male,23-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,34,4.40
10,Jones Robert,Male,12-01-2025,Lenk,SUI,Australia,Junior Regional Cup,Snowboard Cross,9,34.80
11,Jones Robert,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,12,79.20
12,Jones Robert,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,14,64.80
13,Jones Robert,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,14,64.80
14,Jones Robert,Male,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,5,22.50
15,Jones Robert,Male,06-04-2024,Gudauri,GEO,Australia,FIS Junior World Championships,Snowboard Cross,39,6.77
16,Jones Robert,Male,05-04-2024,Gudauri,GEO,Australia,Qualification,Snowboard Cross,38,
17,Jones Robert,Male,02-03-2024,St. Moritz,SUI,Australia,National Junior Championships,Snowboard Cross,9,20.30
18,Jones Robert,Male,25-02-2024,Grasgehren,GER,Australia,European Cup,Snowboard Cross,57,
19,Jones Robert,Male,24-02-2024,Grasgehren,GER,Australia,European Cup,Snowboard Cross,62,
20,Jones Robert,Male,17-02-2024,Colere,ITA,Australia,European Cup,Snowboard Cross,58,3.14
21,Jones Robert,Male,16-02-2024,Colere,ITA,Australia,European Cup,Snowboard Cross,51,3.65
22,Jones Robert,Male,03-02-2024,Dolni Morava,CZE,Australia,Junior,Snowboard Cross,6,20.00
23,Jones Robert,Male,02-02-2024,Dolni Morava,CZE,Australia,Junior,Snowboard Cross,22,8.10
24,Jones Robert,Male,01-02-2024,Dolni Morava,CZE,Australia,European Cup,Snowboard Cross,44,3.81
25,Jones Robert,Male,31-01-2024,Dolni Morava,CZE,Australia,European Cup,Snowboard Cross,57,2.95
26,Jones Robert,Male,28-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,25,6.60
27,Jones Robert,Male,27-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,1,50.00
28,Jones Robert,Male,20-01-2024,Montafon,AUT,Australia,National Championships,Snowboard Cross,70,2.76
29,Jones Robert,Male,19-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,19,24.00
30,Jones Robert,Male,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,20,17.60
31,Jones Robert,Male,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,12,44.00
32,Jones Robert,Male,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,4,35.00
33,Jones Robert,Male,22-01-2023,Puy St.Vincent,FRA,Australia,European Cup,Snowboard Cross,33,5.76
34,Jones Robert,Male,21-01-2023,Puy St.Vincent,FRA,Australia,European Cup,Snowboard Cross,51,
35,Jones Robert,Male,14-01-2023,Lenk,SUI,Australia,FIS,Snowboard Cross,19,6.00
36,Jones Robert,Male,08-01-2023,Isola 2000,FRA,Australia,Junior,Snowboard Cross,25,7.20
37,Jones Robert,Male,07-01-2023,Isola 2000,FRA,Australia,Junior,Snowboard Cross,17,7.00
38,Jones Robert,Male,06-01-2023,Isola 2000,FRA,Australia,European Cup,Snowboard Cross,46,4.01
39,Jones Robert,Male,12-09-2022,Perisher,AUS,Australia,Junior,Snowboard Cross,4,25.00
40,Jones Robert,Male,03-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,19,31.20
41,Jones Robert,Male,02-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,25,15.60
42,Jones Robert,Male,01-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,36.40
43,Jones Robert,Male,31-08-2022,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,17,7.00
44,Jones Robert,Male,14-08-2022,Mt Buller,AUS,Australia,Junior,Snowboard Cross,13,10.00
45,Jones Robert,Male,31-07-2022,Thredbo,AUS,Australia,Junior,Snowboard Cross,4,25.00
