,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jones Rocco,Male,04-03-2025,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,34,
1,Jones Rocco,Male,24-02-2025,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,27,4.50
2,Jones Rocco,Male,04-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,69,0.80
3,Jones Rocco,Male,28-02-2024,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,12,12.50
4,Jones Rocco,Male,16-02-2024,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,31,7.20
5,Jones Rocco,Male,31-01-2024,Mount Snow,USA,United States Of America,FIS,Slopestyle,31,3.40
6,Jones Rocco,Male,01-03-2023,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,12,13.20
7,Jones Rocco,Male,15-02-2023,Mammoth Mountain,USA,United States Of America,FIS,Slopestyle,25,5.50
8,Jones Rocco,Male,03-02-2023,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,19,7.60
9,Jones Rocco,Male,18-01-2023,Mount Snow,USA,United States Of America,FIS,Slopestyle,33,1.50
10,Jones Rocco,Male,09-03-2022,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,22,2.20
11,Jones Rocco,Male,16-02-2022,Gore Mountain,USA,United States Of America,FIS,Big Air,4,0.10
12,Jones Rocco,Male,14-02-2022,Gore Mountain,USA,United States Of America,FIS,Slopestyle,17,4.10
