,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jukola Ville,Male,10-04-2025,Corvatsch,SUI,Finland,European Cup Premium,Slopestyle,18,106.80
1,Jukola Ville,Male,03-04-2025,Kitzsteinhorn,AUT,Finland,European Cup,Big Air,7,141.70
2,Jukola Ville,Male,01-04-2025,Kitzsteinhorn,AUT,Finland,European Cup,Rail Event,13,27.20
3,Jukola Ville,Male,28-03-2025,Engadin,SUI,Finland,World Championships,Big Air,17,193.70
4,Jukola Ville,Male,25-03-2025,Engadin,SUI,Finland,Qualification,Big Air,9,
5,Jukola Ville,Male,21-03-2025,Engadin,SUI,Finland,World Championships,Slopestyle,20,177.40
6,Jukola Ville,Male,20-03-2025,Engadin,SUI,Finland,Qualification,Slopestyle,9,
7,Jukola Ville,Male,11-03-2025,Laax,SUI,Finland,European Cup Premium,Slopestyle,6,129.70
8,Jukola Ville,Male,05-03-2025,Prato Nevoso,ITA,Finland,European Cup,Big Air,1,120.00
9,Jukola Ville,Male,04-03-2025,Prato Nevoso,ITA,Finland,National Championships,Slopestyle,1,100.00
10,Jukola Ville,Male,22-02-2025,Calgary,CAN,Finland,World Cup,Slopestyle,20,173.30
11,Jukola Ville,Male,20-02-2025,Calgary,CAN,Finland,Qualification,Slopestyle,11,
12,Jukola Ville,Male,12-02-2025,Aspen / Highlands,USA,Finland,Nor-Am Cup Premium,Slopestyle,4,152.70
13,Jukola Ville,Male,18-01-2025,Laax,SUI,Finland,World Cup,Slopestyle,40,85.00
14,Jukola Ville,Male,16-01-2025,Laax,SUI,Finland,Qualification,Slopestyle,16,
15,Jukola Ville,Male,11-01-2025,Prato Nevoso,ITA,Finland,European Cup,Slopestyle,5,76.70
16,Jukola Ville,Male,06-01-2025,Font Romeu,FRA,Finland,FIS,Rail Event,5,24.70
17,Jukola Ville,Male,05-01-2025,Font Romeu,FRA,Finland,European Cup Premium,Slopestyle,2,132.90
18,Jukola Ville,Male,01-12-2024,Beijing,CHN,Finland,World Cup,Big Air,24,141.90
19,Jukola Ville,Male,30-11-2024,Beijing,CHN,Finland,Qualification,Big Air,15,
20,Jukola Ville,Male,06-04-2024,Kasurila,FIN,Finland,FIS,Slopestyle,3,31.70
21,Jukola Ville,Male,05-04-2024,Kasurila,FIN,Finland,Qualification,Slopestyle,3,
22,Jukola Ville,Male,04-04-2024,Kasurila,FIN,Finland,FIS,Big Air,1,50.00
23,Jukola Ville,Male,30-03-2024,Livigno/Mottolino,ITA,Finland,FIS Junior World Championships,Big Air,43,17.40
24,Jukola Ville,Male,28-03-2024,Livigno/Mottolino,ITA,Finland,Qualification,Big Air,15,
25,Jukola Ville,Male,26-03-2024,Livigno/Mottolino,ITA,Finland,FIS Junior World Championships,Slopestyle,12,65.40
26,Jukola Ville,Male,26-03-2024,Livigno/Mottolino,ITA,Finland,Qualification,Slopestyle,2,
27,Jukola Ville,Male,12-03-2024,Laax,SUI,Finland,European Cup Premium,Slopestyle,18,43.10
28,Jukola Ville,Male,10-02-2024,Mayrhofen,AUT,Finland,FIS,Slopestyle,3,32.20
29,Jukola Ville,Male,05-01-2024,Font Romeu,FRA,Finland,European Cup,Big Air,29,24.80
30,Jukola Ville,Male,04-01-2024,Font Romeu,FRA,Finland,European Cup Premium,Slopestyle,65,0.10
31,Jukola Ville,Male,04-09-2023,Cardrona,NZL,Finland,FIS Junior World Championships,Big Air,10,103.80
32,Jukola Ville,Male,02-09-2023,Cardrona,NZL,Finland,Qualification,Big Air,5,
33,Jukola Ville,Male,30-08-2023,Cardrona,NZL,Finland,FIS Junior World Championships,Slopestyle,29,49.00
34,Jukola Ville,Male,28-08-2023,Cardrona,NZL,Finland,Qualification,Slopestyle,16,
35,Jukola Ville,Male,17-12-2022,Kiruna,SWE,Finland,FIS,Slopestyle,4,122.90
36,Jukola Ville,Male,13-03-2022,Leysin,SUI,Finland,FIS Junior World Championships,Slopestyle,19,49.50
37,Jukola Ville,Male,10-03-2022,Leysin,SUI,Finland,FIS Junior World Championships,Big Air,28,32.80
38,Jukola Ville,Male,23-01-2022,Prato Nevoso,ITA,Finland,European Cup,Slopestyle,10,72.60
39,Jukola Ville,Male,18-01-2022,Livigno,ITA,Finland,Junior,Slopestyle,8,22.30
