,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Justinen Kennedy,Female,13-03-2025,Lenk,SUI,Canada,European Cup,Snowboard Cross,9,
1,Justinen Kennedy,Female,07-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
2,Justinen Kennedy,Female,06-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,6,64.00
3,Justinen Kennedy,Female,02-03-2025,Gore Mountain Ski Area,USA,Canada,FIS,Snowboard Cross,3,90.00
4,Justinen Kennedy,Female,01-03-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,13,40.00
5,Justinen Kennedy,Female,28-02-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,5,90.00
6,Justinen Kennedy,Female,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,4,90.00
7,Justinen Kennedy,Female,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,3,108.00
8,Justinen Kennedy,Female,19-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Snowboard Cross,1,110.00
9,Justinen Kennedy,Female,18-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Snowboard Cross,2,88.00
10,Justinen Kennedy,Female,23-03-2024,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,DNS2,
11,Justinen Kennedy,Female,22-03-2024,Mt. St. Anne,CAN,Canada,Qualification,Snowboard Cross,DNS2,
12,Justinen Kennedy,Female,17-03-2024,Montafon,AUT,Canada,World Cup,Snowboard Cross,19,120.00
13,Justinen Kennedy,Female,16-03-2024,Montafon,AUT,Canada,World Cup,Snowboard Cross,19,120.00
14,Justinen Kennedy,Female,15-03-2024,Montafon,AUT,Canada,Qualification,Snowboard Cross,19,
15,Justinen Kennedy,Female,09-03-2024,Cortina d'Ampezzo,ITA,Canada,World Cup,Snowboard Cross,23,80.00
16,Justinen Kennedy,Female,08-03-2024,Cortina d'Ampezzo,ITA,Canada,Qualification,Snowboard Cross,23,
17,Justinen Kennedy,Female,03-03-2024,Sierra Nevada,ESP,Canada,World Cup,Snowboard Cross,21,100.00
18,Justinen Kennedy,Female,02-03-2024,Sierra Nevada,ESP,Canada,World Cup,Snowboard Cross,25,60.00
19,Justinen Kennedy,Female,01-03-2024,Sierra Nevada,ESP,Canada,Qualification,Snowboard Cross,25,
20,Justinen Kennedy,Female,04-02-2024,Gudauri,GEO,Canada,World Cup,Snowboard Cross,21,
21,Justinen Kennedy,Female,03-02-2024,Gudauri,GEO,Canada,World Cup,Snowboard Cross,20,110.00
22,Justinen Kennedy,Female,02-02-2024,Gudauri,GEO,Canada,Qualification,Snowboard Cross,20,
23,Justinen Kennedy,Female,26-01-2024,St. Moritz,SUI,Canada,World Cup,Snowboard Cross,19,120.00
24,Justinen Kennedy,Female,25-01-2024,St. Moritz,SUI,Canada,Qualification,Snowboard Cross,19,
25,Justinen Kennedy,Female,16-12-2023,Cervinia,ITA,Canada,World Cup,Snowboard Cross,19,120.00
26,Justinen Kennedy,Female,03-12-2023,Les Deux Alpes,FRA,Canada,World Cup,Snowboard Cross,9,290.00
27,Justinen Kennedy,Female,03-12-2023,Les Deux Alpes,FRA,Canada,Qualification,Snowboard Cross,6,
28,Justinen Kennedy,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,1,220.00
29,Justinen Kennedy,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,1,220.00
30,Justinen Kennedy,Female,26-03-2023,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,17,140.00
31,Justinen Kennedy,Female,25-03-2023,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,21,100.00
32,Justinen Kennedy,Female,24-03-2023,Mt. St. Anne,CAN,Canada,Qualification,Snowboard Cross,21,
33,Justinen Kennedy,Female,20-03-2023,Mt. Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,3,96.00
34,Justinen Kennedy,Female,16-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,1,160.00
35,Justinen Kennedy,Female,15-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,3,96.00
36,Justinen Kennedy,Female,02-03-2023,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,2,128.00
