,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kacarski Aleksandar,Male,16-03-2025,Davos,SUI,North Macedonia,European Cup,Parallel Slalom,DSQ,
1,Kacarski Aleksandar,Male,15-03-2025,Davos,SUI,North Macedonia,European Cup,Parallel Slalom,26,11.00
2,Kacarski Aleksandar,Male,15-03-2025,Davos,SUI,North Macedonia,Qualification,Parallel Slalom,26,
3,Kacarski Aleksandar,Male,13-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Slalom,2,40.00
4,Kacarski Aleksandar,Male,12-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Giant Slalom,2,40.00
5,Kacarski Aleksandar,Male,15-02-2025,Seli ,GRE,North Macedonia,National Championships,Slalom,5,22.50
6,Kacarski Aleksandar,Male,14-02-2025,Seli ,GRE,North Macedonia,FIS,Giant Slalom,1,50.00
7,Kacarski Aleksandar,Male,14-02-2025,Seli ,GRE,North Macedonia,National Championships,Giant Slalom,3,30.00
8,Kacarski Aleksandar,Male,05-02-2025,Popova Sapka,MKD,North Macedonia,National Championships,Giant Slalom,1,50.00
9,Kacarski Aleksandar,Male,05-02-2025,Popova Sapka,MKD,North Macedonia,National Championships,Giant Slalom,1,50.00
10,Kacarski Aleksandar,Male,04-02-2025,Popova Sapka,MKD,North Macedonia,National Championships,Giant Slalom,1,50.00
11,Kacarski Aleksandar,Male,04-02-2025,Popova Sapka,MKD,North Macedonia,FIS,Giant Slalom,2,40.00
12,Kacarski Aleksandar,Male,02-02-2025,Stara Planina,SRB,North Macedonia,FIS,Giant Slalom,2,40.00
13,Kacarski Aleksandar,Male,02-02-2025,Stara Planina,SRB,North Macedonia,FIS,Giant Slalom,4,25.00
14,Kacarski Aleksandar,Male,01-02-2025,Stara Planina,SRB,North Macedonia,FIS,Slalom,14,9.00
15,Kacarski Aleksandar,Male,01-02-2025,Stara Planina,SRB,North Macedonia,FIS,Slalom,4,25.00
16,Kacarski Aleksandar,Male,22-01-2025,Bansko,BUL,North Macedonia,European Cup,Parallel Giant Slalom,24,20.30
17,Kacarski Aleksandar,Male,21-01-2025,Bansko,BUL,North Macedonia,European Cup,Parallel Giant Slalom,34,6.38
18,Kacarski Aleksandar,Male,19-01-2025,Bansko,BUL,North Macedonia,Qualification,Parallel Giant Slalom,58,
19,Kacarski Aleksandar,Male,19-01-2025,Bansko,BUL,North Macedonia,World Cup,Parallel Giant Slalom,58,
20,Kacarski Aleksandar,Male,18-01-2025,Bansko,BUL,North Macedonia,Qualification,Parallel Giant Slalom,56,
21,Kacarski Aleksandar,Male,18-01-2025,Bansko,BUL,North Macedonia,World Cup,Parallel Giant Slalom,56,
22,Kacarski Aleksandar,Male,11-01-2025,Folgaria,ITA,North Macedonia,European Cup,Parallel Giant Slalom,DSQ,
23,Kacarski Aleksandar,Male,11-01-2025,Folgaria,ITA,North Macedonia,Qualification,Parallel Giant Slalom,DSQ,
24,Kacarski Aleksandar,Male,10-01-2025,Folgaria,ITA,North Macedonia,European Cup,Parallel Giant Slalom,DSQ,
25,Kacarski Aleksandar,Male,10-01-2025,Folgaria,ITA,North Macedonia,Qualification,Parallel Giant Slalom,DSQ,
26,Kacarski Aleksandar,Male,14-12-2024,Cortina d'Ampezzo,ITA,North Macedonia,Qualification,Parallel Giant Slalom,56,
