,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kachalova Kseniia,Female,25-03-2022,Krasnoyarsk,RUS,Russia,National Championships,Snowboard Cross,4,120.00
1,Kachalova Kseniia,Female,18-02-2022,Nechkino,RUS,Russia,National Junior Championships,Snowboard Cross,1,90.00
2,Kachalova Kseniia,Female,09-01-2022,Krasnoyarsk,RUS,Russia,World Cup,Snowboard Cross,25,60.00
3,Kachalova Kseniia,Female,08-01-2022,Krasnoyarsk,RUS,Russia,World Cup,Snowboard Cross,28,40.00
4,Kachalova Kseniia,Female,07-01-2022,Krasnoyarsk,RUS,Russia,Qualification,Snowboard Cross,28,
5,Kachalova Kseniia,Female,12-12-2021,"Gornaya Salanga, Kemerovo, Russia",RUS,Russia,FIS,Snowboard Cross,4,60.00
6,Kachalova Kseniia,Female,11-12-2021,"Gornaya Salanga, Kemerovo, Russia",RUS,Russia,FIS,Snowboard Cross,4,60.00
7,Kachalova Kseniia,Female,03-04-2021,Sunny Valley,RUS,Russia,National Championships,Snowboard Cross,8,57.60
8,Kachalova Kseniia,Female,24-03-2021,Krasnoyarsk ,RUS,Russia,FIS Junior World Championships,Snowboard Cross Team,5,
9,Kachalova Kseniia,Female,23-03-2021,Krasnoyarsk ,RUS,Russia,FIS Junior World Championships,Snowboard Cross,5,108.00
10,Kachalova Kseniia,Female,15-03-2019,Sunny Valley,RUS,Russia,FIS,Snowboard Cross,7,57.60
11,Kachalova Kseniia,Female,14-03-2019,Sunny Valley,RUS,Russia,European Cup,Snowboard Cross,12,57.20
12,Kachalova Kseniia,Female,13-03-2019,Sunny Valley,RUS,Russia,European Cup,Snowboard Cross,6,104.00
13,Kachalova Kseniia,Female,12-03-2019,Sunny Valley,RUS,Russia,National Championships,Snowboard Cross,8,64.00
