,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kaciczak Bartlomiej,Male,06-03-2025,Zakopane/Suche,POL,Poland,Qualification,Parallel Slalom Team,25,
1,Kaciczak Bartlomiej,Male,06-03-2025,Zakopane/Suche,POL,Poland,FIS Junior World Championships,Parallel Slalom Team,25,
2,Kaciczak Bartlomiej,Male,05-03-2025,Zakopane/Suche,POL,Poland,Qualification,Parallel Slalom,23,
3,Kaciczak Bartlomiej,Male,05-03-2025,Zakopane/Suche,POL,Poland,FIS Junior World Championships,Parallel Slalom,23,20.80
4,Kaciczak Bartlomiej,Male,04-03-2025,Zakopane/Suche,POL,Poland,FIS Junior World Championships,Parallel Giant Slalom,28,10.40
5,Kaciczak Bartlomiej,Male,04-03-2025,Zakopane/Suche,POL,Poland,Qualification,Parallel Giant Slalom,28,
6,Kaciczak Bartlomiej,Male,02-03-2025,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,55,
7,Kaciczak Bartlomiej,Male,02-03-2025,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,55,
8,Kaciczak Bartlomiej,Male,01-03-2025,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,55,
9,Kaciczak Bartlomiej,Male,01-03-2025,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,55,
10,Kaciczak Bartlomiej,Male,21-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Slalom,4,50.00
11,Kaciczak Bartlomiej,Male,20-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Giant Slalom,6,40.00
12,Kaciczak Bartlomiej,Male,09-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Slalom,20,31.90
13,Kaciczak Bartlomiej,Male,08-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Giant Slalom,26,14.50
14,Kaciczak Bartlomiej,Male,02-02-2025,Stara Planina,SRB,Poland,FIS,Giant Slalom,12,11.00
15,Kaciczak Bartlomiej,Male,02-02-2025,Stara Planina,SRB,Poland,FIS,Giant Slalom,3,30.00
16,Kaciczak Bartlomiej,Male,01-02-2025,Stara Planina,SRB,Poland,FIS,Slalom,DNF,
17,Kaciczak Bartlomiej,Male,01-02-2025,Stara Planina,SRB,Poland,FIS,Slalom,1,50.00
18,Kaciczak Bartlomiej,Male,19-01-2025,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,6,36.00
19,Kaciczak Bartlomiej,Male,18-01-2025,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,15,14.40
20,Kaciczak Bartlomiej,Male,22-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,32,4.16
21,Kaciczak Bartlomiej,Male,21-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,48,
22,Kaciczak Bartlomiej,Male,20-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,DSQ,
23,Kaciczak Bartlomiej,Male,19-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,40,3.70
24,Kaciczak Bartlomiej,Male,07-04-2024,Samnaun,SUI,Poland,National Championships,Giant Slalom,DSQ,
25,Kaciczak Bartlomiej,Male,06-04-2024,Samnaun,SUI,Poland,National Championships,Parallel Slalom,15,46.40
26,Kaciczak Bartlomiej,Male,30-03-2024,Krvavec,SLO,Poland,National Championships,Parallel Giant Slalom,8,92.80
27,Kaciczak Bartlomiej,Male,17-03-2024,Spindleruv Mlyn,CZE,Poland,FIS,Parallel Slalom,16,10.50
28,Kaciczak Bartlomiej,Male,16-03-2024,Spindleruv Mlyn,CZE,Poland,FIS,Parallel Slalom,10,18.20
29,Kaciczak Bartlomiej,Male,02-04-2023,Haus im Ennstal,AUT,Poland,National Championships,Parallel Slalom,16,43.50
