,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kagaya Sora,Female,05-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Slalom,4,80.00
1,Kagaya Sora,Female,04-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,2,128.00
2,Kagaya Sora,Female,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,DNS,
3,Kagaya Sora,Female,27-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Slalom,9,46.40
4,Kagaya Sora,Female,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,8,38.40
5,Kagaya Sora,Female,01-03-2024,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,DNF,
6,Kagaya Sora,Female,05-03-2023,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,7,32.40
7,Kagaya Sora,Female,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,7,32.40
8,Kagaya Sora,Female,07-02-2023,high1 resort,KOR,Japan,FIS,Parallel Slalom,4,55.00
9,Kagaya Sora,Female,06-02-2023,high1 resort,KOR,Japan,FIS,Parallel Giant Slalom,7,50.40
10,Kagaya Sora,Female,22-01-2023,Gore Mountain,USA,Japan,Universiade,Parallel Slalom,17,25.20
11,Kagaya Sora,Female,22-01-2023,Gore Mountain,USA,Japan,Qualification,Parallel Slalom,17,
12,Kagaya Sora,Female,21-01-2023,Gore Mountain,USA,Japan,Universiade,Parallel Giant Slalom,17,25.20
13,Kagaya Sora,Female,21-01-2023,Gore Mountain,USA,Japan,Qualification,Parallel Giant Slalom,17,
14,Kagaya Sora,Female,06-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Slalom,3,42.00
15,Kagaya Sora,Female,05-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,2,56.00
16,Kagaya Sora,Female,25-02-2022,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,4,45.00
17,Kagaya Sora,Female,24-02-2022,Akan,JPN,Japan,FIS,Parallel Giant Slalom,7,32.40
18,Kagaya Sora,Female,20-03-2021,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,7,32.40
19,Kagaya Sora,Female,02-02-2020,Sapporo Bankei,JPN,Japan,FIS,Giant Slalom,9,14.50
20,Kagaya Sora,Female,17-03-2019,Tazawako,JPN,Japan,FIS,Giant Slalom,7,18.00
21,Kagaya Sora,Female,03-03-2019,Kurikoma Akiata,JPN,Japan,National Championships,Parallel Giant Slalom,6,28.00
22,Kagaya Sora,Female,02-03-2019,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,6,28.00
