,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kaku Shusei,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Big Air,10,76.40
1,Kaku Shusei,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Slopestyle,23,10.70
2,Kaku Shusei,Male,28-02-2024,Hakuba,JPN,Japan,Asian Cup,Slopestyle,21,21.20
3,Kaku Shusei,Male,17-02-2024,Fukushima Yama,JPN,Japan,Asian Cup,Big Air,12,69.10
4,Kaku Shusei,Male,31-03-2023,Hakuba,JPN,Japan,Asian Cup,Big Air,18,13.50
5,Kaku Shusei,Male,29-03-2023,Hakuba,JPN,Japan,Asian Cup,Slopestyle,13,43.90
6,Kaku Shusei,Male,25-03-2023,Niseko,JPN,Japan,National Championships,Big Air,17,25.70
7,Kaku Shusei,Male,24-03-2023,Niseko,JPN,Japan,National Championships,Slopestyle,21,22.80
8,Kaku Shusei,Male,14-02-2023,Fukushima Yama,JPN,Japan,FIS,Big Air,DNS,
9,Kaku Shusei,Male,29-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,23,21.00
10,Kaku Shusei,Male,28-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,12,38.00
11,Kaku Shusei,Male,02-04-2022,Tsugaike,JPN,Japan,FIS,Big Air,19,8.30
12,Kaku Shusei,Male,30-03-2022,Hakuba,JPN,Japan,FIS,Slopestyle,8,36.80
13,Kaku Shusei,Male,06-03-2022,Niseko,JPN,Japan,National Championships,Big Air,17,32.80
14,Kaku Shusei,Male,05-03-2022,Niseko,JPN,Japan,National Championships,Slopestyle,15,37.90
15,Kaku Shusei,Male,30-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,13,30.40
16,Kaku Shusei,Male,29-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,14,28.90
17,Kaku Shusei,Male,10-04-2021,Ajigasawa,JPN,Japan,National Championships,Big Air,7,45.47
18,Kaku Shusei,Male,31-03-2021,Tsugaike,JPN,Japan,FIS,Big Air,14,11.17
19,Kaku Shusei,Male,31-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,17,19.45
20,Kaku Shusei,Male,30-01-2021,Niseko,JPN,Japan,FIS,Slopestyle,22,15.11
21,Kaku Shusei,Male,01-03-2020,Oze-Tokura,JPN,Japan,FIS,Big Air,7,25.20
22,Kaku Shusei,Male,29-02-2020,Oze-Tokura,JPN,Japan,FIS,Slopestyle,14,16.20
23,Kaku Shusei,Male,26-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,13,32.00
24,Kaku Shusei,Male,25-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,6,64.00
