,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kalapos Zoe,Female,01-02-2025,Aspen,USA,United States Of America,World Cup,Halfpipe,23,
1,Kalapos Zoe,Female,30-01-2025,Aspen,USA,United States Of America,Qualification,Halfpipe,23,
2,Kalapos Zoe,Female,18-01-2025,Laax,SUI,United States Of America,World Cup,Halfpipe,19,103.10
3,Kalapos Zoe,Female,17-01-2025,Laax,SUI,United States Of America,Qualification,Halfpipe,19,
4,Kalapos Zoe,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,16,19.10
5,Kalapos Zoe,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup Premium,Halfpipe,4,90.60
6,Kalapos Zoe,Female,10-02-2024,Calgary,CAN,United States Of America,World Cup,Halfpipe,11,133.60
7,Kalapos Zoe,Female,09-02-2024,Calgary,CAN,United States Of America,Qualification,Halfpipe,11,
8,Kalapos Zoe,Female,03-02-2024,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,12,149.80
9,Kalapos Zoe,Female,30-01-2024,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,12,
10,Kalapos Zoe,Female,16-12-2023,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,11,152.70
11,Kalapos Zoe,Female,14-12-2023,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,11,
12,Kalapos Zoe,Female,03-03-2023,Bakuriani,GEO,United States Of America,World Championships,Halfpipe,12,117.10
13,Kalapos Zoe,Female,01-03-2023,Bakuriani,GEO,United States Of America,Qualification,Halfpipe,12,
14,Kalapos Zoe,Female,10-02-2023,Calgary,CAN,United States Of America,World Cup,Halfpipe,11,0.80
15,Kalapos Zoe,Female,09-02-2023,Calgary,CAN,United States Of America,Qualification,Halfpipe,11,
16,Kalapos Zoe,Female,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,15,103.70
17,Kalapos Zoe,Female,02-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,15,
18,Kalapos Zoe,Female,21-01-2023,Laax,SUI,United States Of America,World Cup,Halfpipe,16,86.60
19,Kalapos Zoe,Female,19-01-2023,Laax,SUI,United States Of America,Qualification,Halfpipe,16,
20,Kalapos Zoe,Female,16-12-2022,Copper Mountain,USA,United States Of America,World Cup,Halfpipe,10,225.80
21,Kalapos Zoe,Female,14-12-2022,Copper Mountain,USA,United States Of America,Qualification,Halfpipe,10,
22,Kalapos Zoe,Female,10-02-2022,Beijing,CHN,United States Of America,Olympic Winter Games,Halfpipe,17,70.70
23,Kalapos Zoe,Female,09-02-2022,Beijing,CHN,United States Of America,Qualification,Halfpipe,17,
24,Kalapos Zoe,Female,15-01-2022,Laax,SUI,United States Of America,World Cup,Halfpipe,25,29.20
25,Kalapos Zoe,Female,13-01-2022,Laax,SUI,United States Of America,Qualification,Halfpipe,25,
