,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kamissek Luka,Male,15-01-2025,Seiser Alm,ITA,Germany,European Cup,Slopestyle,31,13.20
1,Kamissek Luka,Male,11-01-2025,Prato Nevoso,ITA,Germany,European Cup,Slopestyle,53,8.90
2,Kamissek Luka,Male,19-04-2024,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,11,16.10
3,Kamissek Luka,Male,30-03-2024,Livigno/Mottolino,ITA,Germany,FIS Junior World Championships,Big Air,50,10.30
4,Kamissek Luka,Male,28-03-2024,Livigno/Mottolino,ITA,Germany,Qualification,Big Air,18,
5,Kamissek Luka,Male,26-03-2024,Livigno/Mottolino,ITA,Germany,Qualification,Slopestyle,11,
6,Kamissek Luka,Male,26-03-2024,Livigno/Mottolino,ITA,Germany,FIS Junior World Championships,Slopestyle,29,34.40
7,Kamissek Luka,Male,15-02-2024,Davos,SUI,Germany,European Cup,Big Air,34,7.90
8,Kamissek Luka,Male,10-02-2024,Mayrhofen,AUT,Germany,FIS,Slopestyle,6,15.50
9,Kamissek Luka,Male,04-09-2023,Cardrona,NZL,Germany,FIS Junior World Championships,Big Air,41,24.70
10,Kamissek Luka,Male,02-09-2023,Cardrona,NZL,Germany,Qualification,Big Air,19,
11,Kamissek Luka,Male,30-08-2023,Cardrona,NZL,Germany,FIS Junior World Championships,Slopestyle,55,10.40
12,Kamissek Luka,Male,28-08-2023,Cardrona,NZL,Germany,Qualification,Slopestyle,28,
13,Kamissek Luka,Male,22-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Big Air,49,4.40
14,Kamissek Luka,Male,21-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Slopestyle,DNS,
15,Kamissek Luka,Male,19-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,DNS,
16,Kamissek Luka,Male,18-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,11,14.60
17,Kamissek Luka,Male,04-03-2023,Oberammergau,GER,Germany,FIS,Slopestyle,10,12.10
18,Kamissek Luka,Male,29-01-2023,Superpark Planai Schladming,AUT,Germany,Junior,Slopestyle,3,5.20
19,Kamissek Luka,Male,22-04-2022,Kitzsteinhorn,AUT,Germany,National Championships,Slopestyle,9,10.50
20,Kamissek Luka,Male,20-04-2022,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,7,27.80
21,Kamissek Luka,Male,26-02-2022,Götschen,GER,Germany,European Cup,Big Air,39,17.90
22,Kamissek Luka,Male,25-02-2022,Götschen,GER,Germany,European Cup,Slopestyle,47,18.30
