,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kanazawa Noa,Female,16-03-2025,Winterberg,GER,Japan,World Cup,Parallel Slalom Team,21,
1,Kanazawa Noa,Female,16-03-2025,Winterberg,GER,Japan,Qualification,Parallel Slalom Team,21,
2,Kanazawa Noa,Female,15-03-2025,Winterberg,GER,Japan,Qualification,Parallel Slalom,23,
3,Kanazawa Noa,Female,15-03-2025,Winterberg,GER,Japan,World Cup,Parallel Slalom,23,80.00
4,Kanazawa Noa,Female,05-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Slalom,1,160.00
5,Kanazawa Noa,Female,04-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,1,160.00
6,Kanazawa Noa,Female,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,2,128.00
7,Kanazawa Noa,Female,27-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Slalom,2,128.00
8,Kanazawa Noa,Female,20-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,2,128.00
9,Kanazawa Noa,Female,19-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,1,160.00
10,Kanazawa Noa,Female,16-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,28,
11,Kanazawa Noa,Female,16-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,28,40.00
12,Kanazawa Noa,Female,15-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,22,
13,Kanazawa Noa,Female,15-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,22,90.00
14,Kanazawa Noa,Female,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,11,76.80
15,Kanazawa Noa,Female,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,9,
16,Kanazawa Noa,Female,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,4,180.00
17,Kanazawa Noa,Female,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,2,
18,Kanazawa Noa,Female,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,30,11.52
19,Kanazawa Noa,Female,25-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,10,62.40
20,Kanazawa Noa,Female,22-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Slalom,4,110.00
21,Kanazawa Noa,Female,21-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Giant Slalom,3,132.00
22,Kanazawa Noa,Female,14-01-2025,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,49,
23,Kanazawa Noa,Female,14-01-2025,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom,49,
24,Kanazawa Noa,Female,11-01-2025,Scuol,SUI,Japan,Qualification,Parallel Giant Slalom,27,
25,Kanazawa Noa,Female,11-01-2025,Scuol,SUI,Japan,World Cup,Parallel Giant Slalom,27,45.00
26,Kanazawa Noa,Female,31-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Slalom,12,35.20
27,Kanazawa Noa,Female,30-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Giant Slalom,8,51.20
28,Kanazawa Noa,Female,21-12-2024,Davos,SUI,Japan,Qualification,Parallel Slalom,31,
29,Kanazawa Noa,Female,21-12-2024,Davos,SUI,Japan,World Cup,Parallel Slalom,31,28.00
30,Kanazawa Noa,Female,14-12-2024,Cortina d'Ampezzo,ITA,Japan,Qualification,Parallel Giant Slalom,34,
31,Kanazawa Noa,Female,14-12-2024,Cortina d'Ampezzo,ITA,Japan,World Cup,Parallel Giant Slalom,34,22.00
32,Kanazawa Noa,Female,12-12-2024,Carezza,ITA,Japan,Qualification,Parallel Giant Slalom,36,
33,Kanazawa Noa,Female,12-12-2024,Carezza,ITA,Japan,World Cup,Parallel Giant Slalom,36,19.70
34,Kanazawa Noa,Female,08-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Slalom,31,28.00
35,Kanazawa Noa,Female,08-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Slalom,31,
36,Kanazawa Noa,Female,07-12-2024,Yanqing (NASC),CHN,Japan,World Cup,Parallel Giant Slalom,25,60.00
37,Kanazawa Noa,Female,07-12-2024,Yanqing (NASC),CHN,Japan,Qualification,Parallel Giant Slalom,25,
38,Kanazawa Noa,Female,01-12-2024,Mylin,CHN,Japan,World Cup,Parallel Slalom,41,
39,Kanazawa Noa,Female,01-12-2024,Mylin,CHN,Japan,Qualification,Parallel Slalom,41,
40,Kanazawa Noa,Female,30-11-2024,Mylin,CHN,Japan,World Cup,Parallel Giant Slalom,43,
41,Kanazawa Noa,Female,30-11-2024,Mylin,CHN,Japan,Qualification,Parallel Giant Slalom,43,
42,Kanazawa Noa,Female,09-03-2024,Winterberg,GER,Japan,Qualification,Parallel Slalom,23,
43,Kanazawa Noa,Female,09-03-2024,Winterberg,GER,Japan,World Cup,Parallel Slalom,23,80.00
44,Kanazawa Noa,Female,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,1,120.00
