,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Karafyllias Drosos,Male,01-02-2025,Stara Planina,SRB,Greece,FIS,Slalom,9,
1,Karafyllias Drosos,Male,01-02-2025,Stara Planina,SRB,Greece,FIS,Slalom,10,
2,Karafyllias Drosos,Male,16-01-2025,Kopaonik,SRB,Greece,FIS,Slalom,5,22.50
3,Karafyllias Drosos,Male,15-01-2025,Kopaonik,SRB,Greece,FIS,Giant Slalom,4,25.00
4,Karafyllias Drosos,Male,05-04-2024,Bansko,BUL,Greece,National Championships,Parallel Slalom,30,8.32
5,Karafyllias Drosos,Male,04-04-2024,Bansko,BUL,Greece,National Championships,Parallel Giant Slalom,37,5.04
6,Karafyllias Drosos,Male,23-03-2024,Lachtal,AUT,Greece,FIS Junior World Championships,Parallel Slalom,45,
7,Karafyllias Drosos,Male,23-03-2024,Lachtal,AUT,Greece,Qualification,Parallel Slalom,45,
8,Karafyllias Drosos,Male,22-03-2024,Lachtal,AUT,Greece,FIS Junior World Championships,Parallel Giant Slalom,47,
9,Karafyllias Drosos,Male,22-03-2024,Lachtal,AUT,Greece,Qualification,Parallel Giant Slalom,47,
10,Karafyllias Drosos,Male,20-03-2024,Kopaonik,SRB,Greece,FIS,Slalom,6,28.00
11,Karafyllias Drosos,Male,19-03-2024,Kopaonik,SRB,Greece,FIS,Giant Slalom,5,31.50
12,Karafyllias Drosos,Male,08-03-2024,Voras,GRE,Greece,National Championships,Big Air,10,5.80
13,Karafyllias Drosos,Male,07-03-2024,Voras,GRE,Greece,FIS,Slopestyle,8,3.70
14,Karafyllias Drosos,Male,03-03-2024,Kopaonik,SRB,Greece,FIS,Slalom,8,16.00
15,Karafyllias Drosos,Male,02-03-2024,Kopaonik,SRB,Greece,FIS,Giant Slalom,11,12.00
16,Karafyllias Drosos,Male,28-02-2024,Vorras,GRE,Greece,National Championships,Slalom,4,25.00
17,Karafyllias Drosos,Male,27-02-2024,Vorras,GRE,Greece,FIS,Giant Slalom,3,30.00
18,Karafyllias Drosos,Male,27-02-2024,Vorras,GRE,Greece,National Championships,Giant Slalom,3,30.00
