,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Karner Christoph,Male,02-03-2025,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,40,
1,Karner Christoph,Male,02-03-2025,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,40,18.50
2,Karner Christoph,Male,01-03-2025,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,33,
3,Karner Christoph,Male,01-03-2025,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,33,24.00
4,Karner Christoph,Male,23-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,4,110.00
5,Karner Christoph,Male,22-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,5,99.00
6,Karner Christoph,Male,09-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Slalom,2,232.00
7,Karner Christoph,Male,08-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Giant Slalom,4,145.00
8,Karner Christoph,Male,25-01-2025,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,16,
9,Karner Christoph,Male,25-01-2025,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,16,150.00
10,Karner Christoph,Male,22-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,2,232.00
11,Karner Christoph,Male,21-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,2,232.00
12,Karner Christoph,Male,19-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,41,
13,Karner Christoph,Male,19-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,41,18.20
14,Karner Christoph,Male,18-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,39,
15,Karner Christoph,Male,18-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,39,18.80
16,Karner Christoph,Male,14-01-2025,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,32,
17,Karner Christoph,Male,14-01-2025,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,32,26.00
18,Karner Christoph,Male,11-01-2025,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,24,
19,Karner Christoph,Male,11-01-2025,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,24,70.00
20,Karner Christoph,Male,21-12-2024,Davos,SUI,Austria,Qualification,Parallel Slalom,42,
21,Karner Christoph,Male,21-12-2024,Davos,SUI,Austria,World Cup,Parallel Slalom,42,17.90
22,Karner Christoph,Male,14-12-2024,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,26,
23,Karner Christoph,Male,14-12-2024,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,26,50.00
24,Karner Christoph,Male,12-12-2024,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,37,
25,Karner Christoph,Male,12-12-2024,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,37,19.40
26,Karner Christoph,Male,08-12-2024,Yanqing (NASC),CHN,Austria,World Cup,Parallel Slalom,31,28.00
27,Karner Christoph,Male,08-12-2024,Yanqing (NASC),CHN,Austria,Qualification,Parallel Slalom,31,
28,Karner Christoph,Male,07-12-2024,Yanqing (NASC),CHN,Austria,World Cup,Parallel Giant Slalom,DNF,
29,Karner Christoph,Male,07-12-2024,Yanqing (NASC),CHN,Austria,Qualification,Parallel Giant Slalom,DNF,
30,Karner Christoph,Male,01-12-2024,Mylin,CHN,Austria,World Cup,Parallel Slalom,47,
31,Karner Christoph,Male,01-12-2024,Mylin,CHN,Austria,Qualification,Parallel Slalom,47,
32,Karner Christoph,Male,30-11-2024,Mylin,CHN,Austria,World Cup,Parallel Giant Slalom,36,19.70
33,Karner Christoph,Male,30-11-2024,Mylin,CHN,Austria,Qualification,Parallel Giant Slalom,36,
34,Karner Christoph,Male,17-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Slalom,41,6.55
35,Karner Christoph,Male,16-03-2024,St. Moritz,SUI,Austria,European Cup,Parallel Giant Slalom,31,10.08
36,Karner Christoph,Male,09-03-2024,Winterberg,GER,Austria,Qualification,Parallel Slalom,DSQ,
37,Karner Christoph,Male,09-03-2024,Winterberg,GER,Austria,World Cup,Parallel Slalom,DSQ,
38,Karner Christoph,Male,25-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,25,
39,Karner Christoph,Male,25-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,25,60.00
40,Karner Christoph,Male,24-02-2024,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,25,
41,Karner Christoph,Male,24-02-2024,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,25,60.00
42,Karner Christoph,Male,10-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Slalom,DSQ,
43,Karner Christoph,Male,09-02-2024,Hochficht/Zwiesel,AUT,Austria,National Championships,Parallel Giant Slalom,3,174.00
44,Karner Christoph,Male,27-01-2024,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,23,
45,Karner Christoph,Male,27-01-2024,Simonhöhe,AUT,Austria,World Cup,Parallel Giant Slalom,23,80.00
46,Karner Christoph,Male,25-01-2024,Rogla,SLO,Austria,Qualification,Parallel Giant Slalom,32,
47,Karner Christoph,Male,25-01-2024,Rogla,SLO,Austria,World Cup,Parallel Giant Slalom,32,26.00
48,Karner Christoph,Male,21-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,DSQ,
49,Karner Christoph,Male,21-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,DSQ,
50,Karner Christoph,Male,20-01-2024,Pamporovo,BUL,Austria,Qualification,Parallel Slalom,25,
51,Karner Christoph,Male,20-01-2024,Pamporovo,BUL,Austria,World Cup,Parallel Slalom,25,60.00
52,Karner Christoph,Male,16-01-2024,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,32,
53,Karner Christoph,Male,16-01-2024,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,32,26.00
54,Karner Christoph,Male,13-01-2024,Scuol,SUI,Austria,Qualification,Parallel Giant Slalom,DSQ,
55,Karner Christoph,Male,13-01-2024,Scuol,SUI,Austria,World Cup,Parallel Giant Slalom,DSQ,
56,Karner Christoph,Male,23-12-2023,Davos,SUI,Austria,Qualification,Parallel Slalom,9,
57,Karner Christoph,Male,23-12-2023,Davos ,SUI,Austria,World Cup,Parallel Slalom,11,240.00
58,Karner Christoph,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,Qualification,Parallel Giant Slalom,29,
59,Karner Christoph,Male,16-12-2023,Cortina d'Ampezzo,ITA,Austria,World Cup,Parallel Giant Slalom,29,36.00
60,Karner Christoph,Male,14-12-2023,Carezza,ITA,Austria,Qualification,Parallel Giant Slalom,50,
61,Karner Christoph,Male,14-12-2023,Carezza,ITA,Austria,World Cup,Parallel Giant Slalom,50,
62,Karner Christoph,Male,09-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,1,
63,Karner Christoph,Male,09-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,5,162.00
64,Karner Christoph,Male,08-12-2023,Götschen,GER,Austria,Qualification,Parallel Slalom,6,
65,Karner Christoph,Male,08-12-2023,Götschen,GER,Austria,European Cup,Parallel Slalom,3,216.00
66,Karner Christoph,Male,02-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Slalom,5,130.50
67,Karner Christoph,Male,01-04-2023,Haus im Ennstal,AUT,Austria,National Championships,Parallel Giant Slalom,9,84.10
68,Karner Christoph,Male,26-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Team,9,
69,Karner Christoph,Male,25-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Slalom,10,62.40
70,Karner Christoph,Male,25-03-2023,Bansko,BUL,Austria,Qualification,Parallel Slalom,2,
71,Karner Christoph,Male,24-03-2023,Bansko,BUL,Austria,FIS Junior World Championships,Parallel Giant Slalom,6,96.00
72,Karner Christoph,Male,24-03-2023,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,5,
73,Karner Christoph,Male,19-03-2023,Ratschings,ITA,Austria,European Cup,Parallel Slalom,1,240.00
74,Karner Christoph,Male,18-03-2023,Ratschings,ITA,Austria,European Cup,Parallel Slalom,1,180.00
75,Karner Christoph,Male,12-03-2023,Davos,SUI,Austria,European Cup,Parallel Slalom,9,63.80
76,Karner Christoph,Male,11-03-2023,Davos,SUI,Austria,European Cup,Parallel Slalom,2,288.00
77,Karner Christoph,Male,05-03-2023,Zakopane,POL,Austria,European Cup,Parallel Giant Slalom,1,320.00
78,Karner Christoph,Male,04-03-2023,Zakopane,POL,Austria,European Cup,Parallel Giant Slalom,5,162.00
79,Karner Christoph,Male,26-02-2023,Simonhoehe,AUT,Austria,Junior,Parallel Giant Slalom,1,130.00
80,Karner Christoph,Male,25-02-2023,Simonhoehe,AUT,Austria,Junior,Parallel Giant Slalom,3,78.00
81,Karner Christoph,Male,12-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,6,88.00
82,Karner Christoph,Male,11-02-2023,Funes - Vilnoess,ITA,Austria,FIS,Parallel Giant Slalom,5,99.00
83,Karner Christoph,Male,05-02-2023,Lenzerheide,SUI,Austria,European Cup,Parallel Slalom,14,64.80
84,Karner Christoph,Male,29-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,7,64.80
85,Karner Christoph,Male,29-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,11,
86,Karner Christoph,Male,28-01-2023,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,3,108.00
87,Karner Christoph,Male,28-01-2023,Simonhöhe,AUT,Austria,Qualification,Parallel Giant Slalom,3,
88,Karner Christoph,Male,15-01-2023,Alleghe,ITA,Austria,European Cup,Parallel Slalom,5,72.00
89,Karner Christoph,Male,15-01-2023,Alleghe,ITA,Austria,Qualification,Parallel Slalom,1,
90,Karner Christoph,Male,14-01-2023,Alleghe,ITA,Austria,European Cup,Parallel Slalom,5,72.00
91,Karner Christoph,Male,14-01-2023,Alleghe,ITA,Austria,Qualification,Parallel Slalom,1,
92,Karner Christoph,Male,10-01-2023,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,27,
93,Karner Christoph,Male,10-01-2023,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,28,40.00
94,Karner Christoph,Male,08-01-2023,Haus im Ennstal,AUT,Austria,Junior,Giant Slalom,1,120.00
95,Karner Christoph,Male,07-01-2023,Haus im Ennstal,AUT,Austria,Junior,Parallel Giant Slalom,1,120.00
96,Karner Christoph,Male,18-12-2022,Hochfügen,GER,Austria,European Cup,Parallel Giant Slalom,19,31.20
97,Karner Christoph,Male,18-12-2022,Hochfügen,GER,Austria,Qualification,Parallel Giant Slalom,19,
98,Karner Christoph,Male,17-12-2022,Hochfügen,GER,Austria,European Cup,Parallel Giant Slalom,5,81.00
99,Karner Christoph,Male,01-04-2022,Chiesa in Valmalenco,ITA,Austria,FIS Junior World Championships,Parallel Slalom,8,76.80
100,Karner Christoph,Male,31-03-2022,Chiesa in Valmalenco,ITA,Austria,FIS Junior World Championships,Parallel Giant Slalom,11,57.60
101,Karner Christoph,Male,27-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Slalom,22,26.10
102,Karner Christoph,Male,26-03-2022,Villach / Gerlitzen,AUT,Austria,National Championships,Parallel Giant Slalom,23,23.20
103,Karner Christoph,Male,17-03-2022,Rogla,SLO,Austria,European Cup,Parallel Giant Slalom,DSQ1,
104,Karner Christoph,Male,13-03-2022,Pizol,SUI,Austria,Junior,Parallel Slalom,2,56.00
105,Karner Christoph,Male,12-03-2022,Pizol,SUI,Austria,Junior,Parallel Slalom,1,70.00
106,Karner Christoph,Male,06-03-2022,Lachtal,AUT,Austria,European Cup,Parallel Giant Slalom,14,64.80
107,Karner Christoph,Male,05-03-2022,Lachtal,AUT,Austria,European Cup,Parallel Giant Slalom,21,36.00
108,Karner Christoph,Male,27-02-2022,Simonhöhe,AUT,Austria,FIS,Parallel Giant Slalom,7,79.20
109,Karner Christoph,Male,26-02-2022,Simonhöhe,AUT,Austria,FIS,Parallel Giant Slalom,4,110.00
