,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Karrer Hanna,Female,21-03-2025,Engadin,SUI,Austria,World Championships,Slopestyle,25,51.80
1,Karrer Hanna,Female,20-03-2025,Engadin,SUI,Austria,Qualification,Slopestyle,25,
2,Karrer Hanna,Female,14-03-2025,Flachau,AUT,Austria,World Cup,Slopestyle,31,8.50
3,Karrer Hanna,Female,13-03-2025,Flachau,AUT,Austria,Qualification,Slopestyle,14,
4,Karrer Hanna,Female,06-02-2025,Aspen,USA,Austria,World Cup,Big Air,6,410.20
5,Karrer Hanna,Female,05-02-2025,Aspen,USA,Austria,Qualification,Big Air,3,
6,Karrer Hanna,Female,02-02-2025,Aspen,USA,Austria,World Cup,Slopestyle,15,151.90
7,Karrer Hanna,Female,31-01-2025,Aspen,USA,Austria,Qualification,Slopestyle,15,
8,Karrer Hanna,Female,11-01-2025,Kreischberg,AUT,Austria,World Cup,Big Air,6,418.50
9,Karrer Hanna,Female,09-01-2025,Kreischberg,AUT,Austria,Qualification,Big Air,4,
10,Karrer Hanna,Female,05-01-2025,Klagenfurt,AUT,Austria,World Cup,Big Air,12,165.20
11,Karrer Hanna,Female,03-01-2025,Klagenfurt,AUT,Austria,Qualification,Big Air,12,
12,Karrer Hanna,Female,01-12-2024,Beijing,CHN,Austria,World Cup,Big Air,16,95.50
13,Karrer Hanna,Female,30-11-2024,Beijing,CHN,Austria,Qualification,Big Air,16,
14,Karrer Hanna,Female,19-10-2024,Chur,SUI,Austria,World Cup,Big Air,10,251.50
15,Karrer Hanna,Female,02-09-2024,Cardrona,NZL,Austria,World Cup,Slopestyle,16,142.60
16,Karrer Hanna,Female,31-08-2024,Cardrona,NZL,Austria,Qualification,Slopestyle,16,
17,Karrer Hanna,Female,22-02-2024,Prato Nevoso,ITA,Austria,European Cup,Slopestyle,1,140.00
18,Karrer Hanna,Female,15-02-2024,Davos,SUI,Austria,European Cup,Big Air,1,120.00
19,Karrer Hanna,Female,28-01-2024,Gangwon/Welli Hilli,KOR,Austria,Youth Olympic Winter Games,Big Air,6,70.80
20,Karrer Hanna,Female,27-01-2024,Gangwon/Welli Hilli,KOR,Austria,Qualification,Big Air,1,
21,Karrer Hanna,Female,24-01-2024,Gangwon/Welli Hilli,KOR,Austria,Youth Olympic Winter Games,Slopestyle,1,180.00
22,Karrer Hanna,Female,20-01-2024,Laax,SUI,Austria,World Cup,Slopestyle,18,103.00
23,Karrer Hanna,Female,16-01-2024,Laax,SUI,Austria,Qualification,Slopestyle,18,
24,Karrer Hanna,Female,04-03-2023,Oberammergau,GER,Austria,FIS,Slopestyle,1,50.00
25,Karrer Hanna,Female,19-02-2023,Davos,SUI,Austria,Junior,Slopestyle,1,50.00
26,Karrer Hanna,Female,18-02-2023,Davos,SUI,Austria,European Cup,Big Air,2,98.30
27,Karrer Hanna,Female,12-02-2023,Mayrhofen,AUT,Austria,FIS,Slopestyle,2,37.10
28,Karrer Hanna,Female,29-01-2023,Superpark Planai Schladming,AUT,Austria,Junior,Slopestyle,1,10.00
29,Karrer Hanna,Female,25-01-2023,Prato Nevoso,ITA,Austria,European Cup,Slopestyle,6,41.50
30,Karrer Hanna,Female,22-04-2022,Kitzsteinhorn,AUT,Austria,National Championships,Slopestyle,3,6.10
31,Karrer Hanna,Female,20-04-2022,Kitzsteinhorn,AUT,Austria,European Cup,Halfpipe,6,14.30
