,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kaselj Cole,Male,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,8,51.20
1,Kaselj Cole,Male,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,9,46.40
2,Kaselj Cole,Male,21-03-2023,Mt. Orignal,CAN,Canada,Junior,Snowboard Cross,25,7.20
3,Kaselj Cole,Male,20-03-2023,Mt. Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,35,3.20
4,Kaselj Cole,Male,17-03-2023,Horseshoe Resort,CAN,Canada,National Junior Championships,Snowboard Cross,17,15.40
5,Kaselj Cole,Male,16-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,20,17.60
6,Kaselj Cole,Male,15-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,21,16.00
7,Kaselj Cole,Male,12-03-2023,Horseshoe Resort,CAN,Canada,FIS,Snowboard Cross,8,16.00
8,Kaselj Cole,Male,12-02-2023,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,6,20.00
9,Kaselj Cole,Male,11-02-2023,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,5,22.50
10,Kaselj Cole,Male,26-01-2023,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,40,2.96
11,Kaselj Cole,Male,25-01-2023,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,34,3.52
12,Kaselj Cole,Male,12-01-2023,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,40,6.66
13,Kaselj Cole,Male,11-01-2023,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,39,6.77
14,Kaselj Cole,Male,23-01-2022,Big White Ski Resort,CAN,Canada,FIS,Slopestyle,7,0.10
15,Kaselj Cole,Male,22-01-2022,Big White Ski Resort,CAN,Canada,FIS,Slopestyle,7,0.10
