,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kawahara Riju,Female,17-03-2024,Sapporo,JPN,Japan,National Championships,Halfpipe,5,147.30
1,Kawahara Riju,Female,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,2,97.30
2,Kawahara Riju,Female,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,5,24.80
3,Kawahara Riju,Female,10-01-2024,"Copper Mountain, CO",USA,Japan,FIS,Halfpipe,1,50.00
4,Kawahara Riju,Female,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,9,26.10
5,Kawahara Riju,Female,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,17,0.10
6,Kawahara Riju,Female,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,9,26.10
7,Kawahara Riju,Female,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,16,30.60
8,Kawahara Riju,Female,13-03-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,8,26.60
9,Kawahara Riju,Female,20-02-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,6,39.40
