,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kawamura Kosuke,Male,17-03-2024,Yuzawamachi,JPN,Japan,FIS,Snowboard Cross,6,20.00
1,Kawamura Kosuke,Male,15-03-2024,Yuzawamachi,JPN,Japan,FIS,Snowboard Cross,16,10.50
2,Kawamura Kosuke,Male,14-03-2024,Yuzawamachi,JPN,Japan,National Championships,Snowboard Cross,17,15.40
3,Kawamura Kosuke,Male,09-12-2023,Pitztal,AUT,Japan,FIS,Snowboard Cross,26,7.00
4,Kawamura Kosuke,Male,09-04-2023,Yuzawamachi,JPN,Japan,National Championships,Snowboard Cross,11,24.00
5,Kawamura Kosuke,Male,16-03-2019,Omachi,JPN,Japan,FIS,Snowboard Cross,24,4.90
6,Kawamura Kosuke,Male,15-03-2019,Omachi,JPN,Japan,FIS,Snowboard Cross,10,18.20
7,Kawamura Kosuke,Male,10-03-2019,Kurikoma Akiata,JPN,Japan,FIS,Snowboard Cross,5,49.50
8,Kawamura Kosuke,Male,09-03-2019,Kurikoma Akiata,JPN,Japan,National Championships,Snowboard Cross,25,9.60
9,Kawamura Kosuke,Male,11-03-2018,Kurikoma Akiata,JPN,Japan,FIS,Snowboard Cross,13,26.00
10,Kawamura Kosuke,Male,10-03-2018,Kurikoma Akiata,JPN,Japan,National Championships,Snowboard Cross,6,52.00
11,Kawamura Kosuke,Male,20-03-2017,Kurikoma Akiata,JPN,Japan,FIS,Snowboardcross,8,22.40
12,Kawamura Kosuke,Male,19-03-2017,Kurikoma Akiata,JPN,Japan,National Championships,Snowboardcross,9,37.70
