,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Keita Olivija,Female,02-03-2025,Ergli,LAT,Latvia,National Championships,Big Air,3,22.20
1,Keita Olivija,Female,02-03-2025,Ergli,LAT,Latvia,National Junior Championships,Big Air,2,4.90
2,Keita Olivija,Female,01-03-2025,Ergli,LAT,Latvia,National Championships,Slopestyle,3,26.00
3,Keita Olivija,Female,01-03-2025,Ergli,LAT,Latvia,National Junior Championships,Slopestyle,1,20.00
4,Keita Olivija,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Latvia,FIS,Big Air,7,0.10
5,Keita Olivija,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Latvia,FIS,Slopestyle,4,19.90
6,Keita Olivija,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Latvia,FIS,Rail Event,1,50.00
7,Keita Olivija,Female,07-12-2024,Riga,LAT,Latvia,National Championships,Rail Event,1,50.00
8,Keita Olivija,Female,07-12-2024,Riga,LAT,Latvia,National Junior Championships,Rail Event,1,10.00
9,Keita Olivija,Female,18-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Latvia,FIS,Slopestyle,2,35.20
10,Keita Olivija,Female,17-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Latvia,FIS,Slopestyle,2,35.20
