,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kikuchihara Koyata,Male,01-02-2025,Aspen,USA,Japan,World Cup,Halfpipe,15,
1,Kikuchihara Koyata,Male,30-01-2025,Aspen,USA,Japan,Qualification,Halfpipe,8,
2,Kikuchihara Koyata,Male,18-01-2025,Laax,SUI,Japan,World Cup,Halfpipe,45,0.30
3,Kikuchihara Koyata,Male,17-01-2025,Laax,SUI,Japan,Qualification,Halfpipe,23,
4,Kikuchihara Koyata,Male,17-03-2024,Spporo,JPN,Japan,National Championships,Halfpipe,4,186.10
5,Kikuchihara Koyata,Male,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,5,106.50
6,Kikuchihara Koyata,Male,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,12,33.80
7,Kikuchihara Koyata,Male,25-01-2024,Copper Mountain,USA,Japan,Nor-Am Cup,Halfpipe,5,87.50
8,Kikuchihara Koyata,Male,10-01-2024,"Copper Mountain, CO",USA,Japan,FIS,Halfpipe,2,74.00
9,Kikuchihara Koyata,Male,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,4,187.10
10,Kikuchihara Koyata,Male,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,11,28.00
11,Kikuchihara Koyata,Male,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,3,123.30
12,Kikuchihara Koyata,Male,09-02-2023,"Aspen Snowmass, CO",USA,Japan,Nor-Am Cup,Halfpipe,2,114.10
13,Kikuchihara Koyata,Male,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,5,159.90
14,Kikuchihara Koyata,Male,08-03-2022,Leysin,SUI,Japan,FIS Junior World Championships,Halfpipe,4,136.40
15,Kikuchihara Koyata,Male,20-02-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,5,53.10
16,Kikuchihara Koyata,Male,28-01-2022,Mammoth Mountain Ski Resort,USA,Japan,Nor-Am Cup,Halfpipe,3,122.30
17,Kikuchihara Koyata,Male,21-01-2022,Mammoth Mountain Ski Resort,USA,Japan,FIS,Halfpipe,1,60.00
18,Kikuchihara Koyata,Male,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,11,72.09
19,Kikuchihara Koyata,Male,14-03-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,7,24.99
20,Kikuchihara Koyata,Male,23-02-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,4,28.57
21,Kikuchihara Koyata,Male,28-08-2019,Cardrona,NZL,Japan,Australian New Zealand Cup,Halfpipe,6,88.00
22,Kikuchihara Koyata,Male,03-03-2019,Sapporo,JPN,Japan,FIS,Halfpipe,4,45.00
23,Kikuchihara Koyata,Male,24-02-2019,Gujo,JPN,Japan,National Championships,Halfpipe,7,104.40
24,Kikuchihara Koyata,Male,11-02-2019, Sapporo Bankei ,JPN,Japan,FIS,Halfpipe,14,16.20
25,Kikuchihara Koyata,Male,24-03-2018,Sapporo,JPN,Japan,FIS,Halfpipe,10,18.20
26,Kikuchihara Koyata,Male,25-02-2018,Gujo,JPN,Japan,National Championships,Halfpipe,27,13.05
27,Kikuchihara Koyata,Male,18-02-2018,Sapporo,JPN,Japan,FIS,Halfpipe,10,18.20
