,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kim Minjae,Male,06-04-2025,Bansko,BUL,Korea,National Championships,Parallel Slalom,15,46.40
1,Kim Minjae,Male,05-04-2025,Cortina d Ampezzo,ITA,Korea,National Championships,Parallel Slalom,DNS,
2,Kim Minjae,Male,05-04-2025,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,16,43.50
3,Kim Minjae,Male,30-03-2025,Haus im Ennstal,AUT,Korea,Junior Regional Cup,Parallel Slalom,7,50.40
4,Kim Minjae,Male,29-03-2025,Krvavec,SLO,Korea,National Championships,Giant Slalom,16,43.50
5,Kim Minjae,Male,23-03-2025,Gosau,AUT,Korea,FIS,Parallel Slalom,14,25.20
6,Kim Minjae,Male,22-03-2025,Gosau,AUT,Korea,FIS,Parallel Slalom,13,28.00
7,Kim Minjae,Male,16-03-2025,Davos,SUI,Korea,European Cup,Parallel Slalom,15,35.20
8,Kim Minjae,Male,16-03-2025,Davos,SUI,Korea,Qualification,Parallel Slalom,15,
9,Kim Minjae,Male,15-03-2025,Davos,SUI,Korea,European Cup,Parallel Slalom,23,17.60
10,Kim Minjae,Male,15-03-2025,Davos,SUI,Korea,Qualification,Parallel Slalom,23,
11,Kim Minjae,Male,09-03-2025,Montafon/Gargellen,AUT,Korea,European Cup,Parallel Slalom,35,7.20
12,Kim Minjae,Male,08-03-2025,Montafon/Gargellen,AUT,Korea,European Cup,Parallel Giant Slalom,36,7.09
13,Kim Minjae,Male,05-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,17,25.20
14,Kim Minjae,Male,04-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,24,12.60
15,Kim Minjae,Male,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,23,12.80
16,Kim Minjae,Male,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,17,22.40
17,Kim Minjae,Male,07-04-2024,Samnaun,SUI,Korea,National Championships,Giant Slalom,DSQ,
18,Kim Minjae,Male,06-04-2024,Samnaun,SUI,Korea,National Championships,Parallel Slalom,13,58.00
19,Kim Minjae,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,18,26.00
20,Kim Minjae,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,23,16.00
21,Kim Minjae,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,24,14.00
22,Kim Minjae,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,24,14.00
23,Kim Minjae,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,20,22.00
24,Kim Minjae,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,27,10.80
25,Kim Minjae,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,DSQ,
26,Kim Minjae,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,21,22.00
