,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kim Sangkyum,Male,22-03-2025,Engadin,SUI,Korea,Qualification,Parallel Slalom,24,
1,Kim Sangkyum,Male,22-03-2025,Engadin,SUI,Korea,World Championships,Parallel Slalom,24,70.00
2,Kim Sangkyum,Male,20-03-2025,Engadin,SUI,Korea,Qualification,Parallel Giant Slalom,15,
3,Kim Sangkyum,Male,20-03-2025,Engadin,SUI,Korea,World Championships,Parallel Giant Slalom,15,160.00
4,Kim Sangkyum,Male,15-03-2025,Winterberg,GER,Korea,Qualification,Parallel Slalom,30,
5,Kim Sangkyum,Male,15-03-2025,Winterberg,GER,Korea,World Cup,Parallel Slalom,30,32.00
6,Kim Sangkyum,Male,02-03-2025,Krynica,POL,Korea,Qualification,Parallel Giant Slalom,5,
7,Kim Sangkyum,Male,02-03-2025,Krynica,POL,Korea,World Cup,Parallel Giant Slalom,3,600.00
8,Kim Sangkyum,Male,01-03-2025,Krynica,POL,Korea,Qualification,Parallel Giant Slalom,14,
9,Kim Sangkyum,Male,01-03-2025,Krynica,POL,Korea,World Cup,Parallel Giant Slalom,14,180.00
10,Kim Sangkyum,Male,16-02-2025,Val St. Come,CAN,Korea,Qualification,Parallel Giant Slalom,26,
11,Kim Sangkyum,Male,16-02-2025,Val St. Come,CAN,Korea,World Cup,Parallel Giant Slalom,26,50.00
12,Kim Sangkyum,Male,15-02-2025,Val St. Come,CAN,Korea,Qualification,Parallel Giant Slalom,29,
13,Kim Sangkyum,Male,15-02-2025,Val St. Come,CAN,Korea,World Cup,Parallel Giant Slalom,29,36.00
14,Kim Sangkyum,Male,25-01-2025,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,13,
15,Kim Sangkyum,Male,25-01-2025,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,14,180.00
16,Kim Sangkyum,Male,19-01-2025,Bansko,BUL,Korea,Qualification,Parallel Giant Slalom,29,
17,Kim Sangkyum,Male,19-01-2025,Bansko,BUL,Korea,World Cup,Parallel Giant Slalom,29,36.00
18,Kim Sangkyum,Male,18-01-2025,Bansko,BUL,Korea,Qualification,Parallel Giant Slalom,27,
19,Kim Sangkyum,Male,18-01-2025,Bansko,BUL,Korea,World Cup,Parallel Giant Slalom,27,45.00
20,Kim Sangkyum,Male,15-01-2025,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom Team,12,
21,Kim Sangkyum,Male,14-01-2025,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,11,
22,Kim Sangkyum,Male,14-01-2025,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,12,220.00
23,Kim Sangkyum,Male,11-01-2025,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,16,
24,Kim Sangkyum,Male,11-01-2025,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,16,150.00
25,Kim Sangkyum,Male,21-12-2024,Davos,SUI,Korea,Qualification,Parallel Slalom,DNF,
26,Kim Sangkyum,Male,21-12-2024,Davos,SUI,Korea,World Cup,Parallel Slalom,DNF,
27,Kim Sangkyum,Male,14-12-2024,Cortina d'Ampezzo,ITA,Korea,Qualification,Parallel Giant Slalom,3,
28,Kim Sangkyum,Male,14-12-2024,Cortina d'Ampezzo,ITA,Korea,World Cup,Parallel Giant Slalom,5,450.00
29,Kim Sangkyum,Male,12-12-2024,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,3,
30,Kim Sangkyum,Male,12-12-2024,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,6,400.00
31,Kim Sangkyum,Male,08-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Slalom,18,130.00
32,Kim Sangkyum,Male,08-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Slalom,18,
33,Kim Sangkyum,Male,07-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Giant Slalom,9,290.00
34,Kim Sangkyum,Male,07-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Giant Slalom,6,
35,Kim Sangkyum,Male,01-12-2024,Mylin,CHN,Korea,World Cup,Parallel Slalom,19,120.00
36,Kim Sangkyum,Male,01-12-2024,Mylin,CHN,Korea,Qualification,Parallel Slalom,19,
37,Kim Sangkyum,Male,30-11-2024,Mylin,CHN,Korea,World Cup,Parallel Giant Slalom,2,800.00
38,Kim Sangkyum,Male,30-11-2024,Mylin,CHN,Korea,Qualification,Parallel Giant Slalom,6,
39,Kim Sangkyum,Male,17-03-2024,St. Moritz,SUI,Korea,European Cup,Parallel Slalom,DSQ,
40,Kim Sangkyum,Male,16-03-2024,St. Moritz,SUI,Korea,European Cup,Parallel Giant Slalom,39,6.77
41,Kim Sangkyum,Male,13-03-2024,Davos/Rinerhorn ,SUI,Korea,European Cup,Parallel Giant Slalom,DSQ,
42,Kim Sangkyum,Male,12-03-2024,Davos/Rinerhorn ,SUI,Korea,European Cup,Parallel Giant Slalom,12,79.20
43,Kim Sangkyum,Male,09-03-2024,Winterberg,GER,Korea,Qualification,Parallel Slalom,27,
44,Kim Sangkyum,Male,09-03-2024,Winterberg,GER,Korea,World Cup,Parallel Slalom,27,45.00
45,Kim Sangkyum,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,31,6.72
46,Kim Sangkyum,Male,25-02-2024,Krynica,POL,Korea,Qualification,Parallel Giant Slalom,14,
47,Kim Sangkyum,Male,25-02-2024,Krynica,POL,Korea,World Cup,Parallel Giant Slalom,14,180.00
48,Kim Sangkyum,Male,24-02-2024,Krynica,POL,Korea,Qualification,Parallel Giant Slalom,8,
49,Kim Sangkyum,Male,24-02-2024,Krynica,POL,Korea,World Cup,Parallel Giant Slalom,14,180.00
50,Kim Sangkyum,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,6,88.00
51,Kim Sangkyum,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,5,99.00
52,Kim Sangkyum,Male,27-01-2024,Simonhöhe,AUT,Korea,Qualification,Parallel Giant Slalom,22,
53,Kim Sangkyum,Male,27-01-2024,Simonhöhe,AUT,Korea,World Cup,Parallel Giant Slalom,22,90.00
54,Kim Sangkyum,Male,25-01-2024,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,19,
55,Kim Sangkyum,Male,25-01-2024,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,19,120.00
56,Kim Sangkyum,Male,21-01-2024,Pamporovo,BUL,Korea,Qualification,Parallel Slalom,24,
57,Kim Sangkyum,Male,21-01-2024,Pamporovo,BUL,Korea,World Cup,Parallel Slalom,24,70.00
58,Kim Sangkyum,Male,20-01-2024,Pamporovo,BUL,Korea,Qualification,Parallel Slalom,27,
59,Kim Sangkyum,Male,20-01-2024,Pamporovo,BUL,Korea,World Cup,Parallel Slalom,27,45.00
60,Kim Sangkyum,Male,16-01-2024,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,DSQ,
61,Kim Sangkyum,Male,16-01-2024,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,DSQ,
62,Kim Sangkyum,Male,13-01-2024,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,24,
63,Kim Sangkyum,Male,13-01-2024,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,24,70.00
64,Kim Sangkyum,Male,23-12-2023,Davos,SUI,Korea,Qualification,Parallel Slalom,24,
65,Kim Sangkyum,Male,23-12-2023,Davos ,SUI,Korea,World Cup,Parallel Slalom,24,70.00
66,Kim Sangkyum,Male,16-12-2023,Cortina d'Ampezzo,ITA,Korea,Qualification,Parallel Giant Slalom,12,
67,Kim Sangkyum,Male,16-12-2023,Cortina d'Ampezzo,ITA,Korea,World Cup,Parallel Giant Slalom,7,360.00
68,Kim Sangkyum,Male,14-12-2023,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,15,
69,Kim Sangkyum,Male,14-12-2023,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,16,150.00
70,Kim Sangkyum,Male,19-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,2,192.00
71,Kim Sangkyum,Male,18-03-2023,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,21,
72,Kim Sangkyum,Male,18-03-2023,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,21,100.00
73,Kim Sangkyum,Male,15-03-2023,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,17,140.00
74,Kim Sangkyum,Male,15-03-2023,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,17,
75,Kim Sangkyum,Male,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,1,360.00
76,Kim Sangkyum,Male,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,1,360.00
77,Kim Sangkyum,Male,22-02-2023,Bakuriani,GEO,Korea,World Championships,Parallel Slalom Team,20,
78,Kim Sangkyum,Male,21-02-2023,Bakuriani,GEO,Korea,Qualification,Parallel Slalom,9,
79,Kim Sangkyum,Male,21-02-2023,Bakuriani,GEO,Korea,World Championships,Parallel Slalom,9,290.00
80,Kim Sangkyum,Male,19-02-2023,Bakuriani,GEO,Korea,Qualification,Parallel Giant Slalom,7,
81,Kim Sangkyum,Male,19-02-2023,Bakuriani,GEO,Korea,World Championships,Parallel Giant Slalom,7,360.00
82,Kim Sangkyum,Male,07-02-2023,high1 resort,KOR,Korea,FIS,Parallel Slalom,1,220.00
83,Kim Sangkyum,Male,06-02-2023,high1 resort,KOR,Korea,FIS,Parallel Giant Slalom,1,220.00
84,Kim Sangkyum,Male,27-01-2023,Blue Mountain,CAN,Korea,Qualification,Parallel Giant Slalom,13,
85,Kim Sangkyum,Male,27-01-2023,Blue Mountain,CAN,Korea,World Cup,Parallel Giant Slalom,8,320.00
86,Kim Sangkyum,Male,26-01-2023,Blue Mountain,CAN,Korea,Qualification,Parallel Giant Slalom,24,
87,Kim Sangkyum,Male,26-01-2023,Blue Mountain,CAN,Korea,World Cup,Parallel Giant Slalom,24,70.00
88,Kim Sangkyum,Male,22-01-2023,Bansko,BUL,Korea,Qualification,Parallel Slalom,24,
89,Kim Sangkyum,Male,22-01-2023,Bansko,BUL,Korea,World Cup,Parallel Slalom,24,70.00
90,Kim Sangkyum,Male,21-01-2023,Bansko,BUL,Korea,Qualification,Parallel Slalom,27,
91,Kim Sangkyum,Male,21-01-2023,Bansko,BUL,Korea,World Cup,Parallel Slalom,27,45.00
92,Kim Sangkyum,Male,14-01-2023,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,14,
93,Kim Sangkyum,Male,14-01-2023,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,14,180.00
94,Kim Sangkyum,Male,10-01-2023,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,22,
95,Kim Sangkyum,Male,10-01-2023,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,22,90.00
96,Kim Sangkyum,Male,17-12-2022,Cortina d'Ampezzo,ITA,Korea,Qualification,Parallel Giant Slalom,5,
97,Kim Sangkyum,Male,17-12-2022,Cortina d'Ampezzo,ITA,Korea,World Cup,Parallel Giant Slalom,6,400.00
98,Kim Sangkyum,Male,15-12-2022,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,5,
99,Kim Sangkyum,Male,15-12-2022,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,11,240.00
100,Kim Sangkyum,Male,11-12-2022,Winterberg,GER,Korea,World Cup,Parallel Slalom,24,70.00
101,Kim Sangkyum,Male,10-12-2022,Winterberg,GER,Korea,Qualification,Parallel Slalom,24,
102,Kim Sangkyum,Male,19-03-2022,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,16,
103,Kim Sangkyum,Male,19-03-2022,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,16,150.00
104,Kim Sangkyum,Male,17-03-2022,Rogla,SLO,Korea,European Cup,Parallel Giant Slalom,11,76.80
105,Kim Sangkyum,Male,16-03-2022,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,15,
106,Kim Sangkyum,Male,16-03-2022,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,15,160.00
107,Kim Sangkyum,Male,12-03-2022,Piancavallo,ITA,Korea,Qualification,Parallel Slalom,32,
108,Kim Sangkyum,Male,12-03-2022,Piancavallo,ITA,Korea,World Cup,Parallel Slalom,32,26.00
109,Kim Sangkyum,Male,03-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Slalom,3,174.00
110,Kim Sangkyum,Male,02-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Giant Slalom,2,232.00
111,Kim Sangkyum,Male,22-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Slalom,1,220.00
112,Kim Sangkyum,Male,21-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Giant Slalom,4,110.00
113,Kim Sangkyum,Male,08-02-2022,Beijing,CHN,Korea,Qualification,Parallel Giant Slalom,24,
114,Kim Sangkyum,Male,08-02-2022,Beijing,CHN,Korea,Olympic Winter Games,Parallel Giant Slalom,24,70.00
115,Kim Sangkyum,Male,15-01-2022,Simonhöhe,AUT,Korea,World Cup,Parallel Giant Slalom Team,16,
116,Kim Sangkyum,Male,14-01-2022,Simonhöhe,AUT,Korea,World Cup,Parallel Giant Slalom,18,130.00
117,Kim Sangkyum,Male,14-01-2022,Simonhöhe,AUT,Korea,Qualification,Parallel Giant Slalom,18,
118,Kim Sangkyum,Male,11-01-2022,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,18,
119,Kim Sangkyum,Male,11-01-2022,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,18,130.00
120,Kim Sangkyum,Male,08-01-2022,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,17,
121,Kim Sangkyum,Male,08-01-2022,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,17,140.00
122,Kim Sangkyum,Male,18-12-2021,Cortina d Ampezzo,ITA,Korea,Qualification,Parallel Giant Slalom,41,
