,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kimata Ryoma,Male,05-02-2025,Aspen,USA,Japan,Qualification,Big Air,9,
1,Kimata Ryoma,Male,02-02-2025,Aspen,USA,Japan,World Cup,Slopestyle,22,158.60
2,Kimata Ryoma,Male,31-01-2025,Aspen,USA,Japan,Qualification,Slopestyle,14,
3,Kimata Ryoma,Male,18-01-2025,Laax,SUI,Japan,World Cup,Slopestyle,28,136.60
4,Kimata Ryoma,Male,16-01-2025,Laax,SUI,Japan,Qualification,Slopestyle,16,
5,Kimata Ryoma,Male,11-01-2025,Kreischberg,AUT,Japan,Qualification,Big Air,25,
6,Kimata Ryoma,Male,11-01-2025,Kreischberg,AUT,Japan,World Cup,Big Air,48,32.60
7,Kimata Ryoma,Male,05-01-2025,Klagenfurt,AUT,Japan,Qualification,Big Air,2,
8,Kimata Ryoma,Male,05-01-2025,Klagenfurt,AUT,Japan,World Cup,Big Air,6,437.80
9,Kimata Ryoma,Male,01-12-2024,Beijing,CHN,Japan,World Cup,Big Air,8,346.80
10,Kimata Ryoma,Male,30-11-2024,Beijing,CHN,Japan,Qualification,Big Air,1,
11,Kimata Ryoma,Male,19-10-2024,Chur,SUI,Japan,World Cup,Big Air,40,33.60
12,Kimata Ryoma,Male,02-09-2024,Cardrona,NZL,Japan,World Cup,Slopestyle,45,42.70
13,Kimata Ryoma,Male,31-08-2024,Cardrona,NZL,Japan,Qualification,Slopestyle,22,
14,Kimata Ryoma,Male,23-03-2024,Silvaplana,SUI,Japan,World Cup,Slopestyle,50,39.00
15,Kimata Ryoma,Male,21-03-2024,Silvaplana,SUI,Japan,Qualification,Slopestyle,24,
16,Kimata Ryoma,Male,15-03-2024,Tignes,FRA,Japan,Qualification,Slopestyle,2,
17,Kimata Ryoma,Male,15-03-2024,Tignes,FRA,Japan,World Cup,Slopestyle,1,1000.00
18,Kimata Ryoma,Male,17-02-2024,Fukushima Yama,JPN,Japan,Asian Cup,Big Air,1,360.00
19,Kimata Ryoma,Male,20-01-2024,Laax,SUI,Japan,World Cup,Slopestyle,2,829.80
20,Kimata Ryoma,Male,16-01-2024,Laax,SUI,Japan,Qualification,Slopestyle,9,
21,Kimata Ryoma,Male,15-12-2023,Copper Mountain,USA,Japan,World Cup,Big Air,10,288.90
22,Kimata Ryoma,Male,13-12-2023,Copper Mountain,USA,Japan,Qualification,Big Air,4,
23,Kimata Ryoma,Male,09-12-2023,Edmonton,CAN,Japan,World Cup,Big Air,12,245.20
24,Kimata Ryoma,Male,08-12-2023,Edmonton,CAN,Japan,Qualification,Big Air,5,
25,Kimata Ryoma,Male,02-12-2023,Beijing,CHN,Japan,World Cup,Big Air,2,828.20
26,Kimata Ryoma,Male,01-12-2023,Beijing,CHN,Japan,Qualification,Big Air,4,
27,Kimata Ryoma,Male,21-10-2023,Chur,SUI,Japan,Qualification,Big Air,3,
28,Kimata Ryoma,Male,21-10-2023,Chur,SUI,Japan,World Cup,Big Air,8,348.00
29,Kimata Ryoma,Male,29-09-2023,Cardrona,NZL,Japan,Australian New Zealand Cup,Slopestyle,5,181.00
30,Kimata Ryoma,Male,26-03-2023,Silvaplana,SUI,Japan,World Cup,Slopestyle,14,171.40
31,Kimata Ryoma,Male,25-03-2023,Silvaplana,SUI,Japan,Qualification,Slopestyle,2,
32,Kimata Ryoma,Male,04-03-2023,Bakuriani,GEO,Japan,World Championships,Big Air,6,348.20
33,Kimata Ryoma,Male,02-03-2023,Bakuriani,GEO,Japan,Qualification,Big Air,1,
34,Kimata Ryoma,Male,27-02-2023,Bakuriani,GEO,Japan,World Championships,Slopestyle,2,663.30
35,Kimata Ryoma,Male,24-02-2023,Bakuriani,GEO,Japan,Qualification,Slopestyle,3,
36,Kimata Ryoma,Male,14-02-2023,Fukushima Yama,JPN,Japan,FIS,Big Air,3,151.70
37,Kimata Ryoma,Male,04-02-2023,Mammoth Mountain,USA,Japan,World Cup,Slopestyle,36,54.40
38,Kimata Ryoma,Male,01-02-2023,Mammoth Mountain,USA,Japan,Qualification,Slopestyle,20,
39,Kimata Ryoma,Male,22-01-2023,Laax,SUI,Japan,World Cup,Slopestyle,11,267.00
40,Kimata Ryoma,Male,18-01-2023,Laax,SUI,Japan,Qualification,Slopestyle,1,
41,Kimata Ryoma,Male,14-01-2023,Kreischberg,AUT,Japan,World Cup,Big Air,2,662.90
42,Kimata Ryoma,Male,13-01-2023,Kreischberg,AUT,Japan,Qualification,Big Air,3,
43,Kimata Ryoma,Male,17-12-2022,Copper Mountain,USA,Japan,World Cup,Big Air,10,230.00
44,Kimata Ryoma,Male,15-12-2022,Copper Mountain,USA,Japan,Qualification,Big Air,3,
45,Kimata Ryoma,Male,10-12-2022,Edmonton,CAN,Japan,World Cup,Big Air,8,277.90
46,Kimata Ryoma,Male,09-12-2022,Edmonton,CAN,Japan,Qualification,Big Air,2,
47,Kimata Ryoma,Male,08-10-2022,Cardrona Alpine Resort,NZL,Japan,Australian New Zealand Cup,Big Air,1,120.00
48,Kimata Ryoma,Male,07-10-2022,Cardrona Alpine Resort,NZL,Japan,Australian New Zealand Cup,Slopestyle,1,260.00
49,Kimata Ryoma,Male,02-09-2022,Cardrona,NZL,Japan,Australian New Zealand Cup,Slopestyle,6,136.70
50,Kimata Ryoma,Male,27-03-2022,Silvaplana,SUI,Japan,World Cup,Slopestyle,DNS,
51,Kimata Ryoma,Male,25-03-2022,Silvaplana,SUI,Japan,Qualification,Slopestyle,DNS,
52,Kimata Ryoma,Male,19-03-2022,Spindleruv Mlyn,CZE,Japan,World Cup,Slopestyle,11,149.50
53,Kimata Ryoma,Male,18-03-2022,Spindleruv Mlyn,CZE,Japan,Qualification,Slopestyle,7,
54,Kimata Ryoma,Male,06-03-2022,Niseko,JPN,Japan,National Championships,Big Air,9,60.40
55,Kimata Ryoma,Male,05-03-2022,Niseko,JPN,Japan,National Championships,Slopestyle,10,55.20
56,Kimata Ryoma,Male,15-01-2022,Laax,SUI,Japan,World Cup,Slopestyle,9,248.60
57,Kimata Ryoma,Male,13-01-2022,Laax,SUI,Japan,Qualification,Slopestyle,10,
58,Kimata Ryoma,Male,08-01-2022,Mammoth Mountain,USA,Japan,World Cup,Slopestyle,14,211.50
59,Kimata Ryoma,Male,01-01-2022,Calgary,CAN,Japan,World Cup,Slopestyle,8,341.50
60,Kimata Ryoma,Male,31-12-2021,Calgary,CAN,Japan,Qualification,Slopestyle,3,
61,Kimata Ryoma,Male,04-12-2021,Steamboat,USA,Japan,World Cup,Big Air,49,50.20
62,Kimata Ryoma,Male,02-12-2021,Steamboat,USA,Japan,Qualification,Big Air,24,
63,Kimata Ryoma,Male,22-01-2021,Laax,SUI,Japan,World Cup,Slopestyle,28,94.90
64,Kimata Ryoma,Male,19-01-2021,Laax,SUI,Japan,Qualification,Slopestyle,28,
65,Kimata Ryoma,Male,09-01-2021,Kreischberg,AUT,Japan,Qualification,Big Air,22,
