,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kirchwehm Kenta,Male,24-03-2024,Lenk,SUI,Germany,National Championships,Snowboard Cross,19,14.40
1,Kirchwehm Kenta,Male,22-03-2024,Lenk,SUI,Germany,European Cup,Snowboard Cross,44,4.15
2,Kirchwehm Kenta,Male,21-03-2024,Lenk,SUI,Germany,European Cup,Snowboard Cross,59,3.07
3,Kirchwehm Kenta,Male,21-01-2024,Gangwon/Welli Hilli,KOR,Germany,Youth Olympic Winter Games,Snowboard Cross Team,15,
4,Kirchwehm Kenta,Male,20-01-2024,Gangwon/Welli Hilli,KOR,Germany,Youth Olympic Winter Games,Snowboard Cross,8,35.20
5,Kirchwehm Kenta,Male,09-12-2023,Pitztal,AUT,Germany,Junior,Snowboard Cross,22,9.00
6,Kirchwehm Kenta,Male,30-03-2023,Passo San Pellegrino,ITA,Germany,FIS Junior World Championships,Snowboard Cross,49,5.06
7,Kirchwehm Kenta,Male,25-03-2023,Gargellen,AUT,Germany,Junior,Snowboard Cross,2,128.00
8,Kirchwehm Kenta,Male,24-03-2023,Gargellen,AUT,Germany,Junior,Snowboard Cross,15,17.60
9,Kirchwehm Kenta,Male,18-03-2023,Passo San Pellegrino,ITA,Germany,FIS,Snowboard Cross,DNS,
10,Kirchwehm Kenta,Male,12-03-2023,Lenk,SUI,Germany,National Junior Championships,Snowboard Cross,17,12.60
11,Kirchwehm Kenta,Male,19-02-2023,Flumserberg,SUI,Germany,Junior,Snowboard Cross,9,31.90
12,Kirchwehm Kenta,Male,18-02-2023,Flumserberg,SUI,Germany,Junior,Snowboard Cross,17,15.40
13,Kirchwehm Kenta,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Germany,European Cup,Snowboard Cross,25,17.40
14,Kirchwehm Kenta,Male,15-02-2023,Moena - Passo San Pellegrino,ITA,Germany,European Cup,Snowboard Cross,46,4.84
15,Kirchwehm Kenta,Male,08-02-2023,Cervinia,ITA,Germany,Junior,Snowboard Cross,13,26.00
16,Kirchwehm Kenta,Male,07-02-2023,Cervinia,ITA,Germany,Junior,Snowboard Cross,17,18.20
17,Kirchwehm Kenta,Male,26-01-2023,Piancavallo,ITA,Germany,European Youth Olympic Festival,Snowboard Cross,7,25.20
18,Kirchwehm Kenta,Male,22-01-2023,Puy St.Vincent,FRA,Germany,European Cup,Snowboard Cross,33,5.76
19,Kirchwehm Kenta,Male,21-01-2023,Puy St.Vincent,FRA,Germany,European Cup,Snowboard Cross,27,10.80
20,Kirchwehm Kenta,Male,15-01-2023,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,50,5.58
21,Kirchwehm Kenta,Male,14-01-2023,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,41,6.55
22,Kirchwehm Kenta,Male,08-01-2023,Isola 2000,FRA,Germany,Junior,Snowboard Cross,17,16.80
23,Kirchwehm Kenta,Male,07-01-2023,Isola 2000,FRA,Germany,Junior,Snowboard Cross,1,50.00
24,Kirchwehm Kenta,Male,06-01-2023,Isola 2000,FRA,Germany,European Cup,Snowboard Cross,19,28.80
25,Kirchwehm Kenta,Male,27-11-2022,Pitztal,AUT,Germany,Junior,Snowboard Cross,13,32.00
26,Kirchwehm Kenta,Male,26-11-2022,Pitztal,AUT,Germany,Junior,Snowboard Cross,13,36.00
27,Kirchwehm Kenta,Male,25-11-2022,Pitztal,AUT,Germany,FIS,Snowboard Cross,65,2.42
28,Kirchwehm Kenta,Male,04-03-2022,Pitztal,AUT,Germany,Junior,Snowboard Cross,23,9.60
29,Kirchwehm Kenta,Male,13-02-2022,Grasgehren,GER,Germany,Junior,Snowboard Cross,25,7.20
30,Kirchwehm Kenta,Male,12-02-2022,Grasgehren,GER,Germany,Junior,Snowboard Cross,48,1.93
31,Kirchwehm Kenta,Male,15-12-2021,Reiteralm,AUT,Germany,Junior,Snowboard Cross,33,1.68
32,Kirchwehm Kenta,Male,14-12-2021,Reiteralm,AUT,Germany,FIS,Snowboard Cross,49,3.48
33,Kirchwehm Kenta,Male,13-12-2021,Reiteralm,AUT,Germany,FIS,Snowboard Cross,61,2.68
