,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kirkhus Oyvind,Male,02-02-2025,Aspen,USA,Norway,World Cup,Slopestyle,13,
1,Kirkhus Oyvind,Male,31-01-2025,Aspen,USA,Norway,Qualification,Slopestyle,8,
2,Kirkhus Oyvind,Male,18-01-2025,Laax,SUI,Norway,World Cup,Slopestyle,34,110.50
3,Kirkhus Oyvind,Male,16-01-2025,Laax,SUI,Norway,Qualification,Slopestyle,22,
4,Kirkhus Oyvind,Male,11-01-2025,Kreischberg,AUT,Norway,Qualification,Big Air,3,
5,Kirkhus Oyvind,Male,11-01-2025,Kreischberg,AUT,Norway,World Cup,Big Air,5,507.50
6,Kirkhus Oyvind,Male,05-01-2025,Klagenfurt,AUT,Norway,World Cup,Big Air,3,694.10
7,Kirkhus Oyvind,Male,05-01-2025,Klagenfurt,AUT,Norway,Qualification,Big Air,1,
8,Kirkhus Oyvind,Male,01-12-2024,Beijing,CHN,Norway,World Cup,Big Air,4,589.90
9,Kirkhus Oyvind,Male,30-11-2024,Beijing,CHN,Norway,Qualification,Big Air,4,
10,Kirkhus Oyvind,Male,19-10-2024,Chur,SUI,Norway,World Cup,Big Air,33,72.70
11,Kirkhus Oyvind,Male,02-09-2024,Cardrona,NZL,Norway,World Cup,Slopestyle,44,47.40
12,Kirkhus Oyvind,Male,31-08-2024,Cardrona,NZL,Norway,Qualification,Slopestyle,21,
13,Kirkhus Oyvind,Male,12-04-2024,Corvatsch,SUI,Norway,European Cup Premium,Slopestyle,3,350.10
14,Kirkhus Oyvind,Male,23-03-2024,Silvaplana,SUI,Norway,World Cup,Slopestyle,54,21.80
15,Kirkhus Oyvind,Male,21-03-2024,Silvaplana,SUI,Norway,Qualification,Slopestyle,26,
16,Kirkhus Oyvind,Male,15-03-2024,Tignes,FRA,Norway,World Cup,Slopestyle,33,99.50
17,Kirkhus Oyvind,Male,15-03-2024,Tignes,FRA,Norway,Qualification,Slopestyle,13,
18,Kirkhus Oyvind,Male,11-02-2024,Klaeppen,SWE,Norway,FIS,Slopestyle,9,32.50
19,Kirkhus Oyvind,Male,20-01-2024,Laax,SUI,Norway,World Cup,Slopestyle,10,290.30
20,Kirkhus Oyvind,Male,16-01-2024,Laax,SUI,Norway,Qualification,Slopestyle,2,
21,Kirkhus Oyvind,Male,15-12-2023,Copper Mountain,USA,Norway,World Cup,Big Air,13,233.90
22,Kirkhus Oyvind,Male,13-12-2023,Copper Mountain,USA,Norway,Qualification,Big Air,8,
23,Kirkhus Oyvind,Male,09-12-2023,Edmonton,CAN,Norway,World Cup,Big Air,42,53.10
24,Kirkhus Oyvind,Male,08-12-2023,Edmonton,CAN,Norway,Qualification,Big Air,23,
25,Kirkhus Oyvind,Male,21-10-2023,Chur,SUI,Norway,World Cup,Big Air,37,83.60
26,Kirkhus Oyvind,Male,21-10-2023,Chur,SUI,Norway,Qualification,Big Air,17,
27,Kirkhus Oyvind,Male,26-03-2023,Silvaplana,SUI,Norway,World Cup,Slopestyle,30,84.60
28,Kirkhus Oyvind,Male,25-03-2023,Silvaplana,SUI,Norway,Qualification,Slopestyle,15,
29,Kirkhus Oyvind,Male,20-03-2023,Mottolino Livigno,ITA,Norway,European Cup,Slopestyle,14,56.70
