,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kong Binbin,Female,19-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Slalom,8,51.20
1,Kong Binbin,Female,18-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,8,51.20
2,Kong Binbin,Female,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,2,128.00
3,Kong Binbin,Female,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,9,46.40
4,Kong Binbin,Female,05-03-2024,High1resort,KOR,P.r. China,Asian Cup,Parallel Slalom,7,57.60
5,Kong Binbin,Female,04-03-2024,High1resort,KOR,P.r. China,Asian Cup,Parallel Giant Slalom,2,128.00
6,Kong Binbin,Female,01-03-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Slalom,6,44.00
7,Kong Binbin,Female,29-02-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Giant Slalom,2,88.00
8,Kong Binbin,Female,23-12-2023,Davos,SUI,P.r. China,World Cup,Parallel Slalom,19,120.00
9,Kong Binbin,Female,23-12-2023,Davos ,SUI,P.r. China,Qualification,Parallel Slalom,19,
10,Kong Binbin,Female,14-12-2023,Carezza,ITA,P.r. China,Qualification,Parallel Giant Slalom,21,
11,Kong Binbin,Female,14-12-2023,Carezza,ITA,P.r. China,World Cup,Parallel Giant Slalom,21,100.00
12,Kong Binbin,Female,09-12-2023,Götschen,GER,P.r. China,European Cup,Parallel Slalom,4,180.00
13,Kong Binbin,Female,09-12-2023,Götschen,GER,P.r. China,Qualification,Parallel Slalom,16,
14,Kong Binbin,Female,08-12-2023,Götschen,GER,P.r. China,Qualification,Parallel Slalom,15,
15,Kong Binbin,Female,08-12-2023,Götschen,GER,P.r. China,European Cup,Parallel Slalom,14,64.80
16,Kong Binbin,Female,12-03-2023,ORTISEI,ITA,P.r. China,FIS,Giant Slalom,1,100.00
17,Kong Binbin,Female,11-03-2023,ORTISEI,ITA,P.r. China,FIS,Giant Slalom,2,80.00
18,Kong Binbin,Female,05-03-2023,Val Senales,ITA,P.r. China,FIS,Parallel Slalom,3,66.00
19,Kong Binbin,Female,04-03-2023,Val Senales,ITA,P.r. China,FIS,Parallel Slalom,3,108.00
20,Kong Binbin,Female,21-02-2023,Bakuriani,GEO,P.r. China,World Championships,Parallel Slalom,35,20.00
21,Kong Binbin,Female,21-02-2023,Bakuriani,GEO,P.r. China,Qualification,Parallel Slalom,35,
22,Kong Binbin,Female,19-02-2023,Bakuriani,GEO,P.r. China,Qualification,Parallel Giant Slalom,22,
