,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kosugi Eidai,Male,23-03-2025,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,8,43.70
1,Kosugi Eidai,Male,16-03-2025,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,15,14.60
2,Kosugi Eidai,Male,02-03-2025,Gujo,JPN,Japan,National Championships,Halfpipe,36,8.40
3,Kosugi Eidai,Male,17-03-2024,Spporo,JPN,Japan,National Championships,Halfpipe,13,62.90
4,Kosugi Eidai,Male,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,4,126.10
5,Kosugi Eidai,Male,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,8,55.90
6,Kosugi Eidai,Male,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,26,27.90
7,Kosugi Eidai,Male,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,4,74.80
8,Kosugi Eidai,Male,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,7,64.30
9,Kosugi Eidai,Male,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,20,42.20
10,Kosugi Eidai,Male,13-03-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,9,18.80
11,Kosugi Eidai,Male,20-02-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,18,8.20
12,Kosugi Eidai,Male,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,17,40.22
13,Kosugi Eidai,Male,23-02-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,14,6.83
