,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kozelska Ivana,Female,17-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,11,21.60
1,Kozelska Ivana,Female,16-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,7,64.80
2,Kozelska Ivana,Female,10-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,11,26.40
3,Kozelska Ivana,Female,09-03-2024,Senales - Schnals,ITA,Czechia,FIS,Parallel Slalom,19,13.20
4,Kozelska Ivana,Female,10-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Slalom,23,23.20
5,Kozelska Ivana,Female,09-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Giant Slalom,24,20.30
6,Kozelska Ivana,Female,04-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,22,12.60
7,Kozelska Ivana,Female,03-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,25,8.40
8,Kozelska Ivana,Female,14-01-2024,Gosau,AUT,Czechia,FIS,Parallel Slalom,12,26.40
9,Kozelska Ivana,Female,13-01-2024,Gosau,AUT,Czechia,FIS,Parallel Slalom,14,21.60
10,Kozelska Ivana,Female,07-01-2024,Dolni Morava,CZE,Czechia,National Junior Championships,Parallel Giant Slalom,10,
11,Kozelska Ivana,Female,06-01-2024,Dolni Morava,CZE,Czechia,National Junior Championships,Parallel Slalom,5,22.50
12,Kozelska Ivana,Female,22-12-2023,Moninec,CZE,Czechia,Junior,Parallel Slalom,8,22.40
13,Kozelska Ivana,Female,21-12-2023,Moninec,CZE,Czechia,Junior,Parallel Slalom,11,26.40
14,Kozelska Ivana,Female,20-12-2023,Moninec,CZE,Czechia,European Cup,Parallel Slalom,51,
15,Kozelska Ivana,Female,19-12-2023,Moninec,CZE,Czechia,European Cup,Parallel Slalom,49,
