,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kralj Max,Male,08-04-2023,Vogel,SLO,Slovenia,National Championships,Big Air,9,14.70
1,Kralj Max,Male,20-03-2022,Laax,SUI,Slovenia,European Cup Premium,Halfpipe,17,40.30
2,Kralj Max,Male,27-01-2022,Crans Montana,SUI,Slovenia,European Cup,Halfpipe,10,18.30
3,Kralj Max,Male,16-04-2021,Vogel,SLO,Slovenia,National Championships,Slopestyle,1,50.00
4,Kralj Max,Male,16-04-2021,Vogel,SLO,Slovenia,National Championships,Big Air,2,40.35
5,Kralj Max,Male,08-03-2021,Leysin,SUI,Slovenia,European Cup,Halfpipe,6,33.92
6,Kralj Max,Male,31-01-2021,Crans Montana,SUI,Slovenia,European Cup,Halfpipe,13,30.08
7,Kralj Max,Male,26-01-2020,Crans Montana,SUI,Slovenia,European Cup,Halfpipe,8,51.20
8,Kralj Max,Male,31-03-2019,Vogel,SLO,Slovenia,FIS,Big Air,3,42.00
9,Kralj Max,Male,17-03-2019,Kuehtai,AUT,Slovenia,European Cup,Halfpipe,8,57.60
10,Kralj Max,Male,10-03-2019,Krasnoyarsk,RUS,Slovenia,Universiade,Slopestyle,DNS,
11,Kralj Max,Male,08-03-2019,Krasnoyarsk,RUS,Slovenia,Universiade,Halfpipe,5,67.50
12,Kralj Max,Male,19-01-2019,Laax,SUI,Slovenia,World Cup,Halfpipe,DNS,
13,Kralj Max,Male,16-01-2019,Laax,SUI,Slovenia,Qualification,Halfpipe,DNS,
14,Kralj Max,Male,08-04-2018,Kanin,SLO,Slovenia,FIS,Slopestyle,7,18.00
15,Kralj Max,Male,24-03-2018,Kühtai,AUT,Slovenia,European Cup,Halfpipe,9,46.40
16,Kralj Max,Male,15-03-2018,Laax,SUI,Slovenia,European Cup,Halfpipe,12,44.00
17,Kralj Max,Male,23-02-2018,Davos,SUI,Slovenia,European Cup,Halfpipe,7,64.80
18,Kralj Max,Male,10-02-2018,Kremnica,SVK,Slovenia,FIS,Big Air,3,72.00
19,Kralj Max,Male,27-01-2018,Crans Montana,SUI,Slovenia,European Cup,Halfpipe,6,64.00
20,Kralj Max,Male,13-12-2017,Copper Mountain Resort,USA,Slovenia,Nor-Am Cup,Halfpipe,25,15.60
21,Kralj Max,Male,12-12-2017,Copper Mountain Resort,USA,Slovenia,Nor-Am Cup,Halfpipe,14,46.80
22,Kralj Max,Male,09-12-2017,Copper Mountain Resort,USA,Slovenia,World Cup,Halfpipe,46,
23,Kralj Max,Male,07-12-2017,Copper Mountain Resort,USA,Slovenia,Qualification,Halfpipe,21,
24,Kralj Max,Male,19-02-2017,Phoenix Pyeongchang,KOR,Slovenia,World Cup,Halfpipe,33,
