,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Krol-walas Aleksandra,Female,25-01-2025,Rogla,SLO,Poland,Qualification,Parallel Giant Slalom,3,
1,Krol-walas Aleksandra,Female,25-01-2025,Rogla,SLO,Poland,World Cup,Parallel Giant Slalom,9,290.00
2,Krol-walas Aleksandra,Female,19-01-2025,Bansko,BUL,Poland,Qualification,Parallel Giant Slalom,9,
3,Krol-walas Aleksandra,Female,19-01-2025,Bansko,BUL,Poland,World Cup,Parallel Giant Slalom,11,240.00
4,Krol-walas Aleksandra,Female,18-01-2025,Bansko,BUL,Poland,Qualification,Parallel Giant Slalom,4,
5,Krol-walas Aleksandra,Female,18-01-2025,Bansko,BUL,Poland,World Cup,Parallel Giant Slalom,3,600.00
6,Krol-walas Aleksandra,Female,14-01-2025,Bad Gastein,AUT,Poland,Qualification,Parallel Slalom,DNF,
7,Krol-walas Aleksandra,Female,14-01-2025,Bad Gastein,AUT,Poland,World Cup,Parallel Slalom,DNF,
8,Krol-walas Aleksandra,Female,11-01-2025,Scuol,SUI,Poland,Qualification,Parallel Giant Slalom,3,
9,Krol-walas Aleksandra,Female,11-01-2025,Scuol,SUI,Poland,World Cup,Parallel Giant Slalom,1,1000.00
10,Krol-walas Aleksandra,Female,21-12-2024,Davos,SUI,Poland,Qualification,Parallel Slalom,10,
11,Krol-walas Aleksandra,Female,21-12-2024,Davos,SUI,Poland,World Cup,Parallel Slalom,12,220.00
12,Krol-walas Aleksandra,Female,14-12-2024,Cortina d'Ampezzo,ITA,Poland,Qualification,Parallel Giant Slalom,2,
13,Krol-walas Aleksandra,Female,14-12-2024,Cortina d'Ampezzo,ITA,Poland,World Cup,Parallel Giant Slalom,2,800.00
14,Krol-walas Aleksandra,Female,12-12-2024,Carezza,ITA,Poland,Qualification,Parallel Giant Slalom,5,
15,Krol-walas Aleksandra,Female,12-12-2024,Carezza,ITA,Poland,World Cup,Parallel Giant Slalom,2,800.00
16,Krol-walas Aleksandra,Female,08-12-2024,Yanqing (NASC),CHN,Poland,World Cup,Parallel Slalom,11,240.00
17,Krol-walas Aleksandra,Female,08-12-2024,Yanqing (NASC),CHN,Poland,Qualification,Parallel Slalom,9,
18,Krol-walas Aleksandra,Female,07-12-2024,Yanqing (NASC),CHN,Poland,World Cup,Parallel Giant Slalom,10,260.00
19,Krol-walas Aleksandra,Female,07-12-2024,Yanqing (NASC),CHN,Poland,Qualification,Parallel Giant Slalom,6,
20,Krol-walas Aleksandra,Female,01-12-2024,Mylin,CHN,Poland,World Cup,Parallel Slalom,8,320.00
21,Krol-walas Aleksandra,Female,01-12-2024,Mylin,CHN,Poland,Qualification,Parallel Slalom,12,
22,Krol-walas Aleksandra,Female,30-11-2024,Mylin,CHN,Poland,World Cup,Parallel Giant Slalom,2,800.00
