,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kudo Rise,Female,29-03-2025,Engadin,SUI,Japan,World Championships,Halfpipe,4,
1,Kudo Rise,Female,27-03-2025,Engadin,SUI,Japan,Qualification,Halfpipe,11,
2,Kudo Rise,Female,02-03-2025,Gujo,JPN,Japan,National Championships,Halfpipe,6,122.50
3,Kudo Rise,Female,12-02-2025,Yabuli Ski Resort,CHN,Japan,Asian Winter Games,Halfpipe,10,0.40
4,Kudo Rise,Female,01-02-2025,Aspen,USA,Japan,World Cup,Halfpipe,6,427.10
5,Kudo Rise,Female,30-01-2025,Aspen,USA,Japan,Qualification,Halfpipe,6,
6,Kudo Rise,Female,18-01-2025,Laax,SUI,Japan,World Cup,Halfpipe,5,491.50
7,Kudo Rise,Female,17-01-2025,Laax,SUI,Japan,Qualification,Halfpipe,6,
8,Kudo Rise,Female,08-12-2024,Secret Garden,CHN,Japan,World Cup,Halfpipe,8,312.90
9,Kudo Rise,Female,06-12-2024,Secret Garden,CHN,Japan,Qualification,Halfpipe,4,
10,Kudo Rise,Female,26-08-2024,Cardrona,NZL,Japan,Australian New Zealand Cup Premium,Halfpipe,2,89.00
11,Kudo Rise,Female,17-03-2024,Sapporo,JPN,Japan,National Championships,Halfpipe,3,215.10
12,Kudo Rise,Female,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,1,120.00
13,Kudo Rise,Female,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,2,62.40
14,Kudo Rise,Female,01-02-2024,Gangwon/Welli Hilli,KOR,Japan,Youth Olympic Winter Games,Halfpipe,1,180.00
15,Kudo Rise,Female,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,1,110.00
16,Kudo Rise,Female,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,1,110.00
