,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lambert Adam,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,2,288.00
1,Lambert Adam,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,5,162.00
2,Lambert Adam,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,2,288.00
3,Lambert Adam,Male,24-03-2024,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,32,26.00
4,Lambert Adam,Male,23-03-2024,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,5,450.00
5,Lambert Adam,Male,22-03-2024,Mt. St. Anne,CAN,Australia,Qualification,Snowboard Cross,7,
6,Lambert Adam,Male,17-03-2024,Montafon,AUT,Australia,World Cup,Snowboard Cross,14,180.00
7,Lambert Adam,Male,16-03-2024,Montafon,AUT,Australia,World Cup,Snowboard Cross,5,450.00
8,Lambert Adam,Male,15-03-2024,Montafon,AUT,Australia,Qualification,Snowboard Cross,11,
9,Lambert Adam,Male,09-03-2024,Cortina d'Ampezzo,ITA,Australia,World Cup,Snowboard Cross,43,17.60
10,Lambert Adam,Male,08-03-2024,Cortina d'Ampezzo,ITA,Australia,Qualification,Snowboard Cross,43,
11,Lambert Adam,Male,03-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,6,400.00
12,Lambert Adam,Male,02-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,36,19.70
13,Lambert Adam,Male,01-03-2024,Sierra Nevada,ESP,Australia,Qualification,Snowboard Cross,37,
14,Lambert Adam,Male,04-02-2024,Gudauri,GEO,Australia,World Cup,Snowboard Cross,32,26.00
15,Lambert Adam,Male,03-02-2024,Gudauri,GEO,Australia,World Cup,Snowboard Cross,7,360.00
16,Lambert Adam,Male,02-02-2024,Gudauri,GEO,Australia,Qualification,Snowboard Cross,8,
17,Lambert Adam,Male,26-01-2024,St. Moritz,SUI,Australia,World Cup,Snowboard Cross,13,200.00
