,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Larkiala Dennis,Male,06-04-2024,Kasurila,FIN,Finland,FIS,Slopestyle,7,10.00
1,Larkiala Dennis,Male,05-04-2024,Kasurila,FIN,Finland,Qualification,Slopestyle,5,
2,Larkiala Dennis,Male,04-04-2024,Kasurila,FIN,Finland,FIS,Big Air,8,3.70
3,Larkiala Dennis,Male,30-03-2024,Livigno/Mottolino,ITA,Finland,FIS Junior World Championships,Big Air,29,31.80
4,Larkiala Dennis,Male,28-03-2024,Livigno/Mottolino,ITA,Finland,Qualification,Big Air,10,
5,Larkiala Dennis,Male,26-03-2024,Livigno/Mottolino,ITA,Finland,Qualification,Slopestyle,DNS,
6,Larkiala Dennis,Male,26-03-2024,Livigno/Mottolino,ITA,Finland,FIS Junior World Championships,Slopestyle,DNS,
7,Larkiala Dennis,Male,05-01-2024,Font Romeu,FRA,Finland,European Cup,Big Air,25,30.90
8,Larkiala Dennis,Male,04-01-2024,Font Romeu,FRA,Finland,European Cup Premium,Slopestyle,18,56.40
9,Larkiala Dennis,Male,08-02-2023,Font Romeu,FRA,Finland,Junior,Slopestyle,5,34.70
