,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Leboeuf Gabriel,Male,07-02-2025,Craigleith Ski Club,CAN,Canada,FIS,Snowboard Cross,4,25.00
1,Leboeuf Gabriel,Male,25-01-2025,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,7,18.00
2,Leboeuf Gabriel,Male,24-01-2025,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,11,12.00
3,Leboeuf Gabriel,Male,29-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,35,4.00
4,Leboeuf Gabriel,Male,28-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,40,
5,Leboeuf Gabriel,Male,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,37,3.10
6,Leboeuf Gabriel,Male,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,41,2.91
7,Leboeuf Gabriel,Male,08-03-2024,Beaver Valley,CAN,Canada,National Junior Championships,Snowboard Cross,17,9.80
8,Leboeuf Gabriel,Male,01-03-2024,Sunday River Resort,USA,Canada,FIS,Snowboard Cross,25,3.00
9,Leboeuf Gabriel,Male,28-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,45,
10,Leboeuf Gabriel,Male,27-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,46,
11,Leboeuf Gabriel,Male,23-02-2024,Mont Ste-Marie,CAN,Canada,FIS,Snowboard Cross,9,14.50
12,Leboeuf Gabriel,Male,22-02-2024,Mont Ste-Marie,CAN,Canada,FIS,Snowboard Cross,12,11.00
