,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lee Hyunseok,Male,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,13,32.00
1,Lee Hyunseok,Male,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,16,24.00
2,Lee Hyunseok,Male,01-12-2024,Mylin,CHN,Korea,Qualification,Parallel Slalom,49,
3,Lee Hyunseok,Male,01-12-2024,Mylin,CHN,Korea,World Cup,Parallel Slalom,49,
4,Lee Hyunseok,Male,05-04-2024,Bansko,BUL,Korea,National Championships,Parallel Slalom,16,39.00
5,Lee Hyunseok,Male,04-04-2024,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,17,36.40
6,Lee Hyunseok,Male,30-03-2024,Krvavec,SLO,Korea,National Championships,Parallel Giant Slalom,6,116.00
7,Lee Hyunseok,Male,23-03-2024,Lachtal,AUT,Korea,Qualification,Parallel Slalom,41,
8,Lee Hyunseok,Male,23-03-2024,Lachtal,AUT,Korea,FIS Junior World Championships,Parallel Slalom,41,4.30
9,Lee Hyunseok,Male,22-03-2024,Lachtal,AUT,Korea,Qualification,Parallel Giant Slalom,35,
10,Lee Hyunseok,Male,22-03-2024,Lachtal,AUT,Korea,FIS Junior World Championships,Parallel Giant Slalom,35,4.73
11,Lee Hyunseok,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,23,
12,Lee Hyunseok,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,25,12.00
13,Lee Hyunseok,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,25,12.00
14,Lee Hyunseok,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,26,10.00
15,Lee Hyunseok,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,28,8.00
16,Lee Hyunseok,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,34,5.28
17,Lee Hyunseok,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,26,11.00
18,Lee Hyunseok,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,25,13.20
