,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Leleu Achille,Male,06-04-2025,Mt. St. Anne,CAN,France,World Cup,Snowboard Cross,29,
1,Leleu Achille,Male,05-04-2025,Mt. St. Anne,CAN,France,World Cup,Snowboard Cross,43,
2,Leleu Achille,Male,04-04-2025,Mt. St. Anne,CAN,France,Qualification,Snowboard Cross,43,
3,Leleu Achille,Male,30-03-2025,Orcières,FRA,France,European Cup,Snowboard Cross,14,52.20
4,Leleu Achille,Male,29-03-2025,Orcières,FRA,France,European Cup,Snowboard Cross,1,290.00
5,Leleu Achille,Male,21-03-2025,Montafon,AUT,France,World Cup,Snowboard Cross,33,24.00
6,Leleu Achille,Male,20-03-2025,Montafon,AUT,France,Qualification,Snowboard Cross,33,
7,Leleu Achille,Male,09-03-2025,Gudauri,GEO,France,World Cup,Snowboard Cross,31,28.00
8,Leleu Achille,Male,08-03-2025,Gudauri,GEO,France,World Cup,Snowboard Cross,34,22.00
9,Leleu Achille,Male,07-03-2025,Gudauri,GEO,France,Qualification,Snowboard Cross,34,
10,Leleu Achille,Male,01-03-2025,Erzurum,TUR,France,World Cup,Snowboard Cross,30,32.00
11,Leleu Achille,Male,28-02-2025,Erzurum,TUR,France,Qualification,Snowboard Cross,25,
12,Leleu Achille,Male,15-02-2025,Cortina d'Ampezzo,ITA,France,Qualification,Snowboard Cross,19,
13,Leleu Achille,Male,15-02-2025,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,23,80.00
14,Leleu Achille,Male,02-02-2025,Beidahu,CHN,France,World Cup,Snowboard Cross,31,28.00
15,Leleu Achille,Male,02-02-2025,Beidahu,CHN,France,Qualification,Snowboard Cross,28,
16,Leleu Achille,Male,01-02-2025,Beidahu,CHN,France,World Cup,Snowboard Cross,37,19.40
17,Leleu Achille,Male,31-01-2025,Beidahu,CHN,France,Qualification,Snowboard Cross,37,
18,Leleu Achille,Male,24-01-2025,Puy St. Vincent,FRA,France,European Cup,Snowboard Cross,DNS,
19,Leleu Achille,Male,23-01-2025,Puy St. Vincent,FRA,France,European Cup,Snowboard Cross,31,5.60
20,Leleu Achille,Male,14-12-2024,Cervinia,ITA,France,World Cup,Snowboard Cross,26,50.00
21,Leleu Achille,Male,13-12-2024,Cervinia,ITA,France,Qualification,Snowboard Cross,11,
22,Leleu Achille,Male,01-12-2024,Pitztal,AUT,France,Junior,Snowboard Cross,1,120.00
23,Leleu Achille,Male,30-11-2024,Pitztal,AUT,France,Junior,Snowboard Cross,1,120.00
24,Leleu Achille,Male,30-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,1,
25,Leleu Achille,Male,27-11-2024,Pitztal,AUT,France,European Cup,Snowboard Cross,20,39.60
26,Leleu Achille,Male,27-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,21,
27,Leleu Achille,Male,07-04-2024,Gudauri,GEO,France,FIS Junior World Championships,Snowboard Cross Team,5,
28,Leleu Achille,Male,06-04-2024,Gudauri,GEO,France,FIS Junior World Championships,Snowboard Cross,14,64.80
29,Leleu Achille,Male,05-04-2024,Gudauri,GEO,France,Qualification,Snowboard Cross,7,
30,Leleu Achille,Male,30-03-2024,Orcieres Merlette,FRA,France,National Championships,Snowboard Cross,10,75.40
31,Leleu Achille,Male,22-03-2024,Lenk,SUI,France,European Cup,Snowboard Cross,8,76.80
32,Leleu Achille,Male,21-03-2024,Lenk,SUI,France,European Cup,Snowboard Cross,9,69.60
33,Leleu Achille,Male,14-03-2024,Isola 2000,FRA,France,European Cup,Snowboard Cross,15,32.00
34,Leleu Achille,Male,13-03-2024,Isola 2000,FRA,France,European Cup,Snowboard Cross,12,44.00
35,Leleu Achille,Male,11-03-2024,Isola 2000,FRA,France,Junior,Snowboard Cross,8,48.00
36,Leleu Achille,Male,09-03-2024,Cortina d'Ampezzo,ITA,France,World Cup,Snowboard Cross,51,15.20
