,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lenchevskiy Yaroslav,Male,26-02-2022,Tyumen,RUS,Russia,Asian Cup,Big Air,4,101.50
1,Lenchevskiy Yaroslav,Male,23-02-2022,Moscow,RUS,Russia,European Cup,Big Air,4,101.90
2,Lenchevskiy Yaroslav,Male,04-02-2022,Font Romeu,FRA,Russia,FIS,Slopestyle,7,40.60
3,Lenchevskiy Yaroslav,Male,03-02-2022,Font Romeu,FRA,Russia,European Cup,Slopestyle,5,64.60
4,Lenchevskiy Yaroslav,Male,23-01-2022,Prato Nevoso,ITA,Russia,European Cup,Slopestyle,17,45.50
5,Lenchevskiy Yaroslav,Male,15-01-2022,Laax,SUI,Russia,World Cup,Halfpipe,31,72.00
6,Lenchevskiy Yaroslav,Male,13-01-2022,Laax,SUI,Russia,Qualification,Halfpipe,16,
7,Lenchevskiy Yaroslav,Male,08-01-2022,Mammoth Mountain,USA,Russia,World Cup,Halfpipe,30,34.90
8,Lenchevskiy Yaroslav,Male,11-12-2021,Copper Mountain,USA,Russia,World Cup,Halfpipe,24,118.80
9,Lenchevskiy Yaroslav,Male,09-12-2021,Copper Mountain,USA,Russia,Qualification,Halfpipe,11,
10,Lenchevskiy Yaroslav,Male,23-04-2021,Sochi,RUS,Russia,FIS,Slopestyle,1,60.00
11,Lenchevskiy Yaroslav,Male,21-04-2021,Sochi,RUS,Russia,National Championships,Slopestyle,2,148.25
12,Lenchevskiy Yaroslav,Male,20-04-2021,Sochi,RUS,Russia,National Championships,Big Air,9,34.30
13,Lenchevskiy Yaroslav,Male,02-04-2021,Krasnojarsk,RUS,Russia,National Championships,Halfpipe,1,30.00
14,Lenchevskiy Yaroslav,Male,27-02-2021,Moscow,RUS,Russia,European Cup,Big Air,7,62.72
15,Lenchevskiy Yaroslav,Male,23-01-2021,Laax,SUI,Russia,World Cup,Halfpipe,25,101.98
16,Lenchevskiy Yaroslav,Male,21-01-2021,Laax,SUI,Russia,Qualification,Halfpipe,11,
17,Lenchevskiy Yaroslav,Male,14-03-2020,Multipurpose sports complex Sopka,RUS,Russia,National Championships,Halfpipe,2,40.00
18,Lenchevskiy Yaroslav,Male,13-03-2020,Multipurpose sports complex Sopka,RUS,Russia,National Championships,Big Air,2,56.00
19,Lenchevskiy Yaroslav,Male,12-03-2020,Multipurpose sports complex Sopka,RUS,Russia,National Championships,Slopestyle,4,75.00
