,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Liis Maarja,Female,17-01-2025,Livigno,ITA,Estonia,Junior,Slopestyle,4,26.70
1,Liis Maarja,Female,11-01-2025,Prato Nevoso,ITA,Estonia,European Cup,Slopestyle,23,0.10
2,Liis Maarja,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Estonia,FIS,Big Air,3,28.40
3,Liis Maarja,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Estonia,FIS,Slopestyle,1,50.00
4,Liis Maarja,Female,14-12-2024,"Druskininkai,Sow arena",LTU,Estonia,FIS,Rail Event,4,19.90
5,Liis Maarja,Female,05-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Rail Event,2,40.90
6,Liis Maarja,Female,04-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,5,28.40
7,Liis Maarja,Female,03-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,6,23.90
8,Liis Maarja,Female,30-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Big Air,18,17.90
9,Liis Maarja,Female,28-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Big Air,18,
10,Liis Maarja,Female,26-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Slopestyle,25,0.10
11,Liis Maarja,Female,24-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Slopestyle,25,
12,Liis Maarja,Female,16-03-2024,Munamae Ski Resort,EST,Estonia,National Junior Championships,Big Air,2,4.90
13,Liis Maarja,Female,30-08-2023,Cardrona,NZL,Estonia,FIS Junior World Championships,Slopestyle,35,3.50
14,Liis Maarja,Female,28-08-2023,Cardrona,NZL,Estonia,Qualification,Slopestyle,17,
