,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lionel Elias,Male,15-01-2025,Seiser Alm,ITA,Switzerland,European Cup,Slopestyle,26,17.40
1,Lionel Elias,Male,11-01-2025,Prato Nevoso,ITA,Switzerland,European Cup,Slopestyle,3,104.70
2,Lionel Elias,Male,19-10-2024,Chur,SUI,Switzerland,World Cup,Big Air,DNS,
3,Lionel Elias,Male,14-04-2024,Corvatsch,SUI,Switzerland,European Cup Premium,Big Air,31,79.50
4,Lionel Elias,Male,12-04-2024,Corvatsch,SUI,Switzerland,European Cup Premium,Slopestyle,51,64.40
5,Lionel Elias,Male,08-04-2024,Corvatsch,SUI,Switzerland,European Cup,Halfpipe,21,27.00
6,Lionel Elias,Male,30-03-2024,Livigno/Mottolino,ITA,Switzerland,FIS Junior World Championships,Big Air,2,199.20
7,Lionel Elias,Male,28-03-2024,Livigno/Mottolino,ITA,Switzerland,Qualification,Big Air,1,
8,Lionel Elias,Male,26-03-2024,Livigno/Mottolino,ITA,Switzerland,FIS Junior World Championships,Slopestyle,10,75.70
9,Lionel Elias,Male,26-03-2024,Livigno/Mottolino,ITA,Switzerland,Qualification,Slopestyle,2,
10,Lionel Elias,Male,12-03-2024,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,73,11.40
11,Lionel Elias,Male,22-02-2024,Prato Nevoso,ITA,Switzerland,European Cup,Slopestyle,41,25.90
12,Lionel Elias,Male,15-02-2024,Davos,SUI,Switzerland,European Cup,Big Air,11,40.20
13,Lionel Elias,Male,17-01-2024,Livigno,ITA,Switzerland,Junior,Slopestyle,26,5.00
14,Lionel Elias,Male,09-12-2023,Schilthorn,SUI,Switzerland,FIS,Big Air,3,34.10
15,Lionel Elias,Male,23-11-2023,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,2,66.10
16,Lionel Elias,Male,30-08-2023,Cardrona,NZL,Switzerland,FIS Junior World Championships,Slopestyle,23,58.70
17,Lionel Elias,Male,28-08-2023,Cardrona,NZL,Switzerland,Qualification,Slopestyle,10,
18,Lionel Elias,Male,17-03-2023,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,52,50.60
19,Lionel Elias,Male,19-02-2023,Davos,SUI,Switzerland,Junior,Slopestyle,8,14.10
20,Lionel Elias,Male,18-02-2023,Davos,SUI,Switzerland,European Cup,Big Air,21,19.10
21,Lionel Elias,Male,12-02-2023,Crans Montana,SUI,Switzerland,Junior,Slopestyle,1,10.00
22,Lionel Elias,Male,27-01-2023,Ravascletto - Zoncolan,ITA,Switzerland,European Youth Olympic Festival,Slopestyle,4,34.30
23,Lionel Elias,Male,24-01-2023,Ravascletto - Zoncolan,ITA,Switzerland,European Youth Olympic Festival,Big Air,7,17.60
24,Lionel Elias,Male,04-12-2022,Glacier 3000,SUI,Switzerland,Junior,Slopestyle,1,50.00
25,Lionel Elias,Male,29-11-2022,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,18,18.60
26,Lionel Elias,Male,15-03-2022,Laax,SUI,Switzerland,European Cup Premium,Slopestyle,32,9.90
27,Lionel Elias,Male,13-03-2022,Leysin,SUI,Switzerland,FIS Junior World Championships,Slopestyle,43,23.70
28,Lionel Elias,Male,10-03-2022,Leysin,SUI,Switzerland,FIS Junior World Championships,Big Air,36,24.50
29,Lionel Elias,Male,18-02-2022,Davos,SUI,Switzerland,European Cup Premium,Big Air,34,22.20
30,Lionel Elias,Male,06-02-2022,Grindelwald,SUI,Switzerland,FIS,Big Air,22,1.70
31,Lionel Elias,Male,28-01-2022,Crans Montana,SUI,Switzerland,European Cup,Big Air,26,13.60
32,Lionel Elias,Male,27-01-2022,Crans Montana,SUI,Switzerland,European Cup,Halfpipe,13,0.20
33,Lionel Elias,Male,18-01-2022,Livigno,ITA,Switzerland,Junior,Slopestyle,16,9.40
34,Lionel Elias,Male,11-11-2021,Glacier 3000,SUI,Switzerland,Open,Slopestyle,30,14.40
35,Lionel Elias,Male,17-04-2021,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,1,50.00
36,Lionel Elias,Male,06-02-2021,Grindelwald,SUI,Switzerland,FIS,Big Air,14,6.10
37,Lionel Elias,Male,05-02-2021,Grindelwald,SUI,Switzerland,FIS,Halfpipe,11,8.01
38,Lionel Elias,Male,26-11-2020,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,53,12.96
39,Lionel Elias,Male,22-02-2020,Davos,SUI,Switzerland,FIS,Halfpipe,13,10.00
40,Lionel Elias,Male,21-02-2020,Davos,SUI,Switzerland,European Cup Premium,Big Air,45,3.74
41,Lionel Elias,Male,04-12-2019,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,18,6.50
