,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Liu Haoyu,Male,12-04-2025,Corvatsch,SUI,P.r. China,European Cup Premium,Big Air,8,
1,Liu Haoyu,Male,10-04-2025,Corvatsch,SUI,P.r. China,European Cup Premium,Slopestyle,15,116.90
2,Liu Haoyu,Male,28-03-2025,Engadin,SUI,P.r. China,World Championships,Big Air,48,44.10
3,Liu Haoyu,Male,25-03-2025,Engadin,SUI,P.r. China,Qualification,Big Air,25,
4,Liu Haoyu,Male,21-03-2025,Engadin,SUI,P.r. China,World Championships,Slopestyle,58,12.70
5,Liu Haoyu,Male,20-03-2025,Engadin,SUI,P.r. China,Qualification,Slopestyle,29,
6,Liu Haoyu,Male,08-03-2025,Beida Lake Ski Resort,CHN,P.r. China,Asian Cup,Slopestyle,4,57.50
7,Liu Haoyu,Male,07-03-2025,Beida Lake Ski Resort,CHN,P.r. China,Asian Cup,Slopestyle,6,25.30
8,Liu Haoyu,Male,26-02-2025,Winsport Calgary,CAN,P.r. China,Nor-Am Cup Premium,Big Air,19,30.90
9,Liu Haoyu,Male,25-02-2025,Winsport Calgary,CAN,P.r. China,Nor-Am Cup Premium,Slopestyle,28,46.40
10,Liu Haoyu,Male,22-02-2025,Calgary,CAN,P.r. China,World Cup,Slopestyle,39,83.60
11,Liu Haoyu,Male,20-02-2025,Calgary,CAN,P.r. China,Qualification,Slopestyle,20,
12,Liu Haoyu,Male,10-02-2025,Yabuli Ski Resort,CHN,P.r. China,Asian Winter Games,Big Air,4,87.30
13,Liu Haoyu,Male,08-02-2025,Yabuli Ski Resort,CHN,P.r. China,Asian Winter Games,Slopestyle,2,104.40
14,Liu Haoyu,Male,15-01-2025,Seiser Alm,ITA,P.r. China,European Cup,Slopestyle,5,75.70
15,Liu Haoyu,Male,11-01-2025,Prato Nevoso,ITA,P.r. China,European Cup,Slopestyle,11,41.30
16,Liu Haoyu,Male,05-01-2025,Font Romeu,FRA,P.r. China,European Cup Premium,Slopestyle,45,11.70
17,Liu Haoyu,Male,01-12-2024,Beijing,CHN,P.r. China,World Cup,Big Air,21,159.00
18,Liu Haoyu,Male,30-11-2024,Beijing,CHN,P.r. China,Qualification,Big Air,13,
19,Liu Haoyu,Male,17-08-2024,The Remarkables,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,31,3.30
20,Liu Haoyu,Male,05-03-2024,Tiger Ridge Ski Resort,CHN,P.r. China,Asian Cup,Slopestyle,2,130.40
21,Liu Haoyu,Male,04-03-2024,Tiger Ridge Mountain Park,CHN,P.r. China,Asian Cup,Slopestyle,12,13.50
22,Liu Haoyu,Male,19-11-2021,Landgraaf,NED,P.r. China,European Cup,Slopestyle,26,29.40
23,Liu Haoyu,Male,18-11-2021,Landgraaf,NED,P.r. China,FIS,Slopestyle,28,34.60
24,Liu Haoyu,Male,11-11-2021,Glacier 3000,SUI,P.r. China,Open,Slopestyle,15,43.40
25,Liu Haoyu,Male,31-10-2021,Madrid Snowzone,ESP,P.r. China,FIS,Slopestyle,2,41.10
26,Liu Haoyu,Male,30-10-2021,Madrid Snowzone,ESP,P.r. China,FIS,Slopestyle,3,34.00
27,Liu Haoyu,Male,08-10-2021,Landgraaf,NED,P.r. China,FIS,Slopestyle,17,7.30
28,Liu Haoyu,Male,01-09-2019,Cardrona,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,18,41.60
29,Liu Haoyu,Male,15-08-2019,Cardrona Alpine Resort,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,29,12.96
