,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Liu Jiayu,Female,20-01-2024,Laax,SUI,P.r. China,World Cup,Halfpipe,5,477.70
1,Liu Jiayu,Female,08-12-2023,Secret Garden,CHN,P.r. China,World Cup,Halfpipe,2,817.70
2,Liu Jiayu,Female,06-12-2023,Secret Garden,CHN,P.r. China,Qualification,Halfpipe,2,
3,Liu Jiayu,Female,10-02-2022,Beijing,CHN,P.r. China,Olympic Winter Games,Halfpipe,8,295.90
4,Liu Jiayu,Female,09-02-2022,Beijing,CHN,P.r. China,Qualification,Halfpipe,7,
5,Liu Jiayu,Female,15-01-2022,Laax,SUI,P.r. China,World Cup,Halfpipe,8,315.40
6,Liu Jiayu,Female,13-01-2022,Laax,SUI,P.r. China,Qualification,Halfpipe,7,
7,Liu Jiayu,Female,11-12-2021,Copper Mountain,USA,P.r. China,World Cup,Halfpipe,9,291.00
8,Liu Jiayu,Female,09-12-2021,Copper Mountain,USA,P.r. China,Qualification,Halfpipe,5,
9,Liu Jiayu,Female,15-02-2020,Calgary,CAN,P.r. China,World Cup,Halfpipe,3,600.00
10,Liu Jiayu,Female,13-02-2020,Calgary,CAN,P.r. China,Qualification,Halfpipe,5,
11,Liu Jiayu,Female,31-01-2020,Mammoth Mountain Resort,USA,P.r. China,World Cup,Halfpipe,3,600.00
12,Liu Jiayu,Female,29-01-2020,Mammoth Mountain Resort,USA,P.r. China,Qualification,Halfpipe,1,
13,Liu Jiayu,Female,18-01-2020,Laax,SUI,P.r. China,World Cup,Halfpipe,3,600.00
14,Liu Jiayu,Female,16-01-2020,Laax,SUI,P.r. China,Qualification,Halfpipe,3,
15,Liu Jiayu,Female,22-12-2019,Secret Garden,CHN,P.r. China,World Cup,Halfpipe,1,1000.00
16,Liu Jiayu,Female,20-12-2019,Secret Garden,CHN,P.r. China,Qualification,Halfpipe,1,
17,Liu Jiayu,Female,14-12-2019,Copper Mountain Resort,USA,P.r. China,World Cup,Halfpipe,2,800.00
18,Liu Jiayu,Female,12-12-2019,Copper Mountain Resort,USA,P.r. China,Qualification,Halfpipe,3,
19,Liu Jiayu,Female,13-02-2018,Phoenix Snow Park,KOR,P.r. China,Olympic Winter Games,Halfpipe,2,800.00
20,Liu Jiayu,Female,12-02-2018,Phoenix Snow Park,KOR,P.r. China,Qualification,Halfpipe,2,
21,Liu Jiayu,Female,20-01-2018,Laax,SUI,P.r. China,World Cup,Halfpipe,1,1000.00
22,Liu Jiayu,Female,21-12-2017,Secret Garden,CHN,P.r. China,World Cup,Halfpipe,1,1000.00
23,Liu Jiayu,Female,19-12-2017,Secret Garden,CHN,P.r. China,Qualification,Halfpipe,1,
24,Liu Jiayu,Female,09-12-2017,Copper Mountain Resort,USA,P.r. China,World Cup,Halfpipe,6,400.00
25,Liu Jiayu,Female,07-12-2017,Copper Mountain Resort,USA,P.r. China,Qualification,Halfpipe,2,
26,Liu Jiayu,Female,04-10-2017,Cardrona,NZL,P.r. China,FIS,Halfpipe,7,79.20
27,Liu Jiayu,Female,08-09-2017,Cardrona,NZL,P.r. China,World Cup,Halfpipe,11,240.00
28,Liu Jiayu,Female,07-09-2017,Cardrona,NZL,P.r. China,Qualification,Halfpipe,11,
29,Liu Jiayu,Female,11-03-2017,Sierra Nevada,ESP,P.r. China,World Championships,Halfpipe,7,360.00
30,Liu Jiayu,Female,10-03-2017,Sierra Nevada,ESP,P.r. China,Qualification,Halfpipe,7,
31,Liu Jiayu,Female,25-02-2017,Sapporo,JPN,P.r. China,FIS,Halfpipe,1,220.00
32,Liu Jiayu,Female,19-02-2017,Phoenix Pyeongchang,KOR,P.r. China,World Cup,Halfpipe,2,800.00
33,Liu Jiayu,Female,17-02-2017,Phoenix Pyeongchang,KOR,P.r. China,Qualification,Halfpipe,2,
34,Liu Jiayu,Female,05-02-2017,Mammoth Mountain Resort,USA,P.r. China,World Cup,Halfpipe,5,450.00
35,Liu Jiayu,Female,01-02-2017,Mammoth Mountain Resort,USA,P.r. China,Qualification,Halfpipe,5,
36,Liu Jiayu,Female,21-01-2017,Laax,SUI,P.r. China,World Cup,Halfpipe,5,450.00
37,Liu Jiayu,Female,16-01-2017,Laax,SUI,P.r. China,Qualification,Halfpipe,2,
38,Liu Jiayu,Female,16-12-2016,Copper,USA,P.r. China,World Cup,Halfpipe,2,800.00
39,Liu Jiayu,Female,14-12-2016,Copper,USA,P.r. China,Qualification,Halfpipe,2,
40,Liu Jiayu,Female,08-12-2016,Copper Mountain Resort,USA,P.r. China,FIS,Halfpipe,1,220.00
41,Liu Jiayu,Female,14-02-2016,Sapporo,JPN,P.r. China,World Cup,Halfpipe,2,800.00
42,Liu Jiayu,Female,12-02-2016,Sapporo,JPN,P.r. China,Qualification,Halfpipe,1,
43,Liu Jiayu,Female,06-02-2016,Park City,USA,P.r. China,World Cup,Halfpipe,5,450.00
44,Liu Jiayu,Female,04-02-2016,Park City,USA,P.r. China,Qualification,Halfpipe,6,
45,Liu Jiayu,Female,30-08-2015,Cardrona,NZL,P.r. China,World Cup,Halfpipe,8,320.00
46,Liu Jiayu,Female,28-08-2015,Cardrona,NZL,P.r. China,Qualification,Halfpipe,8,
47,Liu Jiayu,Female,01-03-2015,Park City,USA,P.r. China,World Cup,Halfpipe,4,500.00
48,Liu Jiayu,Female,26-02-2015,Park City,USA,P.r. China,Qualification,Halfpipe,4,
49,Liu Jiayu,Female,12-02-2014,Rosa Khutor,RUS,P.r. China,Olympic Winter Games,Halfpipe,9,290.00
50,Liu Jiayu,Female,21-12-2013,"Copper Mountain, CO",USA,P.r. China,World Cup,Halfpipe,17,140.00
51,Liu Jiayu,Female,18-12-2013,"Copper Mountain, CO",USA,P.r. China,Qualification,Halfpipe,11,
52,Liu Jiayu,Female,24-08-2013,Cardrona,NZL,P.r. China,World Cup,Halfpipe,4,500.00
53,Liu Jiayu,Female,22-08-2013,Cardrona,NZL,P.r. China,Qualification,Halfpipe,1,
54,Liu Jiayu,Female,27-03-2013,Sierra Nevada,ESP,P.r. China,World Cup,Halfpipe,2,800.00
55,Liu Jiayu,Female,14-02-2013,Sochi,RUS,P.r. China,World Cup,Halfpipe,6,400.00
56,Liu Jiayu,Female,13-02-2013,Sochi,RUS,P.r. China,Qualification,Halfpipe,4,
57,Liu Jiayu,Female,01-02-2013,"Park City, UT",USA,P.r. China,World Cup,Halfpipe,1,1000.00
58,Liu Jiayu,Female,30-01-2013,"Park City, UT",USA,P.r. China,Qualification,Halfpipe,2,
59,Liu Jiayu,Female,12-01-2013,"Copper Mountain, CO",USA,P.r. China,World Cup,Halfpipe,12,220.00
