,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lucas Laura,Female,23-02-2025,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,1,
1,Lucas Laura,Female,26-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,1,50.00
2,Lucas Laura,Female,25-01-2025,"Big White Ski Resort, BC",CAN,Canada,FIS,Slopestyle,3,22.20
3,Lucas Laura,Female,12-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,10,2.50
4,Lucas Laura,Female,11-01-2025,Whistler,CAN,Canada,FIS,Slopestyle,3,32.20
5,Lucas Laura,Female,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,1,50.00
6,Lucas Laura,Female,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,1,50.00
7,Lucas Laura,Female,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,5,15.50
8,Lucas Laura,Female,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,1,50.00
9,Lucas Laura,Female,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,2,39.60
10,Lucas Laura,Female,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,5,15.50
11,Lucas Laura,Female,21-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Slopestyle,16,4.60
12,Lucas Laura,Female,08-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,5,19.10
13,Lucas Laura,Female,07-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,6,14.20
14,Lucas Laura,Female,13-03-2022,BC Snowboard,CAN,Canada,FIS,Slopestyle,2,37.10
15,Lucas Laura,Female,12-03-2022,BC Snowboard,CAN,Canada,FIS,Slopestyle,2,37.10
