,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ludvig Ferenc,Male,07-04-2024,Gudauri,GEO,Hungary,FIS Junior World Championships,Snowboard Cross Team,19,
1,Ludvig Ferenc,Male,06-04-2024,Gudauri,GEO,Hungary,FIS Junior World Championships,Snowboard Cross,45,
2,Ludvig Ferenc,Male,05-04-2024,Gudauri,GEO,Hungary,Qualification,Snowboard Cross,45,
3,Ludvig Ferenc,Male,09-03-2024,Colere,ITA,Hungary,FIS,Snowboard Cross,24,3.50
4,Ludvig Ferenc,Male,02-03-2024,Reiteralm,AUT,Hungary,Junior,Snowboard Cross,15,14.40
5,Ludvig Ferenc,Male,01-03-2024,Reiteralm,AUT,Hungary,Junior,Snowboard Cross,15,14.40
6,Ludvig Ferenc,Male,03-02-2024,Dolni Morava,CZE,Hungary,Junior,Snowboard Cross,17,7.00
7,Ludvig Ferenc,Male,02-02-2024,Dolni Morava,CZE,Hungary,Junior,Snowboard Cross,37,1.75
8,Ludvig Ferenc,Male,28-01-2024,Grasgehren,GER,Hungary,Junior,Snowboard Cross,36,2.17
9,Ludvig Ferenc,Male,27-01-2024,Grasgehren,GER,Hungary,Junior,Snowboard Cross,29,1.80
10,Ludvig Ferenc,Male,17-12-2023,Reiteralm,AUT,Hungary,Junior,Snowboard Cross,28,
11,Ludvig Ferenc,Male,09-12-2023,Pitztal,AUT,Hungary,Junior,Snowboard Cross,62,1.19
