,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lyu Meishuo,Male,19-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Slalom,7,72.00
1,Lyu Meishuo,Male,18-03-2024,Wanglong Ski Resrort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,18,26.00
2,Lyu Meishuo,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Slalom,13,40.00
3,Lyu Meishuo,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,4,100.00
4,Lyu Meishuo,Male,05-03-2024,High1resort,KOR,P.r. China,Asian Cup,Parallel Slalom,25,12.00
5,Lyu Meishuo,Male,04-03-2024,High1resort,KOR,P.r. China,Asian Cup,Parallel Giant Slalom,14,43.20
6,Lyu Meishuo,Male,01-03-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Slalom,2,80.00
7,Lyu Meishuo,Male,29-02-2024,Jinshanling Galaxy Ski Resort,CHN,P.r. China,FIS,Parallel Giant Slalom,9,29.00
8,Lyu Meishuo,Male,14-01-2022,Simonhöhe,AUT,P.r. China,Qualification,Parallel Giant Slalom,58,
9,Lyu Meishuo,Male,14-01-2022,Simonhöhe,AUT,P.r. China,World Cup,Parallel Giant Slalom,58,
10,Lyu Meishuo,Male,11-01-2022,Bad Gastein,AUT,P.r. China,World Cup,Parallel Slalom,49,
11,Lyu Meishuo,Male,11-01-2022,Bad Gastein,AUT,P.r. China,Qualification,Parallel Slalom,49,
12,Lyu Meishuo,Male,08-01-2022,Scuol,SUI,P.r. China,World Cup,Parallel Giant Slalom,58,13.10
13,Lyu Meishuo,Male,08-01-2022,Scuol,SUI,P.r. China,Qualification,Parallel Giant Slalom,58,
14,Lyu Meishuo,Male,18-12-2021,Cortina d Ampezzo,ITA,P.r. China,World Cup,Parallel Giant Slalom,49,15.80
15,Lyu Meishuo,Male,18-12-2021,Cortina d Ampezzo,ITA,P.r. China,Qualification,Parallel Giant Slalom,49,
16,Lyu Meishuo,Male,16-12-2021,Carezza,ITA,P.r. China,World Cup,Parallel Giant Slalom,56,13.70
17,Lyu Meishuo,Male,16-12-2021,Carezza,ITA,P.r. China,Qualification,Parallel Giant Slalom,56,
18,Lyu Meishuo,Male,12-12-2021,Bannoye,RUS,P.r. China,World Cup,Parallel Slalom,48,
19,Lyu Meishuo,Male,12-12-2021,Bannoye,RUS,P.r. China,Qualification,Parallel Slalom,48,
20,Lyu Meishuo,Male,11-12-2021,Bannoye,RUS,P.r. China,Qualification,Parallel Giant Slalom,54,
21,Lyu Meishuo,Male,11-12-2021,Bannoye,RUS,P.r. China,World Cup,Parallel Giant Slalom,54,
22,Lyu Meishuo,Male,29-12-2019,Wanlong Ski Resorts,CHN,P.r. China,Asian Cup,Parallel Slalom,6,96.00
23,Lyu Meishuo,Male,28-12-2019,Wanlong Ski Resorts,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,5,108.00
24,Lyu Meishuo,Male,22-12-2019,"Buck Hill, MN",USA,P.r. China,Nor-Am Cup,Parallel Slalom,15,32.00
25,Lyu Meishuo,Male,21-12-2019,"Buck Hill, MN",USA,P.r. China,Nor-Am Cup,Parallel Slalom,21,20.00
26,Lyu Meishuo,Male,20-12-2019,"Buck Hill, MN",USA,P.r. China,FIS,Parallel Slalom,7,57.60
27,Lyu Meishuo,Male,20-12-2019,"Buck Hill, MN",USA,P.r. China,Junior,Parallel Slalom,4,60.00
28,Lyu Meishuo,Male,30-11-2019,Taiwoo ski resorts,CHN,P.r. China,Asian Cup,Parallel Slalom,6,88.00
29,Lyu Meishuo,Male,29-11-2019,Taiwoo ski resorts,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,15,51.20
30,Lyu Meishuo,Male,03-04-2019,Rogla,SLO,P.r. China,FIS Junior World Championships,Parallel Slalom,26,18.00
31,Lyu Meishuo,Male,02-04-2019,Rogla,SLO,P.r. China,FIS Junior World Championships,Parallel Giant Slalom,22,32.40
32,Lyu Meishuo,Male,31-03-2019,Radstadt,AUT,P.r. China,National Championships,Parallel Giant Slalom,45,4.93
33,Lyu Meishuo,Male,30-03-2019,Radstadt,AUT,P.r. China,National Championships,Parallel Slalom,45,4.93
34,Lyu Meishuo,Male,27-03-2019,Piancavallo,ITA,P.r. China,National Championships,Parallel Giant Slalom,18,37.70
35,Lyu Meishuo,Male,26-03-2019,Piancavallo,ITA,P.r. China,National Championships,Parallel Slalom,50,
36,Lyu Meishuo,Male,17-03-2019,Rogla,SLO,P.r. China,Junior,Parallel Giant Slalom,37,3.88
37,Lyu Meishuo,Male,28-02-2019,Secret Garden,CHN,P.r. China,Asian Cup,Parallel Slalom,10,52.00
38,Lyu Meishuo,Male,27-02-2019,Secret Garden,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,11,38.40
39,Lyu Meishuo,Male,12-02-2019,Taiwoo ski resorts,CHN,P.r. China,Asian Cup,Parallel Slalom,13,36.00
40,Lyu Meishuo,Male,11-02-2019,Taiwoo ski resorts,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,16,27.00
41,Lyu Meishuo,Male,02-12-2017,Changchengling,CHN,P.r. China,National Championships,Parallel Slalom,11,16.80
42,Lyu Meishuo,Male,01-12-2017,Changchengling,CHN,P.r. China,National Championships,Parallel GS,10,18.20
