,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ma Junho,Male,04-03-2025,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,6,
1,Ma Junho,Male,02-02-2025,Ratschings,ITA,Korea,European Cup,Parallel Slalom,17,36.40
2,Ma Junho,Male,02-02-2025,Ratschings,ITA,Korea,Qualification,Parallel Slalom,17,
3,Ma Junho,Male,01-02-2025,Ratschings,ITA,Korea,European Cup,Parallel Slalom,17,40.60
4,Ma Junho,Male,01-02-2025,Ratschings,ITA,Korea,Qualification,Parallel Slalom,17,
5,Ma Junho,Male,26-01-2025,Simonhöhe,AUT,Korea,European Cup,Parallel Giant Slalom,31,8.96
6,Ma Junho,Male,25-01-2025,Rogla,SLO,Korea,Qualification,Parallel Giant Slalom,41,
7,Ma Junho,Male,25-01-2025,Rogla,SLO,Korea,World Cup,Parallel Giant Slalom,41,18.20
8,Ma Junho,Male,22-01-2025,Bardonecchia,ITA,Korea,Universiade,Parallel Slalom,36,
9,Ma Junho,Male,21-01-2025,Bardonecchia,ITA,Korea,Universiade,Parallel Giant Slalom,2,208.00
10,Ma Junho,Male,14-01-2025,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,54,
11,Ma Junho,Male,14-01-2025,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,54,
12,Ma Junho,Male,11-01-2025,Scuol,SUI,Korea,Qualification,Parallel Giant Slalom,22,
13,Ma Junho,Male,11-01-2025,Scuol,SUI,Korea,World Cup,Parallel Giant Slalom,22,90.00
14,Ma Junho,Male,21-12-2024,Davos,SUI,Korea,Qualification,Parallel Slalom,DNF,
15,Ma Junho,Male,21-12-2024,Davos,SUI,Korea,World Cup,Parallel Slalom,DNF,
16,Ma Junho,Male,15-12-2024,Götschen,GER,Korea,European Cup,Parallel Slalom,15,38.40
17,Ma Junho,Male,14-12-2024,Cortina d'Ampezzo,ITA,Korea,Qualification,Parallel Giant Slalom,38,
18,Ma Junho,Male,14-12-2024,Cortina d'Ampezzo,ITA,Korea,World Cup,Parallel Giant Slalom,38,19.10
19,Ma Junho,Male,12-12-2024,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,44,
20,Ma Junho,Male,12-12-2024,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,44,17.30
21,Ma Junho,Male,08-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Slalom,36,19.70
22,Ma Junho,Male,08-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Slalom,36,
23,Ma Junho,Male,07-12-2024,Yanqing (NASC),CHN,Korea,World Cup,Parallel Giant Slalom,46,16.70
24,Ma Junho,Male,07-12-2024,Yanqing (NASC),CHN,Korea,Qualification,Parallel Giant Slalom,46,
25,Ma Junho,Male,01-12-2024,Mylin,CHN,Korea,World Cup,Parallel Slalom,36,19.70
26,Ma Junho,Male,01-12-2024,Mylin,CHN,Korea,Qualification,Parallel Slalom,36,
27,Ma Junho,Male,30-11-2024,Mylin,CHN,Korea,World Cup,Parallel Giant Slalom,37,19.40
28,Ma Junho,Male,30-11-2024,Mylin,CHN,Korea,Qualification,Parallel Giant Slalom,37,
29,Ma Junho,Male,02-04-2024,"Copper Mountain, CO",USA,Korea,National Championships,Parallel Slalom,2,208.00
30,Ma Junho,Male,01-04-2024,"Copper Mountain, CO",USA,Korea,National Championships,Parallel Giant Slalom,3,156.00
31,Ma Junho,Male,17-03-2024,St. Moritz,SUI,Korea,European Cup,Parallel Slalom,23,28.80
32,Ma Junho,Male,16-03-2024,St. Moritz,SUI,Korea,European Cup,Parallel Giant Slalom,40,6.66
33,Ma Junho,Male,13-03-2024,Davos/Rinerhorn ,SUI,Korea,European Cup,Parallel Giant Slalom,7,129.60
34,Ma Junho,Male,12-03-2024,Davos/Rinerhorn ,SUI,Korea,European Cup,Parallel Giant Slalom,17,50.40
35,Ma Junho,Male,10-03-2024,Lenzerheide,SUI,Korea,European Cup,Parallel Slalom,3,108.00
36,Ma Junho,Male,09-03-2024,Lenzerheide,SUI,Korea,European Cup,Parallel Slalom,3,108.00
37,Ma Junho,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,7,72.00
38,Ma Junho,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,13,48.00
39,Ma Junho,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,8,70.40
40,Ma Junho,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,10,57.20
41,Ma Junho,Male,27-01-2024,Simonhöhe,AUT,Korea,Qualification,Parallel Giant Slalom,37,
42,Ma Junho,Male,27-01-2024,Simonhöhe,AUT,Korea,World Cup,Parallel Giant Slalom,37,19.40
43,Ma Junho,Male,24-01-2024,Pamporovo,BUL,Korea,European Cup,Parallel Slalom,7,79.20
44,Ma Junho,Male,23-01-2024,Pamporovo,BUL,Korea,European Cup,Parallel Slalom,6,88.00
45,Ma Junho,Male,21-01-2024,Pamporovo,BUL,Korea,Qualification,Parallel Slalom,25,
46,Ma Junho,Male,21-01-2024,Pamporovo,BUL,Korea,World Cup,Parallel Slalom,25,60.00
47,Ma Junho,Male,20-01-2024,Pamporovo,BUL,Korea,Qualification,Parallel Slalom,35,
48,Ma Junho,Male,20-01-2024,Pamporovo,BUL,Korea,World Cup,Parallel Slalom,35,20.00
49,Ma Junho,Male,16-01-2024,Bad Gastein,AUT,Korea,Qualification,Parallel Slalom,34,
50,Ma Junho,Male,16-01-2024,Bad Gastein,AUT,Korea,World Cup,Parallel Slalom,34,22.00
51,Ma Junho,Male,12-01-2024,Folgaria,ITA,Korea,Qualification,Parallel Slalom,9,
52,Ma Junho,Male,12-01-2024,Folgaria,ITA,Korea,European Cup,Parallel Slalom,11,57.60
53,Ma Junho,Male,11-01-2024,Folgaria,ITA,Korea,Qualification,Parallel Slalom,12,
54,Ma Junho,Male,11-01-2024,Folgaria,ITA,Korea,European Cup,Parallel Slalom,2,192.00
55,Ma Junho,Male,23-12-2023,Davos,SUI,Korea,Qualification,Parallel Slalom,41,
56,Ma Junho,Male,23-12-2023,Davos ,SUI,Korea,World Cup,Parallel Slalom,41,18.20
57,Ma Junho,Male,20-12-2023,Moninec,CZE,Korea,European Cup,Parallel Slalom,11,52.80
58,Ma Junho,Male,19-12-2023,Moninec,CZE,Korea,European Cup,Parallel Slalom,31,6.16
59,Ma Junho,Male,14-12-2023,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,28,
60,Ma Junho,Male,14-12-2023,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,28,40.00
61,Ma Junho,Male,09-12-2023,Götschen,GER,Korea,Qualification,Parallel Slalom,43,
62,Ma Junho,Male,09-12-2023,Götschen,GER,Korea,European Cup,Parallel Slalom,43,6.34
63,Ma Junho,Male,08-12-2023,Götschen,GER,Korea,Qualification,Parallel Slalom,17,
64,Ma Junho,Male,08-12-2023,Götschen,GER,Korea,European Cup,Parallel Slalom,17,50.40
65,Ma Junho,Male,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,5,162.00
66,Ma Junho,Male,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,12,79.20
67,Ma Junho,Male,07-02-2023,high1 resort,KOR,Korea,FIS,Parallel Slalom,7,79.20
68,Ma Junho,Male,06-02-2023,high1 resort,KOR,Korea,FIS,Parallel Giant Slalom,9,63.80
69,Ma Junho,Male,22-01-2023,Gore Mountain,USA,Korea,Universiade,Parallel Slalom,9,63.80
70,Ma Junho,Male,22-01-2023,Gore Mountain,USA,Korea,Qualification,Parallel Slalom,8,
71,Ma Junho,Male,21-01-2023,Gore Mountain,USA,Korea,Universiade,Parallel Giant Slalom,10,57.20
72,Ma Junho,Male,21-01-2023,Gore Mountain,USA,Korea,Qualification,Parallel Giant Slalom,10,
73,Ma Junho,Male,18-12-2022,Hochfügen,GER,Korea,European Cup,Parallel Giant Slalom,35,5.20
74,Ma Junho,Male,18-12-2022,Hochfügen,GER,Korea,Qualification,Parallel Giant Slalom,35,
75,Ma Junho,Male,17-12-2022,Hochfügen,GER,Korea,European Cup,Parallel Giant Slalom,8,57.60
76,Ma Junho,Male,15-12-2022,Carezza,ITA,Korea,Qualification,Parallel Giant Slalom,47,
77,Ma Junho,Male,15-12-2022,Carezza,ITA,Korea,World Cup,Parallel Giant Slalom,47,
78,Ma Junho,Male,11-12-2022,Winterberg,GER,Korea,World Cup,Parallel Slalom,43,17.60
79,Ma Junho,Male,10-12-2022,Winterberg,GER,Korea,Qualification,Parallel Slalom,43,
80,Ma Junho,Male,06-04-2022,Borovets,BUL,Korea,National Championships,Parallel Slalom,9,58.00
81,Ma Junho,Male,05-04-2022,Borovets,BUL,Korea,National Championships,Parallel Giant Slalom,2,160.00
82,Ma Junho,Male,01-04-2022,Chiesa in Valmalenco,ITA,Korea,FIS Junior World Championships,Parallel Slalom,26,12.00
83,Ma Junho,Male,31-03-2022,Chiesa in Valmalenco,ITA,Korea,FIS Junior World Championships,Parallel Giant Slalom,3,144.00
84,Ma Junho,Male,27-03-2022,Villach / Gerlitzen,AUT,Korea,National Championships,Parallel Slalom,12,63.80
85,Ma Junho,Male,26-03-2022,Villach / Gerlitzen,AUT,Korea,National Championships,Parallel Giant Slalom,13,58.00
86,Ma Junho,Male,19-03-2022,Berchtesgaden,GER,Korea,Qualification,Parallel Slalom,42,
87,Ma Junho,Male,19-03-2022,Berchtesgaden,GER,Korea,World Cup,Parallel Slalom,42,17.90
88,Ma Junho,Male,17-03-2022,Rogla,SLO,Korea,European Cup,Parallel Giant Slalom,33,7.68
89,Ma Junho,Male,13-03-2022,Spindleruv Mlyn,CZE,Korea,National Championships,Parallel Slalom,6,44.00
90,Ma Junho,Male,12-03-2022,Spindleruv Mlyn,CZE,Korea,National Championships,Parallel Giant Slalom,5,49.50
91,Ma Junho,Male,09-03-2022,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Slalom,11,69.60
92,Ma Junho,Male,08-03-2022,SUCHE/Zakopane,POL,Korea,National Championships,Parallel Giant Slalom,12,63.80
93,Ma Junho,Male,03-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Slalom,7,104.40
94,Ma Junho,Male,02-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Giant Slalom,5,130.50
95,Ma Junho,Male,22-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Slalom,10,57.20
96,Ma Junho,Male,21-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Giant Slalom,11,52.80
97,Ma Junho,Male,21-12-2021,Moninec,CZE,Korea,FIS,Parallel Slalom,11,48.00
98,Ma Junho,Male,20-12-2021,Moninec,CZE,Korea,FIS,Parallel Slalom,6,80.00
99,Ma Junho,Male,19-12-2021,Moninec,CZE,Korea,European Cup,Parallel Slalom,17,30.80
100,Ma Junho,Male,18-12-2021,Moninec,CZE,Korea,European Cup,Parallel Slalom,12,44.00
101,Ma Junho,Male,12-12-2021,Götschen,GER,Korea,European Cup,Parallel Slalom,15,35.20
102,Ma Junho,Male,11-12-2021,Götschen,GER,Korea,European Cup,Parallel Slalom,11,52.80
103,Ma Junho,Male,26-03-2021,Krasnoyarsk ,RUS,Korea,FIS Junior World Championships,Parallel Slalom,11,62.40
104,Ma Junho,Male,25-03-2021,Krasnoyarsk ,RUS,Korea,FIS Junior World Championships,Parallel Giant Slalom,15,41.60
