,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Maclean Bridget,Female,12-04-2025,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,9,84.10
1,Maclean Bridget,Female,11-04-2025,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,7,104.40
2,Maclean Bridget,Female,06-04-2025,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,26,
3,Maclean Bridget,Female,05-04-2025,Mt. St. Anne,CAN,Canada,Qualification,Snowboard Cross,23,
4,Maclean Bridget,Female,05-04-2025,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,23,
5,Maclean Bridget,Female,07-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,2,128.00
6,Maclean Bridget,Female,06-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,3,96.00
7,Maclean Bridget,Female,02-03-2025,Gore Mountain Ski Area,USA,Canada,FIS,Snowboard Cross,13,30.00
8,Maclean Bridget,Female,01-03-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,17,28.00
9,Maclean Bridget,Female,28-02-2025,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,7,72.00
10,Maclean Bridget,Female,05-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,FIS,Snowboard Cross,6,52.00
11,Maclean Bridget,Female,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,16,27.00
12,Maclean Bridget,Female,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,8,57.60
13,Maclean Bridget,Female,05-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,12,44.00
14,Maclean Bridget,Female,04-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,17,28.00
15,Maclean Bridget,Female,14-12-2024,Cervinia,ITA,Canada,World Cup,Snowboard Cross,DNF2,
16,Maclean Bridget,Female,13-12-2024,Cervinia,ITA,Canada,Qualification,Snowboard Cross,DNF2,
17,Maclean Bridget,Female,18-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,18,46.80
18,Maclean Bridget,Female,15-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,22,32.40
19,Maclean Bridget,Female,23-03-2024,Mt. St. Anne,CAN,Canada,World Cup,Snowboard Cross,DNS2,
20,Maclean Bridget,Female,22-03-2024,Mt. St. Anne,CAN,Canada,Qualification,Snowboard Cross,DNS2,
21,Maclean Bridget,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,8,51.20
22,Maclean Bridget,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,16,24.00
23,Maclean Bridget,Female,01-03-2024,Sunday River Resort,USA,Canada,FIS,Snowboard Cross,2,72.00
24,Maclean Bridget,Female,28-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
25,Maclean Bridget,Female,27-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,10,41.60
26,Maclean Bridget,Female,23-02-2024,Gore Mountain Ski Area,USA,Canada,FIS,Snowboard Cross,6,40.00
27,Maclean Bridget,Female,22-02-2024,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,6,64.00
28,Maclean Bridget,Female,21-02-2024,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,11,38.40
29,Maclean Bridget,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,3,132.00
30,Maclean Bridget,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,8,70.40
